year,un_DET issu_ADJ,un_DET tissu_NOUN
1800,3.144164484325529e-09,8.030196525510291e-06
1801,0.0,8.07697098537119e-06
1802,2.2378401354217203e-09,7.002201783734563e-06
1803,0.0,9.129538341312582e-06
1804,0.0,5.682785477745256e-06
1805,2.55858996212055e-08,8.994865488887172e-06
1806,0.0,4.924772710523939e-06
1807,2.8469551160981155e-09,4.762955747139586e-06
1808,0.0,3.494286213268083e-06
1809,0.0,5.525588740340481e-06
1810,0.0,4.961068874820285e-06
1811,5.0141535368197765e-09,3.532471133382842e-06
1812,0.0,6.641348306857253e-06
1813,5.751483289628823e-09,6.573945611876297e-06
1814,3.1466772298927026e-08,5.050416987728568e-06
1815,2.697223555614414e-09,7.088303362934312e-06
1816,2.3176038865813098e-09,8.781400822499563e-06
1817,0.0,6.1138418914197246e-06
1818,0.0,6.082184924594003e-06
1819,0.0,6.633988149928882e-06
1820,0.0,4.88424349498473e-06
1821,9.86148829262845e-10,5.30350834537785e-06
1822,0.0,5.2774842487224305e-06
1823,0.0,5.029299536829512e-06
1824,7.57900142644985e-09,5.3735119820430555e-06
1825,9.68598712347557e-09,5.355470563017661e-06
1826,2.642395191543301e-09,5.203756920479918e-06
1827,3.6869092223668076e-09,5.081482633784162e-06
1828,2.7516904310687096e-09,6.195889433513457e-06
1829,1.714635211591542e-09,6.034658838416362e-06
1830,3.1310507520032616e-09,5.441766006697435e-06
1831,0.0,5.029723283200838e-06
1832,0.0,4.922202911927798e-06
1833,2.3167257001688313e-09,6.589926400124568e-06
1834,9.334530925997342e-10,5.53444358786237e-06
1835,7.563087933704082e-10,5.344834420384359e-06
1836,0.0,4.599681396655342e-06
1837,1.3915781860163179e-09,8.438530045395964e-06
1838,6.312161904276081e-10,5.151986641749318e-06
1839,4.894032734625853e-09,6.563596912201319e-06
1840,3.821813088222825e-09,4.676625529498324e-06
1841,0.0,5.582024805050878e-06
1842,0.0,4.729997826302679e-06
1843,1.1813822142769936e-09,5.428451451905403e-06
1844,6.586273748609983e-09,4.721260332019028e-06
1845,1.1160455892778032e-09,5.268293406857083e-06
1846,0.0,4.906072135213435e-06
1847,0.0,3.816244952048464e-06
1848,1.6090443422100975e-09,4.28086256576421e-06
1849,0.0,5.561417893318321e-06
1850,6.788996032014438e-10,3.972241685801237e-06
1851,6.449438760824933e-10,5.159550788391698e-06
1852,0.0,5.3100009651529945e-06
1853,5.971931837933653e-10,5.135861322003166e-06
1854,1.558699391779328e-09,4.0676855448396054e-06
1855,1.5920811335945473e-09,5.0309766024270175e-06
1856,0.0,4.172814541902881e-06
