year,ton_DET or_NOUN,ton_DET tort_NOUN
1800,8.489243885634323e-08,6.288328968651058e-09
1801,5.000483582762172e-08,7.143547975374531e-09
1802,8.727576528144709e-08,2.2378401354217203e-09
1803,1.677291692203653e-07,1.950339223455444e-09
1804,1.038177401824214e-07,0.0
1805,1.5635827521620627e-07,2.842877711017877e-09
1806,5.187004248341509e-08,2.881669125542885e-09
1807,1.2526602510831708e-07,0.0
1808,4.5321478125970316e-08,6.798221985349073e-09
1809,5.1957703028904234e-08,0.0
1810,2.574139346123161e-08,2.3401267590372754e-09
1811,1.0279014617253779e-07,5.0141535368197765e-09
1812,5.3344165529267684e-08,2.6672082320544632e-09
1813,8.339650747757332e-08,0.0
1814,6.293354370967563e-08,6.293354282149721e-09
1815,4.8550024445148665e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,3.580808893843823e-08,1.2454986930698908e-08
1818,7.629553699928238e-08,3.5763532135746345e-09
1819,6.003609098748086e-08,1.449147024601416e-08
1820,6.76389415588119e-08,9.493184904840746e-09
1821,1.4003314019461754e-07,3.94459531705138e-09
1822,7.21844344298006e-08,4.010246357211145e-09
1823,6.917880635004536e-08,8.894418090932277e-09
1824,7.242156652154108e-08,7.57900142644985e-09
1825,7.220463604795668e-08,7.924898515199175e-09
1826,5.196710661792281e-08,1.1450379200361738e-08
1827,4.7929820112813104e-08,7.373818444733615e-09
1828,1.0915038473058303e-07,4.586150570418113e-09
1829,5.572564276690173e-08,2.571952872898464e-09
1830,4.696576283436116e-08,1.2524203230057651e-08
1831,1.1225668572478753e-07,2.6505050598757407e-08
1832,7.441482807735156e-08,1.7588959622116818e-08
1833,1.1699465041203894e-07,3.475088550253247e-09
1834,1.0267983929779234e-07,9.334530925997342e-10
1835,6.958040899007756e-08,2.117664621437143e-08
1836,1.1694105372939134e-07,1.2097349955109138e-08
1837,7.862416850912268e-08,9.74104708006962e-09
1838,4.1660269900489766e-08,1.2624323808552163e-09
1839,9.50840624014404e-08,5.5931801412612e-09
1840,5.6690229399691816e-08,2.5478754661634184e-09
1841,7.255219980351058e-08,1.926164561183441e-09
1842,9.056157512787877e-08,3.3541325272778977e-09
1843,1.1636614738463891e-07,1.1223130869097986e-08
1844,4.8299337418455934e-08,8.232841963717874e-09
1845,7.644912036752771e-08,9.48638767539478e-09
1846,8.196302081486806e-08,3.5127007969038004e-09
1847,5.662884650092792e-08,1.6179670936367074e-09
1848,4.263967567919025e-08,1.689496542667257e-08
1849,5.614208120618969e-08,1.6758829879393033e-09
1850,3.937617609750532e-08,2.0366988096043315e-09
1851,7.22337163416853e-08,1.9348316282474798e-09
1852,5.9245962802378926e-08,7.812654523320361e-09
1853,5.4344578614973216e-08,2.388772735173461e-09
1854,5.6632741163298306e-08,5.195664343204953e-09
1855,8.331890910540096e-08,1.4859423913549108e-08
1856,4.245295315286057e-08,4.659470143053568e-09
1857,1.1081025430570435e-07,5.857811125054013e-09
1858,9.542668333306636e-08,2.4468380654951716e-09
1859,6.517981754328162e-08,1.3748867822016564e-08
1860,8.833965159382728e-08,6.408057640072684e-09
1861,8.064297785104202e-08,1.8863854922557266e-09
1862,9.713670667821361e-08,2.2589932147099034e-09
1863,7.541877550254483e-08,5.494082966350788e-09
1864,1.0212770851225628e-07,7.671564716815737e-09
1865,6.636650229374652e-08,7.530950973944073e-09
1866,8.855415245534459e-08,4.865612912574591e-10
1867,6.551295683721037e-08,9.7056229719783e-10
1868,6.4218362849644e-08,2.9639244392143382e-09
1869,7.422949188651273e-08,4.395167341186834e-09
1870,4.185855440042019e-08,5.160643912205387e-09
1871,8.072094370703553e-08,7.434824311758348e-09
1872,5.3821318624081016e-08,6.652073336610442e-09
1873,4.968383748860106e-08,5.387403856360606e-09
1874,7.82673765797881e-08,6.572069999322139e-09
1875,6.808617553089036e-08,1.716458175593516e-08
1876,6.227395310531847e-08,4.836811839936672e-09
1877,4.51491583008945e-08,6.803297813995357e-09
1878,3.2611077338540184e-08,7.850815109122777e-09
1879,5.803859082220697e-08,7.94212251520321e-09
1880,6.610381309002378e-08,7.701415505323439e-09
1881,4.183504487276224e-08,6.972507571312292e-10
1882,6.389169482368118e-08,5.989846396659004e-09
1883,6.256145379524014e-08,5.687405213450347e-09
1884,6.931781992847164e-08,4.621187876807653e-09
1885,4.383032448096458e-08,4.511945039809007e-09
1886,6.711602551501272e-08,2.5813855497602844e-09
1887,4.635536360320103e-08,1.9586774424595887e-09
1888,5.516334833366443e-08,5.07249175996094e-09
1889,4.9494580878217675e-08,5.6386229019267375e-09
1890,3.8015443237782165e-08,3.2771931834929546e-09
1891,6.756673087693343e-08,3.1871101313640793e-09
1892,4.387958751905785e-08,0.0
1893,5.234654043562159e-08,7.390100087434348e-09
1894,2.6466464575491955e-08,7.561847148451761e-09
1895,6.921406359161608e-08,4.213029924926559e-09
1896,3.597187570036908e-08,1.3563166589847242e-08
1897,2.855089586972781e-08,4.078699600285063e-09
1898,2.82917743676947e-08,9.05336783318944e-09
1899,4.09040801230276e-08,4.9748205555033564e-09
1900,6.333085078580325e-08,4.15284251431558e-09
1901,4.3592162823902214e-08,5.58873880507349e-09
1902,3.338993082024899e-08,2.455141867585553e-09
1903,3.186129982069019e-08,4.320176216765503e-09
1904,2.1498500757388683e-08,6.449550227216605e-09
1905,2.993240255655394e-08,9.805441791854719e-09
1906,4.012463905578301e-08,1.5432553013283723e-09
1907,2.159994205719329e-08,1.5428529565042481e-09
1908,3.5362001771233054e-08,1.964555629285769e-09
1909,4.510806661528477e-08,6.60118004702781e-09
1910,6.626746884563772e-08,1.068830135508847e-09
1911,4.894744243255644e-08,3.7242617878519013e-09
1912,4.7405731506966475e-08,3.646594803896619e-09
1913,6.045408240673567e-08,2.6514948014977335e-09
1914,4.620753313311354e-08,1.0714789944188396e-08
1915,6.479418912519463e-08,1.1780761921542648e-09
1916,4.065361070004769e-08,9.888716068218173e-09
1917,4.386569774084137e-08,4.386569774084137e-09
1918,4.364822903113463e-08,5.743188147278033e-09
1919,2.117805197876521e-08,1.3811772170413406e-08
1920,3.7103934591442567e-08,3.786115865267448e-09
1921,2.8019165876358443e-08,3.7863738810983705e-09
1922,4.057864688711277e-08,4.426761179843197e-09
1923,3.6094223609950404e-08,9.554353752605493e-09
1924,2.9650736532715882e-08,7.734974438733389e-09
1925,5.939016034517408e-08,3.299453377181294e-09
1926,4.904300876518164e-08,3.3438415369957397e-09
1927,2.787306230267461e-08,1.1149224765638621e-08
1928,2.742249938236796e-08,1.0283436990832229e-08
