year,bon_ADJ an_NOUN,bon_ADJ temps_NOUN
1800,1.3834323553396644e-07,5.533729563467205e-07
1801,1.166779455274991e-07,5.476720161823323e-07
1802,8.056224487518193e-08,8.123359975797939e-07
1803,3.120542824142092e-08,5.773003977083135e-07
1804,6.673997243744623e-08,4.350457629698212e-07
1805,5.685755466444675e-08,8.130630173575071e-07
1806,1.0662176119780042e-07,6.13795545945095e-07
1807,3.9857372513552036e-08,4.839823946056754e-07
1808,3.852325791697808e-08,6.14106044238838e-07
1809,3.6144488291256494e-08,4.1340259060440587e-07
1810,3.510190227373755e-08,5.663106859010725e-07
1811,2.507076715119183e-07,8.82491008269426e-07
1812,2.400487453257938e-08,4.827646802318952e-07
1813,5.1763349162570194e-08,9.144858179599424e-07
1814,1.0069366851439554e-07,7.174423704014998e-07
1815,3.5063905334808965e-08,7.20158672251614e-07
1816,1.8540831092650478e-08,5.307312971325473e-07
1817,3.425121486433369e-08,7.737661023021758e-07
1818,5.364529798157491e-08,9.548863244557282e-07
1819,1.8631889808773394e-08,1.141720872510632e-06
1820,1.1629151686065597e-07,8.045474109152906e-07
1821,7.49473095806863e-08,1.1557663776029514e-06
1822,5.6143449000956025e-08,1.0787563269332168e-06
1823,1.126626291148014e-07,1.0119871192149077e-06
1824,2.0210670470532932e-08,1.1570609208533256e-06
1825,4.6668849229547504e-08,9.368991182867603e-07
1826,4.84439142134363e-08,8.09453733818799e-07
1827,3.871254605769536e-08,9.235707351673561e-07
1828,2.9351363395324626e-08,9.098922740813364e-07
1829,5.915491474439705e-08,9.319042586497517e-07
1830,8.140731755368336e-08,8.245100246995207e-07
1831,8.57516342378517e-08,1.0227830706810437e-06
1832,1.4612366427968482e-07,1.723718073720626e-06
1833,9.614411311531512e-08,1.299683133781926e-06
1834,6.720862266718086e-08,1.0258649609795611e-06
1835,1.3916081798015512e-07,1.1450514563193792e-06
1836,1.0753200463398116e-07,9.563627425546173e-07
1837,1.2385046099794295e-07,1.1828414785419739e-06
1838,1.1425013313193233e-07,1.0869542801383858e-06
1839,9.857980054484017e-08,8.445702213144557e-07
1840,9.681926937954444e-08,8.064025918130824e-07
1841,1.4061001163412357e-07,9.701448506760357e-07
1842,1.2007794580881637e-07,1.0122772220455545e-06
1843,1.1754752771153676e-07,7.596287914801714e-07
1844,7.629100307049441e-08,8.337124812740626e-07
1845,1.4285383187484513e-07,8.872562655692917e-07
1846,1.5865699154460344e-07,8.94567790288292e-07
1847,9.977463655275187e-08,6.029623929038053e-07
1848,1.5044565060406967e-07,8.487708790805293e-07
1849,1.3742240234648762e-07,7.79285597829471e-07
1850,1.249175332063146e-07,7.515418607439983e-07
1851,1.3285843669663677e-07,8.384270326899923e-07
1852,1.0351766932537032e-07,8.040523553631829e-07
1853,1.8632428044895732e-07,9.608838436037104e-07
1854,1.4963514161081548e-07,1.0412111919322342e-06
1855,1.841507177857693e-07,1.2800331887774519e-06
1856,1.972509142689205e-07,1.3243250194250322e-06
1857,1.6938836022717396e-07,1.3477847035092694e-06
1858,1.9770451054057503e-07,1.1749716052888992e-06
1859,1.680417205385254e-07,1.2083727121137144e-06
1860,1.6386318502092934e-07,1.1342261818647614e-06
1861,2.0703080760853254e-07,1.1219277276097728e-06
1862,2.5571801476331757e-07,8.959166859501266e-07
1863,1.8530042567022065e-07,8.935376873964174e-07
1864,1.8459702566531178e-07,8.61612619029728e-07
1865,1.74623919768635e-07,1.0792794471470302e-06
1866,1.6494427779178977e-07,9.264126816788121e-07
1867,2.052739329627684e-07,1.136043158211919e-06
1868,1.9808895634909618e-07,9.005390211314079e-07
1869,2.3538562921032735e-07,1.0377477881462482e-06
1870,1.5883315729325886e-07,9.782287362369857e-07
1871,1.6887672416032729e-07,8.847440493564562e-07
1872,1.4815981774773945e-07,9.161719121131284e-07
1873,1.711997255071651e-07,9.092741035665597e-07
1874,1.7087382664371376e-07,1.044959159202108e-06
1875,2.6662317065273555e-07,9.297481593506518e-07
1876,1.6324239293652454e-07,1.0737722573317399e-06
1877,1.8987384420299236e-07,1.1138853643899438e-06
1878,1.8117265554451478e-07,1.1872848553196036e-06
1879,2.1138265182685245e-07,1.2713506443162714e-06
1880,2.413110191668011e-07,1.0499596663215982e-06
1881,3.012123261925126e-07,1.105839730008995e-06
1882,2.881781799857208e-07,1.0422332996640193e-06
1883,2.3507941193656734e-07,9.27678966977652e-07
1884,2.535051635277341e-07,9.321596019518097e-07
