year,en_PRON irons_VERB,en_PRON tirons_VERB
1800,2.5153315874604232e-08,1.3834323908668011e-07
1801,5.9529565277216534e-08,2.0001934331048687e-07
1802,4.923248297927785e-08,1.3427040812530322e-07
1803,3.510610468993036e-08,2.281896911426884e-07
1804,4.943701892301533e-09,1.3100809326260787e-07
1805,2.2743021688143017e-08,2.2743022043414385e-07
1806,2.881669125542885e-09,5.76333825108577e-08
1807,3.701041606518629e-08,1.0533734240425474e-07
1808,1.3369836437959748e-07,7.251436784372345e-08
1809,4.518061036407062e-09,1.3328279635516083e-07
1810,7.956430891908894e-08,1.661489932303084e-07
1811,3.259199843341776e-08,6.016983888912364e-08
1812,2.6672083208723052e-08,1.5736529235255148e-07
1813,2.8757416448144113e-09,9.489947672136623e-08
1814,2.5173417128598885e-08,7.237357380063258e-08
1815,1.0788894222457657e-08,6.47333635583891e-08
1816,6.952811659743929e-09,1.0197457100957763e-07
1817,1.556873407970727e-09,1.665854512111764e-07
1818,7.152706427149269e-09,8.344824209416402e-08
1819,1.0351049795076506e-08,1.2214239575314423e-07
1820,2.610625848831205e-08,8.42520151422832e-08
1821,1.1833785507064931e-08,7.889190811738445e-08
1822,5.714601059025881e-08,9.724847416237026e-08
1823,1.581229902569703e-08,7.214361374963119e-08
1824,5.3053010873327366e-08,9.010590673597108e-08
1825,3.3460683113162304e-08,6.780191341704267e-08
1826,9.688783109140786e-09,8.015265962058038e-08
1827,2.3964910056406552e-08,5.899054755786892e-08
1828,3.3020285172824515e-08,1.0731592681167967e-07
1829,1.5431716349212365e-08,1.1745251526917855e-07
1830,5.635891398014792e-08,9.914994336668315e-08
1831,2.6505050598757407e-08,1.1693404644574912e-07
1832,2.841293600397421e-08,1.0282776941039629e-07
1833,1.853380560135065e-08,1.4132027104096778e-07
1834,1.9602515166639023e-08,1.1388127774125678e-07
1835,3.2521278114927554e-08,1.0285799589837552e-07
1836,6.72075017860152e-08,1.2433388008048496e-07
1837,2.99189295560609e-08,1.050641529332097e-07
1838,3.3454458758797045e-08,1.1488134532555705e-07
1839,1.3493547612597467e-07,8.669429263363782e-08
1840,4.1402977046800515e-08,1.0382592563473736e-07
1841,3.0818632978935057e-08,1.001605554051821e-07
1842,9.592819338877234e-08,9.928232458378261e-08
1843,3.4260082770742883e-08,1.0750578383067477e-07
1844,1.811225303072206e-08,1.1690635659533655e-07
1845,3.124927516751086e-08,1.0937246486264485e-07
1846,5.620321275046081e-08,1.0069742018004035e-07
1847,2.534815024546333e-08,1.0570718700364523e-07
1848,3.137636639394259e-08,7.803865287314693e-08
1849,1.8434713311421547e-08,1.1814974953949786e-07
1850,3.190828223864628e-08,8.757805147752151e-08
