year,en_ADP huile_NOUN,en_ADP tuiles_NOUN
1800,9.432493470740155e-07,5.376521130529e-07
1801,8.572257570449437e-07,2.7383600809116615e-07
1802,7.899575393821578e-07,2.64065135979763e-07
1803,1.1331470659570186e-06,2.515937467251206e-07
1804,8.602041248195746e-07,2.793191526961891e-07
1805,1.0547075817157747e-06,3.297738260243932e-07
1806,5.302271119944635e-07,2.795219131712656e-07
1807,5.43768408078904e-07,2.0213381901612593e-07
1808,8.747045399104536e-07,5.461238288262393e-07
1809,1.246984879799129e-06,2.8915590633005195e-07
1810,6.50555250558682e-07,3.2293749541167927e-07
1811,5.741205768572399e-07,3.008492228673276e-07
1812,3.6807472270083963e-07,5.467776986733952e-07
1813,5.693968319064879e-07,2.7894694198948855e-07
1814,3.5872119497071253e-07,4.845882699555659e-07
1815,6.365447688949644e-07,5.259585691419488e-07
1816,5.075552280686679e-07,4.2875672079389915e-07
1817,6.02509999225731e-07,7.286167829079204e-07
1818,5.388372414927289e-07,3.2425603535557457e-07
1819,3.7056759083498036e-07,3.322687120999035e-07
1820,3.9871378021416604e-07,2.895421289395017e-07
1821,3.786811362260778e-07,2.445649158744345e-07
1822,3.909990198280866e-07,1.8948414037822658e-07
1823,3.4589405117912975e-07,2.174191138237802e-07
1824,4.429505224834429e-07,3.326339594877936e-07
1825,3.178764984568261e-07,4.561219384413562e-07
1826,4.79154323329567e-07,2.9594826855827705e-07
1827,2.87578927782306e-07,4.101686386093206e-07
1828,4.898008683085209e-07,4.1642246628725843e-07
1829,3.1635019581699453e-07,3.8407827673836437e-07
1830,3.61114530278428e-07,7.608453529428516e-07
1831,3.913392845333874e-07,4.1784431914493325e-07
1832,3.910161012754543e-07,7.549722909061529e-07
1833,3.9268499563149817e-07,1.2429233038346865e-06
1834,3.985844614362577e-07,5.358020871426561e-07
1835,2.9269151013977535e-07,5.816014549964166e-07
1836,3.1049864901433466e-07,3.326771320644184e-07
1837,3.778134782805864e-07,4.5087134026289277e-07
1838,2.8467849233493325e-07,4.936110826747608e-07
1839,4.656322403207014e-07,3.6495501376521133e-07
1840,3.23580195527029e-07,3.3759349093998026e-07
1841,4.1284127405560866e-07,5.16212082857237e-07
1842,3.5419640198597335e-07,3.025427588454477e-07
1843,4.2647897657843714e-07,3.898561260484712e-07
1844,4.4622004224947887e-07,4.0560468050898635e-07
