year,un_DET or_NOUN,un_DET tort_NOUN
1800,4.4961552170263985e-07,1.7733088242266604e-06
1801,5.762461718905598e-07,1.683496087423464e-06
1802,6.019789964284428e-07,2.0185317168852634e-06
1803,3.335080056565687e-07,1.7923617985360352e-06
1804,6.67399774556543e-07,2.887121830497108e-06
1805,4.264316615376629e-07,2.13500116696963e-06
1806,4.2072369854651015e-07,1.8846116391912915e-06
1807,4.128084847287994e-07,1.6284583637116157e-06
1808,5.053345026873046e-07,1.5431963884537936e-06
1809,2.6430655797327063e-07,1.8140014665934956e-06
1810,3.5803939590906e-07,1.6497893575717626e-06
1811,7.420947225611485e-07,1.3488072454492794e-06
1812,4.4275655497472144e-07,2.203113957932601e-06
1813,4.486157074712338e-07,2.3207234605138183e-06
1814,2.5488085952929396e-07,1.8848595946252544e-06
1815,2.8051123601713357e-07,1.505050775563177e-06
1816,3.3373494900956757e-07,1.434596846650038e-06
1817,3.596377702308473e-07,2.168724687834356e-06
1818,4.1128063266171466e-07,2.355624626915187e-06
1819,4.3370898339389896e-07,2.0308760220189015e-06
1820,5.339916668845035e-07,2.364989679648488e-06
1821,3.9939027973723285e-07,2.134026056310745e-06
1822,4.210758675071702e-07,1.9048670480970031e-06
1823,3.3996441639594366e-07,1.9567719924395988e-06
1824,3.9747652991195537e-07,1.6791698378426645e-06
1825,3.971254782797473e-07,1.783982725100941e-06
1826,3.1796822663743285e-07,1.5933643791044005e-06
1827,3.659257501453794e-07,1.7780119589971832e-06
1828,3.3754069272973197e-07,1.954617440347306e-06
1829,2.700550321144135e-07,1.9066743099926953e-06
1830,2.661393030400916e-07,2.0696245606188768e-06
1831,3.3677005895071943e-07,2.0175021413493255e-06
1832,3.084832966848694e-07,2.2107970067963834e-06
1833,3.312917766784551e-07,1.7271189944878529e-06
1834,4.2005388944943434e-07,1.8678396642712869e-06
1835,4.00843653380889e-07,1.8484187123135598e-06
1836,3.803944532698722e-07,1.6842200105671168e-06
1837,3.0266826422931103e-07,1.7185990728307843e-06
1838,4.336455154962948e-07,1.6241192657417969e-06
1839,2.712692359629898e-07,1.4982731642021463e-06
1840,3.044711236466213e-07,1.799437054472719e-06
1841,3.890852333654493e-07,1.8426974577323563e-06
1842,3.0790937222135994e-07,1.605287796024868e-06
1843,3.142476772133307e-07,1.5228016234658526e-06
1844,2.969311720946166e-07,1.8935536445496837e-06
1845,2.818015216732306e-07,1.709781795256049e-06
1846,2.359364073001302e-07,1.6380894862777495e-06
1847,2.389198110464008e-07,1.8202129545841217e-06
1848,2.622742316660265e-07,1.7578809430318643e-06
1849,2.1702684072089085e-07,1.836767770768688e-06
1850,2.4033045598059743e-07,1.5601112455243538e-06
1851,2.8313036226634836e-07,1.5794675523039814e-06
1852,2.994851013848887e-07,1.5579735297421848e-06
1853,3.039713381003395e-07,1.5957001897604073e-06
1854,3.0342679568917674e-07,1.5244079989429338e-06
1855,3.157627688210596e-07,1.6679703627175968e-06
1856,3.05454175508757e-07,1.5469441230209213e-06
1857,4.0760602182388084e-07,1.7295186687249497e-06
1858,2.8089699988242955e-07,1.7582977882568684e-06
1859,2.8261562801112916e-07,1.6839817273961444e-06
1860,2.3984443742186556e-07,1.6134573197490454e-06
1861,2.801282459330423e-07,1.6105015614442664e-06
1862,3.203252283423552e-07,1.615631905593773e-06
1863,3.156600310028068e-07,1.7546103521226541e-06
1864,3.04944698381604e-07,1.514175114181171e-06
1865,2.7676245673013966e-07,1.6078579840872465e-06
1866,3.4643163537850796e-07,1.562348316497264e-06
1867,2.9747733343299387e-07,1.5592083268956003e-06
1868,2.657652117266096e-07,1.6049650515270741e-06
1869,2.1878165790134574e-07,1.5158443886775785e-06
1870,2.6204603731372345e-07,1.4719303322863198e-06
1871,1.6993883589222492e-07,1.3839393666614797e-06
1872,2.666876723900202e-07,1.5432809972182326e-06
1873,2.3405277038701655e-07,1.4025208940893208e-06
1874,1.8162811832311831e-07,1.536669456569939e-06
1875,2.385876887167626e-07,1.5087666582758175e-06
1876,1.8682186286866909e-07,1.3748637353039328e-06
1877,2.2389034581848932e-07,1.423126111177453e-06
1878,1.7332184998331002e-07,1.2899493881946e-06
1879,1.9549841123733813e-07,1.7600966586428513e-06
1880,1.8675932844658405e-07,1.530014500872312e-06
1881,2.168449799722083e-07,1.3958960369819806e-06
1882,1.6571908467710728e-07,1.3457188252630203e-06
1883,1.9526757766286096e-07,1.280930011837711e-06
1884,1.7956616193970376e-07,1.4173843831954969e-06
1885,1.7983322930792411e-07,1.294928190453959e-06
1886,1.6327263929749591e-07,1.2100244468626897e-06
1887,1.912974973983239e-07,1.354751877791216e-06
1888,1.6739223385187074e-07,1.213593638915711e-06
1889,2.1677373718276272e-07,1.3670528389297942e-06
1890,1.8811089363968136e-07,1.122110914408836e-06
1891,2.581559104264386e-07,1.274844059651059e-06
1892,2.062340609398916e-07,1.1226905991534863e-06
1893,2.0630695130030574e-07,1.1645565800577629e-06
1894,1.7959387621502287e-07,1.2168271990020685e-06
