year,en_ADP humeur_NOUN,en_ADP tumeur_NOUN
1800,1.0061326349841693e-07,0.0
1801,2.4288061695187935e-07,4.7623651688866175e-09
1802,1.656001700212073e-07,2.6854081625060644e-08
1803,1.1116933507082649e-07,7.021220937986072e-08
1804,2.4718508484511403e-07,7.4155526164076946e-09
1805,1.3361525930122298e-07,2.842877711017877e-09
1806,2.0459850702536642e-07,1.152667650217154e-08
1807,1.708173016368164e-07,2.8469551160981155e-09
1808,1.3823051858707913e-07,1.8128591960930862e-08
1809,1.6716825257390155e-07,2.259030518203531e-09
1810,3.2761775514700275e-07,1.6380887757350138e-08
1811,3.284270633230335e-07,7.521229861140455e-09
1812,2.1070944455914287e-07,8.535066342574282e-08
1813,9.202373263406116e-08,1.7254450312975678e-08
1814,8.810695817373926e-08,6.293354282149721e-09
1815,6.74305908887618e-08,8.091670444798638e-09
1816,1.1588019788177917e-07,3.0128852301913867e-08
1817,9.808302792180257e-08,4.670620334934483e-09
1818,1.9073883095188648e-07,1.1921176934492905e-08
1819,1.3249344021915022e-07,9.315945348475907e-09
1820,1.4002448267547152e-07,3.5599443393152796e-09
1821,2.919000507972669e-07,2.9584463767662328e-09
1822,2.446250277898798e-07,9.023054303725075e-09
1823,2.3224313849823375e-07,3.9530747564242574e-09
1824,1.9958037000833428e-07,5.052667617633233e-09
1825,2.1045008224973571e-07,1.0566531649658373e-08
1826,2.0346443818652915e-07,2.906634755106552e-08
1827,1.4655464042334643e-07,1.935627302884768e-08
1828,1.8986663974374096e-07,1.7427371545863934e-08
1829,2.0232695874256024e-07,3.429270423183084e-09
1830,2.0769303432643937e-07,1.0436835395921662e-08
1831,1.3252525832285755e-07,6.236482441579483e-09
1832,2.489514372427948e-07,8.117981842303834e-09
1833,2.0155513880126819e-07,2.20088942626262e-08
1834,1.4095141409598e-07,2.0535967593104942e-08
1835,3.153807597300329e-07,1.2100940693926532e-08
1836,2.0162249825261824e-07,1.4113575197427508e-08
1837,1.781220078100887e-07,2.852735292435682e-08
1838,1.7232201798833557e-07,1.9567702125300457e-08
1839,1.6150308113083156e-07,2.516931019158619e-08
1840,1.592422194107712e-07,3.630722389402763e-08
1841,1.7977535549107415e-07,2.760835826620678e-08
1842,2.3747257671402622e-07,1.2745703159566801e-08
1843,1.671655809332151e-07,8.269675610961258e-09
1844,1.438003067733007e-07,1.756339607084101e-08
1845,1.389476693702818e-07,1.2276501593078137e-08
1846,1.6275514269636915e-07,2.9272506196775794e-08
1847,1.0570718700364523e-07,1.4022381478184798e-08
1848,1.5125016261663404e-07,1.609044275596716e-08
1849,1.080944542763973e-07,1.9272654583346593e-08
1850,1.5207351111712342e-07,4.8880771430503955e-08
1851,1.554314792429068e-07,2.1283147688677673e-08
1852,2.265669820644689e-07,2.4740073101270355e-08
1853,1.6960287041456468e-07,4.060913738612726e-08
1854,1.766525912216821e-07,1.8184826089395756e-08
1855,2.4518050167898764e-07,2.7596072982305486e-08
1856,2.2313685121844173e-07,1.4496129630003907e-08
1857,2.3382428082641127e-07,8.78671624349181e-09
1858,3.6017456750414567e-07,1.1744822003834088e-08
1859,2.6224691396237176e-07,4.582956236731661e-09
1860,2.0597327932136977e-07,1.5104706818647173e-08
1861,2.2825264522907673e-07,1.1789909493131745e-08
1862,2.9457271466526436e-07,1.445755604123633e-08
1863,2.7820038894788013e-07,2.4973103585068657e-09
1864,2.3110588642794028e-07,1.5343129433631475e-08
1865,1.840376171458047e-07,3.294790928975999e-08
1866,2.739340061452822e-07,2.1408697037372804e-08
1867,2.3778775926075468e-07,4.85281148598915e-09
1868,2.035228163776992e-07,1.778354707937524e-08
1869,1.9631747250059561e-07,3.271957993433716e-08
1870,1.8004912760716252e-07,1.834895613228582e-08
1871,2.5172190021294227e-07,1.1683295220166201e-08
1872,1.608592299362499e-07,1.3304146229131675e-08
1873,1.7299552723670786e-07,1.7359413462259e-08
1874,1.7087381820601877e-07,1.5533982988813477e-08
1875,2.1341296019272704e-07,2.4030413214859436e-08
1876,2.212841394566567e-07,1.5115036333668286e-08
1877,2.1585007914382004e-07,2.288381928394756e-08
1878,2.3612837196651526e-07,1.2078177569208037e-08
1879,2.0649518717164028e-07,3.5434087664043545e-08
1880,1.7584898159839213e-07,1.2193908105473383e-08
1881,1.8267969892349356e-07,1.8128519130300447e-08
1882,2.455837204706768e-07,3.9932310791357395e-09
1883,2.553013018768979e-07,8.847074184359371e-09
1884,2.145551576404614e-07,3.300848305798354e-08
1885,1.9207993773306953e-07,2.707166935067562e-08
1886,1.7682491204595863e-07,2.452316216761119e-08
1887,1.8476856666893582e-07,3.264462478114183e-08
1888,2.1684901696517045e-07,3.106901047544852e-08
1889,1.8168896076531382e-07,2.8193115397812107e-08
1890,1.6910317413021403e-07,2.4906668727453507e-08
1891,1.6509230249539542e-07,3.059625441892422e-08
1892,1.3477301763487048e-07,2.7581453565517222e-08
1893,1.675089293939891e-07,3.387129154930335e-08
1894,1.5375755424429371e-07,2.7726773765834878e-08
1895,1.9440125242908834e-07,3.4306101071024386e-08
1896,1.8162849357850064e-07,2.4177818858106548e-08
1897,1.4275448734224483e-07,3.379494017963225e-08
1898,1.3749802008078404e-07,3.281845906144554e-08
1899,1.525611708075303e-07,3.371822998587959e-08
1900,1.59365328045169e-07,5.1391424449320766e-08
1901,1.475427069408397e-07,3.1855812210324075e-08
1902,1.207929756219528e-07,1.0802624572647801e-08
1903,1.6038654848671285e-07,3.9961630449170116e-08
1904,1.3221577432886988e-07,4.78341632970114e-08
1905,1.5791923146935005e-07,2.2707340008309984e-08
1906,1.0699903896238538e-07,4.629766081620801e-08
1907,1.3011393207307265e-07,3.754275823553144e-08
1908,1.6256697676908516e-07,3.8799974788616964e-08
1909,1.4467586595401372e-07,2.9155213354670195e-08
1910,1.507050484406136e-07,2.6186338430989053e-08
1911,1.7982864619625616e-07,2.2345570727111408e-08
1912,1.4846850149297097e-07,5.053138707467042e-08
1913,1.2408996497015323e-07,3.0227042202568555e-08
1914,1.687579356257629e-07,1.9420557606508737e-08
1915,1.4843760709482012e-07,1.0602685840410686e-08
1916,1.648119365427192e-07,1.4283700444650549e-08
1917,1.5352993898432032e-07,1.7546279096336548e-08
1918,1.596606296061509e-07,1.4932290071101306e-08
1919,1.4732557929164614e-07,1.8415697411455767e-08
1920,1.2721349662569992e-07,4.164727585020955e-08
1921,1.4994040498095274e-07,3.862101038976107e-08
1922,1.3354063810311345e-07,2.6560567079059183e-08
