year,en_ADP air_NOUN,en_ADP terres_NOUN
1800,9.023752340908686e-07,1.2702424889710073e-06
1801,4.4528114284680953e-07,2.03829237221953e-06
1802,2.506380951672327e-07,1.2822823407532269e-06
1803,4.5442902552039754e-07,1.513463232072354e-06
1804,3.8808059343864443e-07,1.7302956236697753e-06
1805,2.7575912708854844e-07,8.699206075490906e-07
1806,3.7749865100522584e-07,8.731457477040294e-07
1807,2.0498076924724273e-07,1.016363009753718e-06
1808,2.062127402169267e-07,3.0524017233801715e-06
1809,2.4397530085096264e-07,1.3486411813978805e-06
1810,1.7550951270095538e-07,8.471258658993008e-07
1811,2.0808736911348547e-07,1.4641328647257978e-06
1812,1.3869483117545656e-07,2.3551448382619355e-06
1813,2.0992913585260453e-07,9.029828937912043e-07
1814,1.3530711839848664e-07,1.1139237585666706e-06
1815,2.8320846801044297e-07,7.633142757867972e-07
1816,1.7150268938337376e-07,5.678129717523461e-07
1817,1.3077736582545185e-07,3.105962377958349e-06
1818,2.2888661255215936e-07,7.4626569568359e-07
1819,1.3870406800897683e-07,7.67012825253488e-07
1820,1.8511710120350244e-07,7.65388056045424e-07
1821,8.776724769177235e-08,9.989687796974067e-07
1822,1.0426640528748976e-07,9.434104413230671e-07
1823,9.586206450862278e-08,1.0821541881478325e-06
1824,1.4905369027928828e-07,1.0762181599233145e-06
1825,1.1270966804310945e-07,8.946330058989815e-07
1826,9.776862741617265e-08,1.0023486662902314e-06
1827,1.6222400611720644e-07,1.1162117914409464e-06
1828,1.4033620721054518e-07,8.998027798412522e-07
1829,1.3717081515096652e-07,9.80771372560696e-07
1830,1.8786305133744463e-07,1.1668382171592384e-06
1831,1.7306238930814288e-07,8.949352121589982e-07
1832,1.1094574858816486e-07,9.240969061075077e-07
1833,1.4247862734073635e-07,9.961921048073918e-07
1834,1.474855890748472e-07,1.0604027442795427e-06
1835,1.1722786297241328e-07,9.272346019884026e-07
1836,1.9624590608113834e-07,1.7319372929147647e-06
1837,9.253994626146067e-08,1.1313530876577715e-06
1838,1.7484688585867048e-07,2.1006875323692498e-06
1839,1.3143973565110656e-07,1.0885727075304885e-06
1840,1.1720227499623093e-07,9.586381608528427e-07
1841,1.4703056194775854e-07,1.0375605903334417e-06
1842,1.1739464067517247e-07,8.781119222867062e-07
1843,1.9729083622355148e-07,1.1004575635187308e-06
1844,1.5203314940315238e-07,1.438551935351029e-06
1845,1.9419193170167048e-07,1.2248599778885705e-06
1846,1.0362467706137579e-07,9.525273441113313e-07
1847,9.977463566457345e-08,1.2366661357177122e-06
1848,7.562508130831702e-08,1.0941501473737958e-06
1849,4.776266493422554e-08,1.3122163604606385e-06
1850,1.0726613819400654e-07,1.0400742258553919e-06
1851,9.28719168236114e-08,1.171218087847592e-06
1852,1.295598495154593e-07,1.0573126019153278e-06
1853,1.8632426690423642e-07,1.056434738799794e-06
1854,1.5327209934579145e-07,8.718324897571961e-07
1855,1.645150575768639e-07,1.038036842260226e-06
1856,1.0457922500206607e-07,1.0276720843194198e-06
1857,1.649950125415245e-07,1.071003095098888e-06
1858,1.1793758891709416e-07,9.229472783811588e-07
