year,en_ADP erreurs_NOUN,en_ADP terreurs_NOUN
1800,1.8550569791386806e-07,3.144164484325529e-09
1801,2.09544069207368e-07,0.0
1802,1.2755688771903806e-07,1.5664880947952042e-08
1803,2.3209037181004533e-07,3.900678446910888e-09
1804,1.8044511307380162e-07,2.4718509461507665e-09
1805,2.3595885068061762e-07,1.421438877713399e-08
1806,1.3832011802605848e-07,8.645007376628655e-09
1807,1.3380689267705748e-07,0.0
1808,4.985362878073829e-08,2.2660739951163578e-09
1809,8.584316191218022e-08,4.518061036407062e-09
1810,1.5210824244604737e-07,0.0
1811,1.8050953087822563e-07,0.0
1812,1.440292436427626e-07,0.0
1813,7.189353823378042e-08,0.0
1814,9.44003133440674e-08,3.1466772298927026e-08
1815,2.454473531088297e-07,2.697223555614414e-09
1816,1.5759707139295642e-07,6.952811659743929e-09
1817,1.71256075987003e-07,0.0
1818,2.4080779326141055e-07,3.5763532135746345e-09
1819,1.4698491668241331e-07,0.0
1820,2.1596996191419748e-07,1.542642635854463e-08
1821,1.8145138369618508e-07,4.930744257336528e-09
1822,2.245737960038241e-07,1.0025615893027862e-09
1823,1.5515819029587874e-07,0.0
1824,2.3831748308111855e-07,0.0
1825,1.3912600138610287e-07,7.924898959288385e-09
1826,9.248383747717526e-08,4.403992281964975e-09
1827,8.479891278057039e-08,8.295545583791863e-09
1828,1.5317742452225502e-07,2.7516904310687096e-09
1829,1.2002446680980938e-07,2.571952872898464e-09
1830,1.1271782796029584e-07,2.0873671680021744e-09
1831,7.951515357262906e-08,3.1182412207897414e-09
1832,1.312406965325863e-07,9.470978667991403e-09
1833,1.2278646011054661e-07,3.4750886612755494e-09
1834,1.110809151327885e-07,4.1071935186209885e-08
1835,8.621920244422654e-08,3.781543966852041e-09
1836,1.1290860157942006e-07,1.008112526790228e-08
1837,1.2176309382994077e-07,1.3219993100221927e-08
1838,6.56464820281144e-08,1.2624323808552163e-08
1839,9.718150550952487e-08,5.5931801412612e-09
1840,9.108654808187566e-08,6.3696887764308485e-09
1841,9.823439484080154e-08,2.632424944692957e-08
1842,8.45241387992246e-08,1.0733224087289273e-08
1843,1.2936135362906498e-07,7.678984559333912e-09
1844,8.397498874046505e-08,3.2931368743049916e-09
1845,9.653794563746487e-08,5.580227946389016e-10
1846,1.0479557488451974e-07,9.952652035849496e-09
1847,7.604445073638999e-08,1.1865092020002521e-08
1848,1.2791902292974555e-07,8.04522137798358e-09
1849,5.1952373070207614e-08,2.513824481908955e-09
1850,1.0115603998883671e-07,8.146795238417326e-09
1851,6.320450296470881e-08,1.2898877521649865e-09
1852,8.789236005668499e-08,5.859490670445666e-09
1853,6.867721680237082e-08,1.1943863675867306e-08
1854,8.001322981954218e-08,5.195664343204953e-09
1855,7.005156987816008e-08,1.2736649068756378e-08
1856,9.422484481547144e-08,1.5531567143511893e-09
1857,8.933161410595858e-08,1.1715622250108026e-08
1858,9.200110895335456e-08,1.3212924976357954e-08
1859,9.82789458703337e-08,3.0043821652725455e-08
1860,9.795173383508882e-08,6.408057640072684e-09
1861,9.054650718098856e-08,1.4147890858851042e-08
1862,7.364317866631609e-08,4.517986429419807e-09
1863,7.491931341974123e-08,1.4983863039219614e-09
1864,7.959248193856183e-08,3.3563094525845827e-09
1865,5.7894187222018445e-08,1.2237795665726026e-08
1866,4.476363812955242e-08,4.865612912574591e-10
1867,7.036576477048584e-08,6.79393608038481e-09
1868,5.0386717020955984e-08,3.951899252285784e-09
1869,5.567211758261692e-08,1.660396442559886e-08
1870,6.078091985273204e-08,2.8670243956696595e-09
1871,4.354682658913589e-08,3.18635318130589e-09
1872,6.107812566824578e-08,3.0236697590169115e-09
1873,6.824045328812645e-08,4.190203295451056e-09
1874,3.584765551067903e-08,1.7923826867161097e-09
1875,5.721527074342703e-08,6.865832347102696e-09
1876,5.018192439365521e-08,4.232210137899983e-09
1877,8.34950171224591e-08,5.566334504436554e-09
1878,5.435179772916854e-08,3.0195443923020093e-09
1879,9.89710713383829e-08,6.10932526790009e-10
1880,4.2357786611546544e-08,1.9253538763308597e-09
