year,en_PRON ira_VERB,en_PRON tira_VERB
1800,2.829748035892976e-08,1.5532172028542846e-06
1801,1.4763331535050384e-07,1.1501111885081627e-06
1802,7.608656460433849e-08,1.4904014733474469e-06
1803,6.826187259889593e-08,1.0239281209578621e-06
1804,1.4831105232815389e-08,1.1321077408865676e-06
1805,3.1271653710973624e-08,1.0916650126091554e-06
1806,5.4751711608957976e-08,1.4754145922779571e-06
1807,4.555128185756985e-08,1.087536816157808e-06
1808,6.571614363792833e-08,9.948064416676061e-07
1809,1.3554183553310395e-08,1.2085813523299294e-06
1810,3.510190182964834e-08,1.5515040558966575e-06
1811,4.011322829455821e-08,1.807602302505984e-06
1812,4.800974684471271e-08,1.149566742242314e-06
1813,6.901779880941206e-08,1.6219182725762948e-06
1814,9.440030979135372e-09,8.810695817373926e-07
1815,4.5852800667489646e-08,9.494227128925559e-07
1816,3.244645441213834e-08,1.3071286275589955e-06
1817,4.981994772279563e-08,8.298135298900888e-07
1818,4.053200441944682e-08,1.2183443232061109e-06
1819,6.624672233002116e-08,1.2762844789904193e-06
1820,4.6279275522920216e-08,1.1332489293636172e-06
1821,6.409967356901802e-08,1.160697138402611e-06
1822,5.012807946513931e-08,1.279268644793774e-06
1823,6.127265805844218e-08,1.5723354636065778e-06
1824,5.810567671460376e-08,1.252219476555183e-06
1825,5.195211372210906e-08,1.2864752534369472e-06
1826,8.807984386294265e-08,1.2630649735001498e-06
1827,7.92685455053288e-08,1.1042293408536352e-06
1828,4.769596628761974e-08,1.1786406730607268e-06
1829,7.287199377259412e-08,1.4917326325303293e-06
1830,4.696576150209353e-08,1.3390460935625015e-06
1831,5.14509785887185e-08,9.245585488315555e-07
1832,6.494385473843067e-08,1.2014612593702623e-06
1833,5.21263281427764e-08,1.0587436918285675e-06
1834,4.573920264761e-08,1.2256239187991014e-06
1835,3.327758690829796e-08,1.1662281167446054e-06
1836,4.166864897570122e-08,1.1781474995586905e-06
1837,4.940102726891382e-08,1.1925825447178795e-06
1838,7.511472688292997e-08,1.2624324199350667e-06
1839,3.705481788074394e-08,1.0808820434249355e-06
1840,4.267691267045848e-08,1.2733007679344155e-06
1841,3.467096121312352e-08,9.495991548646998e-07
1842,6.976596012009395e-08,1.043135171130416e-06
1843,4.784597962270709e-08,1.0118538966708002e-06
1844,3.402907822191992e-08,9.599493751011323e-07
1845,4.575786860527842e-08,1.0613593985908665e-06
1846,5.034871208842162e-08,1.0754719141914393e-06
1847,6.68759696509369e-08,9.653870165493572e-07
1848,4.424871846708811e-08,8.479663620164501e-07
1849,5.781796375003978e-08,7.055467108330049e-07
1850,6.11009625117731e-08,1.037358629218943e-06
1851,2.579775504329973e-08,9.796697213459993e-07
1852,3.841221740685796e-08,9.420759283784719e-07
1853,4.120633079196523e-08,1.081516870726773e-06
1854,6.702406807335137e-08,1.1357722087268485e-06
1855,3.874064091746732e-08,1.029545842357038e-06
1856,4.504154560436291e-08,1.040615074998641e-06
1857,4.6862489000432106e-08,1.1735147609215346e-06
1858,7.38945047373818e-08,1.139247729042836e-06
1859,6.212451353349024e-08,9.990843636842328e-07
1860,4.8060432078500526e-08,1.1150019645356224e-06
1861,6.979626476777412e-08,9.139537837654643e-07
1862,6.505900529418795e-08,1.1656404694804223e-06
1863,4.794835845034484e-08,1.0114107453773613e-06
1864,5.274200631788517e-08,9.670966392150149e-07
1865,3.4830648587558244e-08,1.0369178653490962e-06
1866,5.157549765044678e-08,9.351708172289364e-07
1867,5.28956434209249e-08,9.948263368642074e-07
1868,4.9398739321304674e-08,1.0729406767495675e-06
1869,5.274200631788517e-08,9.620532637200085e-07
1870,5.734048613703635e-08,1.0005915100919083e-06
1871,4.6733180880664804e-08,7.572899676233646e-07
