year,un_DET an_NOUN,un_DET temps_NOUN
1800,2.065401696427216e-05,2.7020948891731678e-05
1801,1.8870872679599415e-05,2.5735821537864467e-05
1802,2.064631223674951e-05,2.7138287720163135e-05
1803,1.965746980658878e-05,3.123468383137151e-05
1804,2.160644874038553e-05,3.2069792808897546e-05
1805,1.9544784152003558e-05,3.0737193469576596e-05
1806,2.088921922904774e-05,2.8165434883931084e-05
1807,2.2809804022472235e-05,2.4976337442694785e-05
1808,2.2792173126617854e-05,2.874514916584303e-05
1809,2.104286875237449e-05,3.2410309444230734e-05
1810,2.2191421578554582e-05,3.4392841826047515e-05
1811,2.3202996260351938e-05,2.833498149357183e-05
1812,1.9139885921504174e-05,3.0104780179840418e-05
1813,2.1648583356181916e-05,2.8153509845196822e-05
1814,1.9182143887519487e-05,2.960079245895031e-05
1815,1.9614209008977923e-05,3.326216091181777e-05
1816,1.8413362852243154e-05,3.45554732916753e-05
1817,1.8037934694348223e-05,3.5319230960340064e-05
1818,2.2023183362307464e-05,3.4847986142949594e-05
1819,2.257356914014963e-05,3.562314009286638e-05
1820,2.1815338527630956e-05,3.257942307755002e-05
1821,2.1181491547395126e-05,3.6497368512300454e-05
1822,1.979156860443254e-05,3.322689701690251e-05
1823,2.0159692155630182e-05,3.330959648906173e-05
1824,1.9963090494456992e-05,3.1524434518814815e-05
1825,2.186831864037231e-05,3.085691412252345e-05
1826,2.178390661811136e-05,3.2911912626332196e-05
1827,2.2704908076320862e-05,3.4950977550352036e-05
1828,2.097338466455767e-05,3.479970953890188e-05
1829,2.0859394453509594e-05,3.340623609915383e-05
1830,2.163869237392646e-05,3.5077161271601653e-05
1831,2.1741936109265225e-05,3.406990327903259e-05
1832,2.361114900395478e-05,3.326884046828127e-05
1833,2.2751404912924045e-05,3.450762807233332e-05
1834,2.3242048655447434e-05,3.333080923084708e-05
1835,2.2531194360908557e-05,3.5150205860645656e-05
1836,2.33613275213429e-05,3.443241877221226e-05
1837,2.430878402037706e-05,3.385222589713521e-05
1838,2.4272787300105847e-05,3.4292712570049844e-05
1839,2.1895203417443554e-05,3.3048703016902437e-05
1840,2.3132797764446877e-05,3.4138345512246815e-05
1841,2.3125531356527063e-05,3.3594877294262915e-05
1842,2.389282769854617e-05,3.3411856918519334e-05
1843,2.350182637655962e-05,3.387849650948738e-05
1844,2.482750744547957e-05,3.3700314816087484e-05
1845,2.3381713617709465e-05,3.263372957462707e-05
1846,2.4084248366307293e-05,3.379393655222884e-05
1847,2.4692335387044295e-05,3.423941811320219e-05
1848,2.4372999632760184e-05,3.3364338946739736e-05
1849,2.701523294490471e-05,3.259592236304343e-05
1850,2.3052035430737305e-05,3.344055934917378e-05
1851,2.4945139216470125e-05,3.341518842603364e-05
1852,2.4500484073541884e-05,3.249803899052495e-05
1853,2.3782621269674564e-05,3.4630037077931775e-05
1854,2.3131617240323976e-05,3.350476183072715e-05
1855,2.4107293256747653e-05,3.301976104808091e-05
1856,2.357847222356213e-05,3.4713052428969604e-05
1857,2.367824788507278e-05,3.4266729159071474e-05
1858,2.352292119667254e-05,3.4084452181559755e-05
1859,2.2499768192574265e-05,3.4595716215335415e-05
1860,2.318297811143566e-05,3.2710387586121215e-05
1861,2.3103035232452385e-05,3.5679094963825264e-05
1862,2.4454505023641104e-05,3.390613022702382e-05
1863,2.4611993467260618e-05,3.2925038311759636e-05
1864,2.474175516908872e-05,3.3526654817706e-05
1865,2.437862940496416e-05,3.3556506650711526e-05
1866,2.334715657070774e-05,3.402814948572086e-05
1867,2.4310645130753983e-05,3.3021926839182925e-05
1868,2.4710238449188182e-05,3.384455882837756e-05
