year,en_ADP ail_NOUN,en_ADP taille_NOUN
1932,7.562080428513696e-08,8.647074238865571e-07
1933,7.226516984815134e-08,6.882397323160205e-07
1934,9.465448513878982e-08,5.583416520238416e-07
1935,4.906996675657638e-08,4.883060000793193e-07
1936,8.48730010716281e-08,6.38972446509456e-07
1937,8.687871400070435e-08,6.018554472575488e-07
1938,1.568790929384889e-07,4.83602471290645e-07
1939,1.514110952172132e-07,9.574075647833524e-07
1940,4.564409206153641e-08,6.415530720005336e-07
1941,4.132103503806661e-08,4.692889206125983e-07
1942,3.337632992206352e-08,4.2175543057965115e-07
1943,3.4838822049465534e-08,9.725838481244864e-07
1944,3.8879553265758204e-07,1.7383336938792127e-06
1945,3.0499057501742755e-08,4.923418996938267e-07
1946,3.897909017780421e-08,6.863104431431566e-07
1947,5.8412266579210836e-08,6.639925187457152e-07
1948,3.696441908118686e-08,8.436584897353328e-07
1949,4.319483692949433e-08,5.978558037522674e-07
1950,2.754558749984426e-07,4.7540065972739853e-07
1951,5.415991913837459e-07,5.86377094879964e-07
1952,4.144107842440903e-07,6.369061487099259e-07
1953,1.2993236028213673e-06,6.033343444844519e-07
1954,5.433529979281815e-07,5.023083562427644e-07
1955,8.409504821393909e-07,1.001444353221359e-06
1956,7.290874344256792e-07,9.488602206175756e-07
1957,6.007825775755649e-08,7.403761843605139e-07
1958,5.459680674224643e-08,6.245543917593466e-07
1959,8.370807780266887e-08,5.44102479071995e-07
1960,6.367166593967966e-08,7.785937352622341e-07
1961,3.474079646181849e-08,7.81667891747162e-07
1962,3.868593489997352e-08,7.699135076144614e-07
1963,8.793832662057355e-08,7.047997887532631e-07
1964,7.909158827867913e-08,8.292448923086226e-07
1965,1.3515946983844174e-07,8.109568199188288e-07
1966,1.395846825902325e-07,8.696347129077964e-07
1967,4.831728783738498e-08,1.0117048265811945e-06
1968,4.940557485344499e-08,6.71915825201097e-07
1969,2.9521425970457926e-08,8.343209136896235e-07
1970,6.208278624519892e-08,8.898533176981971e-07
1971,5.087013565940879e-08,7.907993455624762e-07
1972,5.7970659272932323e-08,8.65968789121041e-07
1973,6.891504811257221e-08,9.295261840236435e-07
1974,2.475251587030769e-08,7.217608652965168e-07
1975,3.0270844941782116e-08,7.436347115863384e-07
1976,3.085304589589555e-08,7.490433793222451e-07
1977,2.8796230511218823e-08,5.953179882389747e-07
1978,2.3762364964596827e-08,7.87722433059912e-07
1979,3.686743144104554e-08,7.543193651926572e-07
1980,5.2303386621765924e-08,7.447547585304193e-07
1981,2.656730796468665e-08,8.178935413383215e-07
1982,7.759377962379688e-08,7.920772907565876e-07
1983,8.209910984380286e-08,1.1563344202158987e-06
1984,7.30675078219889e-08,7.405333724008756e-07
1985,5.7147801157952927e-08,8.25334560250468e-07
1986,5.454981805153025e-08,9.60916034742354e-07
1987,2.688759526137119e-08,8.74457914079585e-07
1988,2.9982769877978654e-08,8.86890304752086e-07
1989,1.865961507530045e-08,8.116932743718053e-07
1990,3.323677144617676e-08,6.674597712308383e-07
1991,2.2273568323072368e-08,8.340864949829552e-07
1992,2.6998725921600908e-08,8.364095032131758e-07
1993,2.4926433028760187e-08,6.491951030085374e-07
1994,3.797947112360589e-08,7.253024127962249e-07
1995,3.470368564739701e-08,8.69761112909373e-07
1996,2.7758079612638653e-08,7.980447662703227e-07
1997,6.521056805652847e-08,7.978704354982824e-07
1998,7.24755656600351e-08,8.139196499001855e-07
