year,en_ADP tissu_NOUN
1800,2.2952400513531757e-07
1801,3.143161109164794e-07
1802,3.3567602031325805e-07
1803,1.4432509942707838e-07
1804,9.145848167690929e-08
1805,2.899735136452364e-07
1806,8.933174200365102e-08
1807,7.402083213037258e-08
1808,1.4276265858370607e-07
1809,1.5361408145508904e-07
1810,1.3338723192646285e-07
1811,1.0780430415024966e-07
1812,3.6807472270083963e-07
1813,1.0352670187785407e-07
1814,1.950939889638903e-07
1815,3.749140660147532e-07
1816,6.118474402683205e-07
1817,1.8682480629195197e-07
1818,2.2650236530807888e-07
1819,5.703428769265884e-07
1820,2.5038275452970993e-07
1821,2.9485849495358707e-07
1822,2.3058916553964082e-07
1823,2.213721899124721e-07
1824,3.570551712073211e-07
1825,2.280609692206781e-07
1826,2.457427683566493e-07
1827,2.304318229562341e-07
1828,3.9074004121175676e-07
1829,4.346600235294318e-07
1830,3.2354191148442624e-07
1831,2.8843732025052304e-07
1832,2.665403826540569e-07
1833,5.235800131231372e-07
1834,4.247211506935855e-07
1835,4.507600408487633e-07
1836,3.9181972510959895e-07
1837,6.241228334147308e-07
1838,3.225514717541955e-07
1839,5.383436132433417e-07
1840,3.229432081752748e-07
1841,4.455860675989243e-07
1842,2.884553964577208e-07
1843,4.6369251549549517e-07
1844,4.4018261746714415e-07
1845,4.3023558760069136e-07
1846,3.27852063719547e-07
1847,4.06649064643716e-07
1848,3.4514002322794113e-07
1849,3.728839601535583e-07
1850,3.6660577507063863e-07
1851,4.2695285173977027e-07
1852,5.924596280237893e-07
1853,5.703195142814366e-07
1854,2.675767234450177e-07
1855,3.8156878190420684e-07
1856,5.078822482573742e-07
1857,3.4707528584476677e-07
1858,2.588754739463184e-07
1859,3.116410027814709e-07
1860,2.6501894012653793e-07
1861,3.593564485981915e-07
1862,3.329755884351471e-07
1863,3.1665896926824644e-07
1864,3.5960459854322835e-07
1865,4.052592998959881e-07
1866,5.721960860682884e-07
1867,7.376273742920603e-07
1868,7.088719371495245e-07
1869,6.719722591697064e-07
1870,4.16291953797554e-07
1871,6.786932544855517e-07
1872,3.936818018246413e-07
1873,7.775819881317148e-07
1874,8.113519243124756e-07
1875,4.983450025974889e-07
1876,7.273355890902167e-07
1877,6.339436140478938e-07
1878,5.489531531566172e-07
1879,6.989068310758739e-07
1880,5.397408813223592e-07
1881,6.512321988338954e-07
1882,6.189508212628425e-07
1883,5.990733598082443e-07
1884,5.842501877850736e-07
1885,6.61322246742202e-07
1886,5.091782782074006e-07
1887,5.967436891296529e-07
1888,4.6540111497961334e-07
1889,4.9306623850498e-07
1890,4.4242108288017334e-07
1891,5.85153372867353e-07
1892,5.227939254837111e-07
1893,6.02293141582777e-07
1894,5.079040761302167e-07
1895,5.838056154061633e-07
1896,5.277840955386637e-07
1897,7.149377552195801e-07
1898,7.084260573719803e-07
1899,8.611967245997221e-07
1900,6.795088438593666e-07
1901,6.35998503639712e-07
1902,1.8663988612388493e-06
1903,6.447863256653363e-07
1904,6.379680144164013e-07
1905,6.218714929673297e-07
1906,9.789382602320984e-07
1907,6.269125947255816e-07
1908,6.743337053194409e-07
1909,8.11395068467391e-07
1910,7.369583840954874e-07
1911,6.980330908845644e-07
1912,6.855598257970996e-07
1913,6.506768386316253e-07
1914,8.277175425064343e-07
1915,1.0013648079620907e-06
1916,9.899703172777663e-07
1917,1.0571633310973994e-06
1918,8.132354309964285e-07
1919,7.624098543601576e-07
1920,8.094715440165601e-07
1921,7.269837283274683e-07
1922,6.352402692755277e-07
1923,4.5754737243441923e-07
1924,5.491831984727469e-07
1925,5.411103529695538e-07
1926,6.409029538190225e-07
1927,6.143222890386824e-07
1928,7.244109951898281e-07
1929,6.138363914942602e-07
1930,5.482880851559457e-07
1931,6.854619414298213e-07
1932,5.118103558743314e-07
1933,6.664454872407077e-07
1934,7.069132266224187e-07
1935,7.911035595498106e-07
1936,6.971710604375403e-07
1937,8.033133553908556e-07
1938,8.660763342049904e-07
1939,7.371732522187813e-07
1940,5.477290869748686e-07
1941,7.172151299528196e-07
1942,5.400896725404891e-07
1943,4.616144053670723e-07
1944,6.844086328783305e-07
1945,4.07380269962232e-07
1946,5.248256229606341e-07
1947,4.887556883659272e-07
1948,6.055641392777034e-07
1949,5.350269702830701e-07
1950,5.381492655942566e-07
1951,5.170779786567437e-07
1952,6.474509746112744e-07
1953,1.006275510917476e-06
1954,9.518450383438903e-07
1955,1.1412898857088294e-06
1956,7.072845846778364e-07
1957,6.891329462632712e-07
1958,6.00564874275733e-07
1959,6.843910114184837e-07
1960,6.685525022476213e-07
1961,5.558527504945232e-07
1962,4.5091309175404604e-07
1963,6.647102850365627e-07
1964,4.952350423081953e-07
1965,5.526763970920001e-07
1966,5.400597729021683e-07
1967,6.197431616783433e-07
1968,5.304362389324524e-07
1969,4.914181772619486e-07
1970,4.879247512690199e-07
1971,5.749867000304221e-07
1972,6.751273531335755e-07
1973,4.802000717063493e-07
1974,6.480658498730918e-07
1975,7.270714377227705e-07
1976,5.627824180010066e-07
1977,5.865028356311086e-07
1978,5.934650744165992e-07
1979,5.266775815471192e-07
1980,5.20759783739777e-07
1981,5.066765424999176e-07
1982,5.506054776560632e-07
1983,5.923766366322525e-07
1984,5.706224328605458e-07
1985,6.147900535324879e-07
1986,5.353075493985671e-07
1987,6.098595122239203e-07
1988,6.272395012274501e-07
1989,5.060048806626583e-07
1990,5.083591076981975e-07
1991,6.078339538362343e-07
1992,6.01685883339087e-07
1993,7.123420573407202e-07
1994,6.134739578556037e-07
1995,7.28235136193689e-07
1996,8.669061912769394e-07
1997,1.096592313842848e-06
1998,1.1839265425805934e-06
