year,en_ADP as_NOUN,en_ADP tasses_NOUN
1800,3.4585810571030606e-07,0.0
1801,4.2861285987072506e-07,2.3811825844433088e-09
1802,3.3343818017783633e-07,4.475680270843441e-09
1803,3.003522337508002e-07,4.8758479920252285e-08
1804,2.4718509372689823e-07,2.9662210465630778e-08
1805,2.7860201168294907e-07,5.685755510853596e-08
1806,2.651135728726217e-07,1.729001475325731e-08
1807,2.5622595423158145e-07,0.0
1808,2.8099317894714204e-07,1.5862518409903714e-08
1809,2.1460790433636134e-07,2.710836710662079e-08
1810,2.808152181899004e-07,6.084329839950442e-08
1811,2.557218179433107e-07,6.267691787797958e-08
1812,1.9737341272474396e-07,5.3344164641089264e-09
1813,2.50189524653166e-07,5.751483289628823e-09
1814,4.0277466961669006e-07,0.0
1815,2.022917642285904e-07,0.0
1816,2.757948678322464e-07,2.3176038865813098e-09
1817,3.720927379546879e-07,2.0239355080775567e-08
1818,1.4305412698867315e-07,2.384235475716423e-09
1819,2.918996142575736e-07,0.0
1820,4.378731439658168e-07,3.5599443393152796e-09
1821,4.339054879842763e-07,9.86148829262845e-10
1822,3.8297854132451903e-07,0.0
1823,3.281052071146817e-07,1.087095569118901e-08
1824,3.680026168240147e-07,8.421112696055388e-10
1825,2.8969908849596493e-07,0.0
1826,2.8449789102324985e-07,8.807984341885344e-10
1827,2.6084881338261923e-07,2.5808365222701468e-08
1828,2.2563861046265288e-07,2.7516904310687096e-09
1829,2.777708928980438e-07,1.714635211591542e-09
1830,3.214545323260154e-07,0.0
1831,2.2451337056139664e-07,1.5591206103948707e-09
1832,3.2877825006938366e-07,0.0
1833,2.9422415903646026e-07,2.0850531967653296e-08
1834,3.407103701391634e-07,2.0535967593104942e-08
1835,4.3790279136146637e-07,0.0
1836,3.3536543780909867e-07,8.064899859050456e-09
1837,3.7920506068545023e-07,1.530736071231331e-08
1838,2.7521026901844436e-07,6.312161904276081e-09
1839,2.5868458308764275e-07,1.11863602825224e-08
1840,3.4014138294846674e-07,0.0
1841,3.820226459616549e-07,1.926164561183441e-09
1842,4.3268309024568907e-07,4.695785538189057e-09
1843,3.3964738710423603e-07,1.0041748765843295e-08
1844,2.6729294777538826e-07,1.2623690537338916e-08
1845,4.0456653921383534e-07,7.812318791877715e-09
1846,2.915541785775133e-07,2.3418005312692003e-09
1847,3.537954720300718e-07,2.6966118227278457e-09
1848,2.5181543988894717e-07,1.287235473768078e-08
1849,2.2875802829780412e-07,2.262441967104678e-08
1850,2.8038552457587684e-07,1.3577992064028876e-08
1851,2.2637530627811486e-07,6.449438760824933e-09
1852,2.793023943237216e-07,4.557382027314816e-09
1853,2.6037622324892595e-07,6.569124799682413e-09
1854,2.9407460516717165e-07,2.0782657816909023e-09
1855,3.3539842902996497e-07,1.0613874223963649e-09
1856,2.8422767495150936e-07,5.694908100650764e-09
1857,3.1192843735761144e-07,1.4156376515472857e-08
1858,3.8366420923585665e-07,4.893676130990343e-09
1859,3.7071023051282737e-07,0.0
1860,3.9272237825627165e-07,4.57718396518203e-09
1861,3.485097264110948e-07,2.357981809808507e-09
1862,2.9186190375618537e-07,5.873382225018986e-09
1863,3.3064388560433144e-07,2.4973103585068657e-09
1864,3.2700043783862043e-07,3.3563094525845827e-09
1865,3.1959472512888e-07,4.23615986733239e-09
1866,4.5785417668309236e-07,1.4596839292835284e-09
1867,3.9550414143718626e-07,1.94112459439566e-09
1868,2.711990786385954e-07,8.397785578040384e-09
1869,4.0728548655888375e-07,6.8369265804335555e-09
1870,4.512696407665828e-07,7.454262984651905e-09
1871,3.8236238508737586e-07,2.1242354542039266e-09
1872,3.368367974543318e-07,0.0
1873,3.5137846432498065e-07,7.183205141814142e-09
1874,3.5130700881680355e-07,4.182226565063729e-09
1875,4.7317029022719836e-07,2.2886108563824337e-09
1876,3.301123994159383e-07,4.232210137899983e-09
1877,3.698519965844582e-07,0.0
1878,3.448319532139976e-07,1.2078177347163432e-09
1879,3.335691514116945e-07,4.27652757650776e-09
1880,3.3244444619384694e-07,2.5671385017744797e-09
1881,3.4653363067960186e-07,1.045876096839038e-08
1882,3.374280168610966e-07,7.986462158271479e-09
1883,3.7536872571353186e-07,5.0554711528150165e-09
1884,3.096195948515401e-07,7.922036360241691e-09
1885,4.447488609615746e-07,2.1915161241281567e-08
1886,3.2331852700684394e-07,2.5813855497602844e-09
1887,3.042478760040268e-07,7.834709769838355e-09
1888,2.5869708109027556e-07,5.706553452000662e-09
1889,2.982205120072301e-07,3.132568426877924e-09
1890,2.890484358530898e-07,1.3108772956016423e-09
1891,2.3520871894611162e-07,3.824531802365527e-09
1892,3.265894872317432e-07,6.268512375839919e-09
1893,2.43873290228791e-07,8.621783287310336e-09
1894,2.2307449065728235e-07,5.041231432301174e-09
1895,2.3773527124681948e-07,1.8055843487019274e-09
1896,3.036969786762711e-07,2.358811590497112e-09
1897,2.709421679236712e-07,1.0488084178916779e-08
1898,2.5858681684809426e-07,7.355861253444118e-09
1899,2.785899582136153e-07,8.291367592505594e-09
1900,3.021192990226851e-07,6.22926377147337e-09
1901,2.749659515632885e-07,2.794369402536745e-09
1902,2.828323433234914e-07,4.910283846193408e-10
1903,2.6299072075630647e-07,5.400220270956879e-09
1904,3.004415365381874e-07,1.0749250378694342e-09
1905,2.797131311016443e-07,1.0321518084666081e-09
1906,2.9218967750876956e-07,2.0576738091193647e-09
1907,2.900563543795087e-07,2.057137349353866e-09
1908,3.0254155403142136e-07,2.9468334439286537e-09
1909,3.2730850829665314e-07,1.6502950117569526e-09
1910,3.8210678510175455e-07,2.137660271017694e-09
1911,2.4526925279655387e-07,7.980561100850991e-09
1912,2.5682447457597846e-07,5.209421227725386e-10
1913,3.1817937240496974e-07,6.893886794756554e-09
1914,2.7858453233164937e-07,5.357394972094198e-09
1915,1.9791680205827333e-07,1.1780761921542648e-09
1916,2.593041019682829e-07,2.197492410260793e-09
1917,2.9719009653206285e-07,5.483212106582869e-09
1918,2.9634850040594074e-07,6.89182577673364e-09
1919,2.541366124209077e-07,1.8415696745321952e-09
1920,3.4377930724360795e-07,7.572231730534895e-10
1921,3.218417599648582e-07,3.7863738810983705e-09
1922,4.190667302061968e-07,4.426761179843197e-09
1923,3.980980638473852e-07,0.0
1924,4.486285209992502e-07,5.156649773851996e-09
1925,4.2233001984470775e-07,1.0998177923937646e-09
1926,3.9791713002390594e-07,7.802296586589819e-09
1927,4.4708391400138936e-07,4.4596899506643695e-09
