year,en_ADP issue_NOUN,en_ADP tissu_NOUN
1800,0.0,2.2952400513531757e-07
1801,0.0,3.143161109164794e-07
1802,0.0,3.3567602031325805e-07
1803,0.0,1.4432509942707838e-07
1804,0.0,9.145848167690929e-08
1805,0.0,2.899735136452364e-07
1806,0.0,8.933174200365102e-08
1807,0.0,7.402083213037258e-08
1808,0.0,1.4276265858370607e-07
1809,0.0,1.5361408145508904e-07
1810,0.0,1.3338723192646285e-07
1811,0.0,1.0780430415024966e-07
1812,0.0,3.6807472270083963e-07
1813,8.627225156487839e-09,1.0352670187785407e-07
1814,0.0,1.950939889638903e-07
1815,0.0,3.749140660147532e-07
1816,0.0,6.118474402683205e-07
1817,2.80237220096069e-08,1.8682480629195197e-07
1818,0.0,2.2650236530807888e-07
1819,1.3456364911235141e-08,5.703428769265884e-07
1820,0.0,2.5038275452970993e-07
1821,0.0,2.9485849495358707e-07
1822,0.0,2.3058916553964082e-07
1823,0.0,2.213721899124721e-07
1824,0.0,3.570551712073211e-07
1825,0.0,2.280609692206781e-07
1826,5.284790383086602e-09,2.457427683566493e-07
1827,9.217273055917019e-10,2.304318229562341e-07
1828,0.0,3.9074004121175676e-07
1829,8.57317605795771e-10,4.346600235294318e-07
1830,1.0436835840010872e-09,3.2354191148442624e-07
1831,0.0,2.8843732025052304e-07
1832,0.0,2.665403826540569e-07
1833,0.0,5.235800131231372e-07
1834,0.0,4.247211506935855e-07
1835,0.0,4.507600408487633e-07
1836,5.376600054063374e-09,3.9181972510959895e-07
1837,0.0,6.241228334147308e-07
1838,0.0,3.225514717541955e-07
1839,3.4957374772659477e-09,5.383436132433417e-07
1840,6.369688665408546e-10,3.229432081752748e-07
1841,0.0,4.455860675989243e-07
1842,6.708265054555795e-10,2.884553964577208e-07
1843,0.0,4.6369251549549517e-07
1844,0.0,4.4018261746714415e-07
1845,5.580227946389016e-10,4.3023558760069136e-07
1846,5.269050973311096e-09,3.27852063719547e-07
1847,0.0,4.06649064643716e-07
1848,8.045221711050488e-10,3.4514002322794113e-07
1849,0.0,3.728839601535583e-07
1850,0.0,3.6660577507063863e-07
1851,6.449438760824933e-10,4.2695285173977027e-07
1852,0.0,5.924596280237893e-07
1853,0.0,5.703195142814366e-07
1854,5.195664454227256e-10,2.675767234450177e-07
1855,5.306937111981824e-10,3.8156878190420684e-07
1856,6.73034605824796e-09,5.078822482573742e-07
1857,4.881509085841174e-10,3.4707528584476677e-07
1858,0.0,2.588754739463184e-07
1859,1.018434669930457e-09,3.116410027814709e-07
1860,7.323494255473406e-09,2.6501894012653793e-07
1861,3.3011746669586728e-09,3.593564485981915e-07
1862,4.517986262886353e-10,3.329755884351471e-07
1863,0.0,3.1665896926824644e-07
1864,0.0,3.5960459854322835e-07
1865,4.706844358715045e-10,4.052592998959881e-07
1866,4.865612912574591e-10,5.721960860682884e-07
1867,4.85281148598915e-10,7.376273742920603e-07
1868,4.93987406535723e-10,7.088719371495245e-07
1869,4.883519144627257e-10,6.719722591697064e-07
1870,2.8670243956696595e-09,4.16291953797554e-07
1871,0.0,6.786932544855517e-07
1872,0.0,3.936818018246413e-07
1873,0.0,7.775819881317148e-07
1874,5.974609140757536e-10,8.113519243124756e-07
1875,5.721527140956084e-10,4.983450025974889e-07
1876,0.0,7.273355890902167e-07
1877,6.184815992682502e-10,6.339436140478938e-07
1878,6.039088673581716e-10,5.489531531566172e-07
1879,0.0,6.989068310758739e-07
1880,0.0,5.397408813223592e-07
1881,0.0,6.512321988338954e-07
1882,0.0,6.189508212628425e-07
1883,1.2638677882037541e-09,5.990733598082443e-07
1884,0.0,5.842501877850736e-07
1885,0.0,6.61322246742202e-07
1886,5.162771099520569e-09,5.091782782074006e-07
1887,2.6115698492645834e-09,5.967436891296529e-07
1888,1.268122939990235e-09,4.6540111497961334e-07
1889,6.265136742733546e-10,4.9306623850498e-07
1890,0.0,4.4242108288017334e-07
1891,1.2748440081367107e-09,5.85153372867353e-07
1892,0.0,5.227939254837111e-07
1893,2.463366621796581e-09,6.02293141582777e-07
