year,un_DET est_NOUN,un_DET test_NOUN
1800,1.9713911569851916e-06,1.540640539587912e-07
1801,1.578724095452344e-06,1.2144030847593967e-07
1802,1.6873314052645583e-06,8.056224487518193e-08
1803,2.2779961454943987e-06,4.212732847008738e-07
1804,2.3532020350103267e-06,2.3482583344502928e-07
1805,1.7881700387079036e-06,1.051864728651708e-07
1806,1.3976094805911998e-06,1.613734639249742e-07
1807,1.6455400100312545e-06,1.4519470425966574e-07
1808,1.8853735355151002e-06,7.478044494746428e-08
1809,1.5632491567885154e-06,8.584316280035864e-08
1810,1.7621154029257013e-06,1.2402671600852955e-07
1811,1.4139912991595338e-06,6.518399464638946e-08
1812,1.5283103493857197e-06,7.20146218213813e-08
1813,1.521267336102028e-06,2.300593315851529e-08
1814,1.277550950362638e-06,2.5173417128598885e-08
1815,1.6048479665187187e-06,8.631115377966125e-08
1816,1.6385459957746207e-06,4.032630727124342e-07
1817,1.9133974547003163e-06,5.962825007088668e-07
1818,1.5068368384163477e-06,1.287487183532221e-07
1819,1.9252952370152343e-06,2.1323163590381e-07
1820,1.2424205806382815e-06,1.1629151686065597e-07
1821,1.4772509757676744e-06,4.339054981983281e-08
1822,1.414614416717086e-06,2.105379337535851e-07
1823,1.384564484396833e-06,1.0376821146795834e-07
1824,1.45516833072179e-06,1.4989581131885643e-07
1825,1.5224610478981049e-06,2.483134906583473e-07
1826,1.1661770713544684e-06,3.3029941448603495e-07
1827,1.4664681202702923e-06,1.9079754931539128e-07
1828,1.572132418914407e-06,2.017906219897725e-07
1829,1.288548332922801e-06,2.6919771656253033e-07
1830,1.4319339243229479e-06,3.099740242262783e-07
1831,1.5731526445961208e-06,3.165014810235789e-07
1832,1.4666486549685942e-06,1.420646782435142e-07
1833,1.4143610087558045e-06,6.486831694019202e-08
1834,1.3413721262622857e-06,1.577535688745968e-07
1835,1.3893392178943031e-06,2.0269076372869677e-07
1836,1.4738604932063026e-06,2.143919317632026e-07
1837,1.475072849643766e-06,3.5972296941189086e-07
1838,1.4416978046938311e-06,1.672722875767363e-07
1839,1.384312099617091e-06,1.2794399895099673e-07
1840,1.3529219131669379e-06,1.745294624377891e-07
1841,1.465169134462485e-06,1.804174161179617e-07
1842,1.4295312666945392e-06,1.3886108574112654e-07
1843,1.5499734900004114e-06,4.6073906523336206e-08
1844,1.4648969681729795e-06,9.769639319756607e-08
1845,1.3571113868238172e-06,1.4564394312799323e-07
1846,1.4056657846595044e-06,2.76917916153252e-07
1847,1.2776546327586402e-06,1.466956875972869e-07
1848,1.243791302840691e-06,1.0378336007255129e-07
1849,1.2661296295846114e-06,1.2988092934484996e-07
1850,1.2586798447955516e-06,1.384955172767377e-07
1851,1.2956923001183895e-06,1.457573168828219e-07
1852,1.2578374253280344e-06,1.1393454557584448e-07
1853,1.288145654143591e-06,1.4690952809814917e-07
1854,1.249557271876256e-06,1.0339372380485656e-07
1855,1.4206671039573848e-06,1.0348527368364557e-07
1856,1.1798814512076206e-06,9.784887833319544e-08
1857,1.395623485223041e-06,1.532793812430988e-07
1858,1.4108468349149916e-06,7.780944599744544e-08
1859,1.244527197741263e-06,1.0286190343933299e-07
1860,1.3017511264479253e-06,1.4509673462725914e-07
1861,1.3473508033712278e-06,7.168264914980682e-08
1862,1.2727167586490395e-06,5.873382136201144e-08
1863,1.247156774297764e-06,5.094513255698985e-08
1864,1.26916449971759e-06,1.2130661275477905e-07
1865,1.2360172831904492e-06,1.0966947017188033e-07
1866,1.2212688034196617e-06,6.471265417973271e-08
1867,1.1239111472605146e-06,1.2811422678282725e-07
1868,1.1554365073607187e-06,1.1905096386488623e-07
1869,1.2955975989825674e-06,8.83916939642404e-08
1870,1.2431418099367875e-06,8.830435493933919e-08
1871,1.2001930826954776e-06,1.1152236201183996e-07
1872,1.264498678210657e-06,7.075387031818536e-08
