year,en_ADP air_NOUN,en_ADP terre_NOUN
1800,9.023752340908686e-07,1.7682781617622823e-05
1801,4.4528114284680953e-07,1.552292947337719e-05
1802,2.506380951672327e-07,1.4024544071844502e-05
1803,4.5442902552039754e-07,1.6330190845792458e-05
1804,3.8808059343864443e-07,1.6284553467471596e-05
1805,2.7575912708854844e-07,1.8168830735021402e-05
1806,3.7749865100522584e-07,1.3123121277658356e-05
1807,2.0498076924724273e-07,9.910250355460448e-06
1808,2.062127402169267e-07,1.334037750666539e-05
1809,2.4397530085096264e-07,2.017991948832787e-05
1810,1.7550951270095538e-07,9.603880130271136e-06
1811,2.0808736911348547e-07,1.36485261919006e-05
1812,1.3869483117545656e-07,1.0655497206357722e-05
1813,2.0992913585260453e-07,8.932053759735936e-06
1814,1.3530711839848664e-07,1.110462360998099e-05
1815,2.8320846801044297e-07,7.1422480658611676e-06
1816,1.7150268938337376e-07,1.2554460184333038e-05
1817,1.3077736582545185e-07,1.0798473546458354e-05
1818,2.2888661255215936e-07,1.0636074691205977e-05
1819,1.3870406800897683e-07,9.510544806801136e-06
1820,1.8511710120350244e-07,1.0720178948986359e-05
1821,8.776724769177235e-08,1.1089243400874693e-05
1822,1.0426640528748976e-07,1.0232143964117313e-05
1823,9.586206450862278e-08,1.277238496300015e-05
1824,1.4905369027928828e-07,1.0868288043752727e-05
1825,1.1270966804310945e-07,1.2540711537667448e-05
1826,9.776862741617265e-08,1.3768641082378963e-05
1827,1.6222400611720644e-07,1.1271803522561186e-05
1828,1.4033620721054518e-07,9.090667731470603e-06
1829,1.3717081515096652e-07,1.0635882361498261e-05
1830,1.8786305133744463e-07,1.3340363238967257e-05
1831,1.7306238930814288e-07,1.2321730395115083e-05
1832,1.1094574858816486e-07,1.1882018711162345e-05
1833,1.4247862734073635e-07,1.1694831471231737e-05
1834,1.474855890748472e-07,1.084765833070378e-05
1835,1.1722786297241328e-07,1.3195319809256034e-05
1836,1.9624590608113834e-07,1.4355521841480368e-05
1837,9.253994626146067e-08,1.3803760225528094e-05
1838,1.7484688585867048e-07,1.256814539374318e-05
1839,1.3143973565110656e-07,1.2881093965688706e-05
1840,1.1720227499623093e-07,1.1252054719079752e-05
1841,1.4703056194775854e-07,1.2529058608379273e-05
1842,1.1739464067517247e-07,1.0024831738064677e-05
1843,1.9729083622355148e-07,1.0484176669933731e-05
1844,1.5203314940315238e-07,1.3081985741791868e-05
1845,1.9419193170167048e-07,1.1455091652123883e-05
1846,1.0362467706137579e-07,1.2033342386530421e-05
1847,9.977463566457345e-08,1.0803165963579886e-05
1848,7.562508130831702e-08,1.0908516543395308e-05
1849,4.776266493422554e-08,1.0298300878730515e-05
1850,1.0726613819400654e-07,1.1470009127378944e-05
1851,9.28719168236114e-08,1.2250064287400164e-05
1852,1.295598495154593e-07,1.1415590307706225e-05
1853,1.8632426690423642e-07,1.2453269334855577e-05
1854,1.5327209934579145e-07,1.251167978466583e-05
1855,1.645150575768639e-07,1.375717317841918e-05
1856,1.0457922500206607e-07,1.2448033714917983e-05
1857,1.649950125415245e-07,1.3611111626232741e-05
1858,1.1793758891709416e-07,1.272942972718738e-05
1859,9.522363986214089e-08,1.1853561318275752e-05
1860,2.2016254042078742e-07,1.140176533453996e-05
1861,1.787350306092783e-07,1.2196424961530283e-05
1862,2.466820419877447e-07,1.2464672124679055e-05
1863,1.4883970733681195e-07,1.3638811196869938e-05
1864,9.829192038068868e-08,1.4059580678349448e-05
1865,8.425251213362017e-08,1.4046164892533852e-05
1866,1.7954111974916032e-07,1.3623230017856258e-05
1867,1.465549051005155e-07,1.4304147157417901e-05
1868,1.1262912769094413e-07,1.3188475406877842e-05
1869,1.3771524309813543e-07,1.1819093231224542e-05
1870,1.2614906896857292e-07,1.2962963751306233e-05
1871,1.115223595693493e-07,1.3844704483290116e-05
1872,1.5420715726577328e-07,1.246961329570695e-05
1873,7.302925214558442e-08,1.5318783653128776e-05
1874,1.69081439682639e-07,1.3390891069775535e-05
1875,1.0241533254795598e-07,1.4784998597860977e-05
1876,1.6566080840441089e-07,1.4755298934687744e-05
1877,1.0699732011509866e-07,1.5053223819450068e-05
1878,1.6547102504871347e-07,1.421782667421212e-05
1879,6.659164597522249e-08,1.4182187669575796e-05
1880,1.1167052460514526e-07,1.2564859673602768e-05
1881,1.1713813058422673e-07,1.5085020550031913e-05
1882,1.0715170062347568e-07,1.4699083749292186e-05
1883,1.131161653233903e-07,1.4033987554284977e-05
1884,1.7296446674919252e-07,1.523341592246652e-05
1885,1.4180398011376383e-07,1.5290981650650792e-05
1886,1.0906354014350583e-07,1.417180624230241e-05
1887,8.161155939934162e-08,1.3425427880520147e-05
1888,1.0715638998348709e-07,1.3824441793985898e-05
1889,8.645888804892365e-08,1.3562767833263933e-05
1890,1.7238036653655087e-07,1.2645377637454658e-05
1891,2.42220368873447e-07,1.357836362103626e-05
1892,1.1847488301519604e-07,1.3474167531057901e-05
1893,1.422594238520425e-07,1.255824309964737e-05
1894,1.9282710761459043e-07,1.3305070069691283e-05
1895,1.0352017021375559e-07,1.2394734994813916e-05
1896,7.194375445385148e-08,1.142018669497702e-05
1897,1.1070755412401212e-07,1.2868879650795861e-05
1898,1.9181822974445595e-07,1.3522902179374796e-05
1899,1.0060192678906787e-07,1.3377292191307788e-05
1900,1.3496738171525635e-07,1.2615297350748733e-05
1901,1.279821263411307e-07,1.1579308534237498e-05
1902,2.533706344731712e-07,1.1452254852883925e-05
1903,1.3608554705335507e-07,1.2315742310420319e-05
1904,1.4135264425618743e-07,1.276580940157146e-05
1905,1.475977098319703e-07,1.1663831799069158e-05
1906,2.052529679552606e-07,1.2019901191706595e-05
1907,2.2062798410438234e-07,1.2449795121938223e-05
1908,2.3329098763902323e-07,1.1704330972861499e-05
1909,3.15206349466024e-07,1.1167546404067252e-05
1910,3.6340225884057276e-07,1.1035136537884682e-05
1911,3.9902805815117404e-07,1.246457253500921e-05
1912,4.625965921434272e-07,1.0589711166630877e-05
1913,5.09087001221431e-07,1.0589539783723012e-05
1914,3.0202313938687553e-07,1.146616421010549e-05
1915,1.8377989163820274e-07,1.226612914706493e-05
1916,1.50528225217883e-07,1.0444681095123087e-05
1917,1.381769423325352e-07,1.0136266496374446e-05
1918,2.6303800471083605e-07,9.579637548995379e-06
1919,2.642652502382603e-07,1.0405789112155617e-05
1920,2.854731246948461e-07,1.0325495452434552e-05
1921,2.6504616346123555e-07,9.559836087191798e-06
1922,2.751969887526684e-07,1.0489211149433686e-05
1923,2.558443532585386e-07,1.0278361287419102e-05
