year,en_ADP axe_NOUN,en_ADP taxes_NOUN
1800,8.174827570428533e-08,1.4463157071986643e-07
1801,2.3811825844433088e-09,4.7623650800687756e-08
1802,6.713520406265161e-09,5.147032311469957e-08
1803,1.755305234496518e-08,2.9255089017965474e-08
1804,7.4155526164076946e-09,2.7190360185613827e-08
1805,3.1271653710973624e-08,2.55858996212055e-08
1806,5.4751712497136396e-08,3.7461699520235925e-08
1807,2.562259560079383e-08,4.555128185756985e-08
1808,9.064295980465431e-09,2.7192887941396293e-08
1809,9.036122072814123e-09,4.292158095609011e-08
1810,0.0,5.148278958699848e-08
1811,2.2563691359778204e-08,1.1532553401139012e-07
1812,1.0668832928217853e-08,4.5342538612658245e-08
1813,2.300593315851529e-08,1.1502966579257645e-08
1814,3.1466771410748606e-09,6.922689976818219e-08
1815,5.933891955578474e-08,2.697223555614414e-09
1816,6.489290882427667e-08,1.622322720606917e-08
1817,7.784366928831332e-09,2.3353100786493997e-08
1818,9.536941902865692e-09,3.099506074022429e-08
1819,8.280840013696888e-09,3.2088255608186955e-08
1820,1.898636980968149e-08,2.0173017922786585e-08
1821,2.5639868894700157e-08,2.465372084259343e-08
1822,7.318699601910339e-08,3.0076847679083585e-09
1823,6.917880934764753e-09,2.668325471688604e-08
1824,2.863178316658832e-08,8.421112696055388e-09
1825,9.421824387345623e-08,3.962449413030811e-08
1826,2.290075862276808e-08,1.4973572604048968e-08
1827,8.295545583791863e-09,2.3043183361437514e-08
1828,2.5682442839070063e-08,3.0268594741755805e-08
1829,2.1432940755516938e-08,2.1432940755516938e-08
1830,2.6092090266160994e-08,7.618890407457002e-08
1831,6.860130952190957e-08,2.494592976631793e-08
1832,7.170883975504694e-08,4.058990921151917e-09
1833,6.486831694019202e-08,1.7375443306377747e-08
1834,6.347480763224667e-08,5.974099792638299e-08
1835,5.899208588289184e-08,5.294161553592858e-09
1836,6.787957573806125e-08,2.083432448785061e-08
1837,5.6358917532861597e-08,2.922314124020886e-08
1838,9.152634561360173e-08,1.4517972601879592e-08
1839,1.0067724076634477e-07,3.985140750728533e-08
1840,1.6306402983445878e-07,4.649872664685972e-08
1841,9.951850188372191e-08,3.017657945747487e-08
1842,8.854910049649334e-08,2.6162233268678392e-08
1843,1.1636614516419286e-07,1.7130041385371442e-08
1844,8.726812694703767e-08,2.085653250105679e-08
1845,1.1941688171646092e-07,2.7901139010300113e-08
1846,1.042101231973902e-07,3.688335681317767e-08
1847,1.5424619448367594e-07,3.182002128454542e-08
1848,7.240699773092274e-08,4.263967667839097e-08
1849,1.2820504480259842e-07,2.8490010350878947e-08
1850,1.4800011172155791e-07,2.1045888587423178e-08
1851,8.706741994046752e-08,4.51460699935069e-08
1852,1.2890879474980466e-07,2.278690836021724e-08
1853,1.9349059243722877e-07,2.8665272822081533e-08
1854,2.0782657372819813e-07,5.143707682009335e-08
1855,1.3851105507001193e-07,3.6087172361476405e-08
1856,1.4133726722320716e-07,2.0708757375587084e-08
1857,1.6450685791369324e-07,2.0990489346672803e-08
1858,1.7568297039360914e-07,2.3489644007668176e-08
1859,4.267241138222744e-07,1.2221216039165483e-08
1860,1.7896789472615637e-07,1.5562426014525954e-08
1861,1.565699960792699e-07,1.8863854478468056e-08
