year,en_ADP as_NOUN,en_ADP tasse_NOUN
1800,3.4585810571030606e-07,1.2576657937302116e-08
1801,4.2861285987072506e-07,2.8574191901498125e-08
1802,3.3343818017783633e-07,2.6854081625060644e-08
1803,3.003522337508002e-07,1.3652374342143503e-08
1804,2.4718509372689823e-07,4.943701892301533e-09
1805,2.7860201168294907e-07,1.1371510844071508e-08
1806,2.651135728726217e-07,1.4408345627714425e-08
1807,2.5622595423158145e-07,8.540865792383556e-09
1808,2.8099317894714204e-07,2.2660739951163578e-09
1809,2.1460790433636134e-07,6.7770917766551975e-09
1810,2.808152181899004e-07,4.680253518074551e-09
1811,2.557218179433107e-07,1.027901510575191e-07
1812,1.9737341272474396e-07,1.600324850414836e-08
1813,2.50189524653166e-07,5.751483289628823e-09
1814,4.0277466961669006e-07,3.1466771410748606e-09
1815,2.022917642285904e-07,2.697223555614414e-09
1816,2.757948678322464e-07,4.6352077731626196e-09
1817,3.720927379546879e-07,3.113746815941454e-09
1818,1.4305412698867315e-07,8.344824387052086e-09
1819,2.918996142575736e-07,3.105315005136333e-09
1820,4.378731439658168e-07,2.254631326081835e-08
1821,4.339054879842763e-07,9.861488403650753e-09
1822,3.8297854132451903e-07,1.9048670196752937e-08
1823,3.281052071146817e-07,3.95307486744656e-09
1824,3.680026168240147e-07,1.6842225392110777e-09
1825,2.8969908849596493e-07,4.402721520690989e-09
1826,2.8449789102324985e-07,2.3781558056157337e-08
1827,2.6084881338261923e-07,4.6086365279585095e-09
1828,2.2563861046265288e-07,4.586150570418113e-09
1829,2.777708928980438e-07,6.858540846366168e-09
1830,3.214545323260154e-07,3.1310507520032616e-09
1831,2.2451337056139664e-07,3.1182412207897414e-09
1832,3.2877825006938366e-07,6.764984683549358e-09
1833,2.9422415903646026e-07,8.108539617524002e-09
1834,3.407103701391634e-07,6.534171426153534e-09
1835,4.3790279136146637e-07,5.294161553592858e-09
1836,3.3536543780909867e-07,9.409049983588602e-09
1837,3.7920506068545023e-07,9.74104708006962e-09
1838,2.7521026901844436e-07,4.418513332993257e-09
1839,2.5868458308764275e-07,2.0974426639952526e-09
1840,3.4014138294846674e-07,6.369688665408546e-09
1841,3.820226459616549e-07,1.2841097074556274e-09
1842,4.3268309024568907e-07,1.341653010911159e-09
1843,3.3964738710423603e-07,4.7255288571079745e-09
1844,2.6729294777538826e-07,4.9397050894128824e-09
1845,4.0456653921383534e-07,4.464182190577759e-09
1846,2.915541785775133e-07,1.3465353054797902e-08
1847,3.537954720300718e-07,6.47186837454683e-09
1848,2.5181543988894717e-07,4.827132860096839e-09
1849,2.2875802829780412e-07,1.75967720394965e-08
1850,2.8038552457587684e-07,1.0183494048021657e-08
1851,2.2637530627811486e-07,4.514607354622058e-09
1852,2.793023943237216e-07,3.906327261660181e-09
1853,2.6037622324892595e-07,1.0749477308280575e-08
1854,2.9407460516717165e-07,1.5586993584726372e-08
1855,3.3539842902996497e-07,6.368324534378189e-09
1856,2.8422767495150936e-07,2.0708756931497874e-09
