year,en_ADP ans_NOUN,en_ADP temps_NOUN
1800,1.006132621661493e-07,1.711054335373774e-05
1801,9.28661236798689e-08,1.7375488937432237e-05
1802,9.175144555229053e-08,1.7029963203185616e-05
1803,9.946729906396001e-08,2.169167356669277e-05
1804,9.887404028852131e-08,1.835102142422329e-05
1805,6.25433098644379e-08,2.2063574135700037e-05
1806,1.6137346481315262e-07,1.5630172782721274e-05
1807,1.5088862248546775e-07,1.7750765181290262e-05
1808,1.427626639127766e-07,1.937266631557577e-05
1809,7.906607124574805e-08,2.159859079142734e-05
1810,1.4508786394529238e-07,2.36727220794819e-05
1811,8.273353602206157e-08,2.2671496083148668e-05
1812,9.068508077803017e-08,1.8905172225913702e-05
1813,7.476928232108548e-08,2.1220097153218376e-05
1814,3.1466771410748606e-08,2.423256034944643e-05
1815,4.855002422310406e-08,2.1202874904702185e-05
1816,5.7940095388175905e-08,2.2705565186242893e-05
1817,6.383180817248757e-08,2.2035986603441415e-05
1818,6.318223921830679e-08,2.274202984153817e-05
1819,1.066158181739496e-07,2.0734188694859768e-05
1820,4.509263007435038e-08,2.1595808163965557e-05
1821,1.0354562518521959e-07,2.082943595382858e-05
1822,1.3334069137727056e-07,2.052945444575016e-05
1823,4.348382143248841e-08,2.2238021756493254e-05
1824,5.557934468214398e-08,2.067972644681504e-05
1825,4.138558074018306e-08,2.2248712696182338e-05
1826,3.435113959948666e-08,2.399647286210893e-05
1827,6.544263980723386e-08,2.4182437016406766e-05
1828,4.035812389835414e-08,2.250332363473717e-05
1829,5.658296359234427e-08,2.3078132073806046e-05
1830,2.7135772739939057e-08,2.5614082630909252e-05
1831,4.989185842241284e-08,2.3921587285258283e-05
1832,3.9236911608675484e-08,2.3677446108649747e-05
1833,3.938433690287013e-08,2.5039170964191726e-05
1834,4.760610661236342e-08,2.2835996105641243e-05
1835,9.756383434478266e-08,2.4836424358909426e-05
1836,3.09154504218867e-08,2.3618732654995256e-05
1837,3.478945287405111e-08,2.5830473816768063e-05
1838,3.282324301245865e-08,2.4667296713687392e-05
1839,6.711815891957684e-08,2.544966929463044e-05
1840,6.369688487772862e-08,2.3892702188277326e-05
1841,9.052973348744331e-08,2.4744151573941053e-05
1842,7.24492630332918e-08,2.50070698939453e-05
1843,3.544146692791017e-08,2.4105513944050472e-05
1844,3.402907938765409e-08,2.5180969601024117e-05
1845,2.566904799827796e-08,2.5789580831769854e-05
1846,3.2785206105501175e-08,2.60244294736367e-05
1847,2.1572895470001185e-08,2.5325498711481487e-05
1848,1.930853293918844e-08,2.8007829996568034e-05
1849,4.7762666932626985e-08,2.6753795964395977e-05
1850,3.2587180065490884e-08,2.546280842352644e-05
1851,3.4826968864365426e-08,2.5212790092155046e-05
1852,2.79953455972759e-08,2.5056484673768864e-05
1853,6.270528518648177e-08,2.642997907287281e-05
1854,3.273268556203135e-08,2.601573180527339e-05
1855,2.4411910715116392e-08,2.5532204460887442e-05
1856,1.501384794266869e-08,2.56332990034025e-05
1857,4.58861838525948e-08,2.5680643545911153e-05
1858,5.285170184832211e-08,2.691570790602782e-05
1859,2.9025388315062628e-08,2.595480736999889e-05
1860,1.968189100587381e-08,2.6559567459116806e-05
1861,1.9807047502151676e-08,2.7521421770870802e-05
1862,3.252950275811628e-08,2.55817412835313e-05
1863,2.6970952249349978e-08,2.6955968451147783e-05
1864,1.821996631345968e-08,2.6085717649948492e-05
1865,2.07101151783462e-08,2.8480645028139406e-05
1866,3.113992252945508e-08,2.7780703703683685e-05
1867,3.299911810472622e-08,2.7903180694011098e-05
1868,4.8410764397210926e-08,2.724735747960949e-05
1869,5.4207061062072626e-08,2.6895982387031836e-05
1870,2.2362789842134134e-08,2.748329632140667e-05
1871,6.054070955663349e-08,3.5611746625363594e-05
1872,3.5679300403046454e-08,3.030624009170424e-05
1873,5.566984112581608e-08,3.0915318461666175e-05
1874,3.166542839050379e-08,3.0072596928221174e-05
1875,3.204055232242098e-08,3.0167895602062345e-05
1876,3.143927651549916e-08,2.98461513921211e-05
1877,2.4120781705327943e-08,2.989863662605785e-05
1878,3.502671280797287e-08,2.6629965645952325e-05
1879,2.627009876299269e-08,2.7130902822136704e-05
1880,5.519347645588368e-08,2.7926616439799545e-05
1881,3.2770786140279284e-08,2.9525082936743274e-05
1882,4.192892699705908e-08,2.9507314820875763e-05
1883,3.854796920554904e-08,2.8666417392742005e-05
1884,2.970763635090634e-08,3.0733539460925385e-05
1885,3.351730637479733e-08,3.091842575031478e-05
1886,2.9040586768669385e-08,2.969561467125459e-05
1887,3.7867761704113434e-08,3.041303625650471e-05
1888,2.5996519825710607e-08,3.162064626849315e-05
1889,2.5060547192978788e-08,2.8809605169044517e-05
