year,certain_ADJ acte_NOUN,certain_ADJ tact_NOUN
1800,6.288328968651058e-09,5.973912209356058e-08
1801,4.7623651688866175e-09,1.904946067554647e-08
1802,3.5805442166747525e-08,4.4756802708434407e-08
1803,1.3652374786232713e-08,6.631153581793114e-08
1804,7.4155526164076946e-09,7.168367943677367e-08
1805,8.528633133053631e-09,2.55858996212055e-08
1806,0.0,2.305335300434308e-08
1807,1.1387820908481672e-08,4.27043254092041e-08
1808,4.5321479902327155e-09,7.931259204951857e-08
1809,1.3554183553310395e-08,2.9367397402779716e-08
1810,1.1700633351097167e-08,2.106114038724627e-08
1811,2.0056613703189896e-08,6.267691787797958e-08
1812,1.8670457180292033e-08,1.226915742336132e-07
1813,5.7514832008109806e-08,4.888760685162197e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,3.506390555685357e-08
1816,1.1588019432906549e-08,3.7081662185300956e-08
1817,2.80237220096069e-08,5.293369653713853e-08
1818,1.4305413076343143e-08,7.510341504257667e-08
1819,1.9666995143552413e-08,3.001804671498576e-08
1820,1.3053129244156025e-08,3.678609061807947e-08
1821,2.7612167663448872e-08,9.368413600441272e-08
1822,6.616906489398389e-08,3.709477880420309e-08
1823,1.9765373782121287e-08,4.0519015698237126e-08
1824,4.800034503205097e-08,5.642145595174952e-08
1825,3.0819050422792316e-08,4.226612659863349e-08
1826,5.725189744509862e-08,3.787433300317389e-08
1827,9.217273166939322e-09,3.6869092667757286e-08
1828,2.5682442839070063e-08,2.659967357487858e-08
1829,9.087566610332942e-08,5.401101077495696e-08
1830,2.1917355041978226e-08,5.0096812032052185e-08
1831,2.66609610832802e-07,4.2096257146795324e-08
1832,2.3000947368956304e-08,2.570694235259907e-08
1833,1.2046973196788713e-07,6.255159235024621e-08
1834,2.7070139907436896e-08,4.85395617033646e-08
1835,6.579886502322552e-08,3.403389570166837e-08
1836,7.19120265557649e-08,5.040562456315456e-08
1837,2.7831564608504777e-08,3.409366655660051e-08
1838,1.0667553773657801e-07,2.1461350030449466e-08
1839,9.718150550952487e-08,3.4957377437194737e-08
1840,5.5416290223320175e-08,3.121147429396842e-08
1841,6.677370478769262e-08,3.338685417020315e-08
1842,2.0057711935805855e-07,3.957876515414682e-08
1843,2.539971788451112e-08,3.6622846977252266e-08
1844,1.811225303072206e-08,3.787107161201675e-08
1845,7.923923384112186e-08,2.7901139176833567e-08
1846,5.093416266532813e-08,3.0443406018321184e-08
1847,3.829188699455699e-08,5.8786138623645456e-08
1848,3.700802153616678e-08,2.172209789819135e-08
1849,7.290090864309207e-08,3.6869426622843093e-08
1850,7.264225843073291e-08,1.1541293254424545e-08
1851,7.481349073579224e-08,3.289213879043018e-08
1852,5.729280161403949e-08,1.7578472011337e-08
1853,7.644072841372918e-08,2.149895550473957e-08
1854,4.5202280862799427e-08,2.338049043260071e-08
1855,5.041590256382733e-08,2.812676669350367e-08
1856,5.5395924958290266e-08,2.485050742961903e-08
1857,4.051652524594829e-08,3.5635014938861787e-08
1858,3.7191938417890924e-08,2.1532175153993194e-08
1859,2.0877910733574367e-08,5.855999418713509e-08
1860,4.1194654964993305e-08,2.9293977021893625e-08
1861,5.3761986862355116e-08,4.008569121083383e-08
1862,4.066187744844463e-08,3.34330998441601e-08
1863,5.843706429864426e-08,2.4973104473247076e-08
1864,4.698833322436258e-08,2.3014694150447212e-08
1865,3.388927893865912e-08,2.118079933666195e-08
1866,8.855415833952662e-08,3.113992264047738e-08
1867,5.241036227232598e-08,1.94112459439566e-08
1868,9.237564702058165e-08,1.5807597009143137e-08
1869,5.1765301378736694e-08,2.1487483792270723e-08
1870,5.447346440590195e-08,4.0711746862598375e-08
1871,7.222400855155797e-08,2.6552942955504477e-08
1872,6.53112621762375e-08,3.9912439575573444e-08
1873,2.035241503106633e-08,4.42964314117944e-08
1874,5.377148326601855e-08,1.2546679251101978e-08
1875,4.4627910256167524e-08,2.4030413214859436e-08
1876,8.343500534913062e-08,1.753344314181504e-08
1877,4.4530676035492434e-08,2.1028373708986692e-08
1878,3.623453181944569e-08,1.7513357875031943e-08
1879,3.421222061206208e-08,3.237942536316041e-08
1880,4.685027832351807e-08,2.2462462112571302e-08
1881,3.067903264764027e-08,2.4403776777148778e-08
1882,8.252677474729353e-08,2.1962771157291172e-08
1883,3.159669503816076e-08,1.1374810426900694e-08
1884,3.564916539744445e-08,2.2445769687351458e-08
1885,5.0920522909336796e-08,1.353583467533781e-08
1886,5.0982364996343676e-08,2.0651084398082276e-08
