year,en_ADP huile_NOUN,en_ADP tuile_NOUN
1800,9.432493470740155e-07,1.8864987794131594e-08
1801,8.572257570449437e-07,4.0480102825313224e-08
1802,7.899575393821578e-07,2.9091921760482364e-08
1803,1.1331470659570186e-06,6.241085515057421e-08
1804,8.602041248195746e-07,1.0628959046243835e-07
1805,1.0547075817157747e-06,8.24434565060983e-08
1806,5.302271119944635e-07,5.187004603612877e-08
1807,5.43768408078904e-07,8.540865792383556e-09
1808,8.747045399104536e-07,6.345007363961486e-08
1809,1.246984879799129e-06,6.09938268780752e-08
1810,6.50555250558682e-07,5.3822915901946544e-08
1811,5.741205768572399e-07,3.008491944456182e-08
1812,3.6807472270083963e-07,5.067695596494559e-08
1813,5.693968319064879e-07,7.476928232108548e-08
1814,3.5872119497071253e-07,1.0698702368472368e-07
1815,6.365447688949644e-07,7.012781111370714e-08
1816,5.075552280686679e-07,3.9399267848239106e-08
1817,6.02509999225731e-07,3.42512151974006e-08
1818,5.388372414927289e-07,1.9073883805731384e-08
1819,3.7056759083498036e-07,2.898294049202832e-08
1820,3.9871378021416604e-07,5.22125169766241e-08
1821,3.786811362260778e-07,4.437669787193954e-08
1822,3.909990198280866e-07,1.2030739071633434e-08
1823,3.4589405117912975e-07,5.138997138942614e-08
1824,4.429505224834429e-07,7.494790565942822e-08
1825,3.178764984568261e-07,3.169959583715354e-08
1826,4.79154323329567e-07,1.6735169694470642e-08
1827,2.87578927782306e-07,5.991227425283796e-08
1828,4.898008683085209e-07,5.503380862137419e-08
1829,3.1635019581699453e-07,2.5719527840806222e-08
1830,3.61114530278428e-07,3.757260813586072e-08
1831,3.913392845333874e-07,2.182768810143898e-08
1832,3.910161012754543e-07,4.19429042608499e-08
1833,3.9268499563149817e-07,4.9809603552830595e-08
1834,3.985844614362577e-07,4.947301235347368e-08
1835,2.9269151013977535e-07,9.000074641107858e-08
1836,3.1049864901433466e-07,5.2421849972006385e-08
1837,3.778134782805864e-07,3.6181031504156635e-08
1838,2.8467849233493325e-07,6.754013526233393e-08
1839,4.656322403207014e-07,5.5931799636255164e-08
1840,3.23580195527029e-07,4.58617570586739e-08
1841,4.1284127405560866e-07,3.659712533021775e-08
1842,3.5419640198597335e-07,3.8237111255057243e-08
1843,4.2647897657843714e-07,6.73387887673016e-08
1844,4.4622004224947887e-07,6.805815644383983e-08
1845,3.2644334169162903e-07,3.627148004170522e-08
1846,2.933105065494601e-07,6.264316709803097e-08
1847,3.3384054631824256e-07,7.928039025273392e-08
1848,3.282450506958412e-07,4.666228647920434e-08
1849,3.2176953368434624e-07,7.457679629396807e-08
1850,3.3673421739877085e-07,9.640374543096186e-08
1851,3.1989216608963034e-07,6.320450296470881e-08
1852,3.339909824262577e-07,6.250123618656289e-08
1853,3.0994326039035514e-07,7.345476404907458e-08
1854,2.758897892363166e-07,6.130883889454708e-08
1855,3.210697059330414e-07,6.262185792138553e-08
1856,2.386684343491652e-07,4.504154560436291e-08
1857,2.69947463493736e-07,4.051652524594829e-08
1858,2.1287490881150006e-07,9.54266852204455e-08
1859,2.1234362179711752e-07,6.365216620451974e-08
1860,2.2702832325194322e-07,2.9293977021893625e-08
1861,3.013500702309102e-07,3.489813238388706e-08
1862,2.552662294874608e-07,9.126332400910542e-08
1863,3.3513904895698943e-07,6.89257646513397e-08
1864,3.0110891202639323e-07,1.0740190248270665e-07
1865,2.8241066729606246e-07,8.33111428732991e-08
1866,2.6517591322772205e-07,2.8220554781910323e-08
1867,2.994184740146011e-07,6.017486242626546e-08
1868,2.899706146308745e-07,3.112120694481746e-08
1869,2.627333230975637e-07,3.7603097524652185e-08
1870,2.534449663471605e-07,3.1537268796455464e-08
1871,2.1029930508120742e-07,5.947859449406678e-08
1872,2.6245453454976087e-07,2.8422494580127022e-08
1873,3.9028748233249644e-07,5.3874039451784483e-08
1874,2.3061991782924451e-07,3.764003864148435e-08
1875,2.6376238793091034e-07,5.8359578503086595e-08
1876,2.436543979911221e-07,4.5949711591219966e-08
1877,2.5048504426194995e-07,6.246663986075873e-08
1878,2.6149254495067e-07,6.582606459915041e-08
1879,2.7614149189503223e-07,3.0546626561545054e-08
1880,2.9201200391071325e-07,4.685027832351807e-08
1881,2.726250443174649e-07,1.9523021421719022e-08
1882,2.682120339159155e-07,3.5939081044489285e-08
1883,2.5024581873367424e-07,3.917990198942789e-08
1884,3.287645142791007e-07,6.205595326491675e-08
1885,2.6556020316093054e-07,2.7716232864349877e-08
1886,3.052488466437353e-07,6.582533274013258e-08
1887,2.8923136596858967e-07,8.814048158001242e-08
1888,2.6313551870771335e-07,3.9311810695608074e-08
1889,2.2617143713432597e-07,6.515742256851809e-08
1890,3.349291546328459e-07,4.784702056781498e-08
1891,2.721791929616302e-07,5.16311828846483e-08
1892,3.742301828424388e-07,8.525177008777973e-08
1893,5.166911591913959e-07,5.049901474762919e-08
1894,2.9869295303797117e-07,6.364554394622246e-08
1895,3.0935677841625875e-07,5.356566745717828e-08
1896,3.0074846790739684e-07,5.248355705589347e-08
1897,3.163905546443857e-07,5.535378022614168e-08
1898,4.3060080656687205e-07,5.149102833001962e-08
1899,3.3165468948936905e-07,5.9145087050183065e-08
1900,4.827679163099674e-07,8.720969191244876e-08
1901,4.247441438565147e-07,5.86817598957623e-08
1902,4.777706408276572e-07,5.4013121086882165e-08
1903,3.672149659905699e-07,4.590187074882124e-08
1904,4.0739658402344503e-07,8.760638792182363e-08
1905,3.9428198306268314e-07,3.8705692873008957e-08
1906,4.0793383959680796e-07,4.8869754465385995e-08
1907,3.774846959458955e-07,5.0399865614281225e-08
1908,4.140300973176636e-07,4.371136341774218e-08
1909,4.2907672082037607e-07,4.7308457595818254e-08
1910,4.11499598840237e-07,7.909343224810073e-08
1911,4.320143887071026e-07,4.4691141454222816e-08
