year,en_ADP erreur_NOUN,en_ADP terreurs_NOUN
1800,3.7132583656784846e-06,3.144164484325529e-09
1801,3.4931947539007524e-06,0.0
1802,4.891918706562137e-06,1.5664880947952042e-08
1803,4.046954018122051e-06,3.900678446910888e-09
1804,3.2554276003793348e-06,2.4718509461507665e-09
1805,3.6758408441528445e-06,1.421438877713399e-08
1806,3.397487944312161e-06,8.645007376628655e-09
1807,4.182177235634299e-06,0.0
1808,4.6386535359488335e-06,2.2660739951163578e-09
1809,4.285380782675929e-06,4.518061036407062e-09
1810,3.9243927858478855e-06,0.0
1811,3.4472304832888767e-06,0.0
1812,4.395559244585456e-06,0.0
1813,5.0152934818470385e-06,0.0
1814,5.1448173508106265e-06,3.1466772298927026e-08
1815,4.5232441152620595e-06,2.697223555614414e-09
1816,4.187910235486925e-06,6.952811659743929e-09
1817,4.110145710001234e-06,0.0
1818,3.240176056351629e-06,3.5763532135746345e-09
1819,3.6104463561059674e-06,0.0
1820,3.332108008180512e-06,1.542642635854463e-08
1821,3.745393314602552e-06,4.930744257336528e-09
1822,3.2964226193143986e-06,1.0025615893027862e-09
1823,3.069562581003993e-06,0.0
1824,3.0644428079540376e-06,0.0
1825,3.1611541544407373e-06,7.924898959288385e-09
1826,3.5064585972577333e-06,4.403992281964975e-09
1827,3.531137281242991e-06,8.295545583791863e-09
1828,3.4295235309400596e-06,2.7516904310687096e-09
1829,3.484138687781524e-06,2.571952872898464e-09
1830,3.736387270691921e-06,2.0873671680021744e-09
1831,4.1347880141984206e-06,3.1182412207897414e-09
1832,3.4907320696220268e-06,9.470978667991403e-09
1833,3.2387824830948375e-06,3.4750886612755494e-09
1834,2.9403772714431398e-06,4.1071935186209885e-08
1835,3.1991862670111004e-06,3.781543966852041e-09
1836,3.1513598059973447e-06,1.008112526790228e-08
1837,3.2402897431893507e-06,1.3219993100221927e-08
1838,3.0222631721699145e-06,1.2624323808552163e-08
1839,3.454487796261674e-06,5.5931801412612e-09
1840,3.291855136922095e-06,6.3696887764308485e-09
1841,3.51268204212829e-06,2.632424944692957e-08
1842,3.3782823720684974e-06,1.0733224087289273e-08
1843,3.406515588721959e-06,7.678984559333912e-09
1844,3.085669050051365e-06,3.2931368743049916e-09
1845,3.0713574687979417e-06,5.580227946389016e-10
1846,3.1239619602274615e-06,9.952652035849496e-09
1847,3.128069693048019e-06,1.1865092020002521e-08
1848,3.1207414394884836e-06,8.04522137798358e-09
1849,2.8699496397166513e-06,2.513824481908955e-09
1850,2.7101671093987534e-06,8.146795238417326e-09
1851,3.028011406058795e-06,1.2898877521649865e-09
1852,3.3724625154718524e-06,5.859490670445666e-09
1853,2.7721707738237455e-06,1.1943863675867306e-08
1854,2.996859166159993e-06,5.195664343204953e-09
1855,2.7436865366325947e-06,1.2736649068756378e-08
1856,2.6978332243743353e-06,1.5531567143511893e-09
1857,2.6892232654063264e-06,1.1715622250108026e-08
1858,3.101611810052418e-06,1.3212924976357954e-08
1859,2.512478431526688e-06,3.0043821652725455e-08
1860,2.6227264697809005e-06,6.408057640072684e-09
1861,2.5456772618781542e-06,1.4147890858851042e-08
1862,2.5047716007975396e-06,4.517986429419807e-09
1863,2.5627398372307653e-06,1.4983863039219614e-09
1864,2.5709330202516867e-06,3.3563094525845827e-09
1865,2.727616219999618e-06,1.2237795665726026e-08
1866,2.6853317649511155e-06,4.865612912574591e-10
