year,certain_ADJ an_NOUN,certain_ADJ temps_NOUN
1800,0.0,4.059116236021509e-06
1801,0.0,4.812370207218919e-06
1802,4.475680270843441e-09,4.294415248295991e-06
1803,0.0,5.410241101344582e-06
1804,0.0,5.875589522474911e-06
1805,0.0,5.446953764476348e-06
1806,0.0,5.051565949543146e-06
1807,8.540865792383556e-09,4.674700448958902e-06
1808,2.2660739951163578e-09,4.196769168629544e-06
1809,0.0,4.366705979919061e-06
1810,0.0,4.701314537669532e-06
1811,0.0,5.167085419088835e-06
1812,0.0,6.251936156331794e-06
1813,0.0,5.981542472000001e-06
1814,0.0,5.037830305809621e-06
1815,2.697223555614414e-09,5.391749709815485e-06
1816,0.0,5.870490440429421e-06
1817,3.113746815941454e-09,5.458398391056107e-06
1818,4.768470951432846e-09,5.3585690693580545e-06
1819,2.070210003424222e-09,4.634165179595584e-06
1820,0.0,4.873563739238307e-06
1821,0.0,5.640771178150317e-06
1822,0.0,4.8513957153772935e-06
1823,2.964806067318193e-09,4.643874490284361e-06
1824,2.5263338088166165e-09,5.3676171773986425e-06
1825,8.805443041381977e-10,4.6026052586967126e-06
1826,1.7615968683770689e-09,5.630944542645011e-06
1827,1.8434546111834038e-09,6.24562426310149e-06
1828,1.8344602503717056e-09,5.774880719400244e-06
1829,4.286588084490006e-09,4.943293333781185e-06
1830,1.0436835395921662e-08,6.732802830811124e-06
1831,0.0,6.209977527760202e-06
1832,0.0,5.11026928506908e-06
1833,2.3167257001688313e-09,6.023487003403716e-06
1834,0.0,6.3017419051902834e-06
1835,0.0,6.095848675613524e-06
1836,2.0162250202737653e-09,6.104457497713156e-06
1837,6.957890930081589e-10,6.587731149920728e-06
1838,5.680945713848473e-09,6.094392119848635e-06
1839,0.0,6.241989012778504e-06
1840,6.369688665408546e-10,6.023177775205113e-06
1841,6.420548537278137e-10,6.758269591955468e-06
1842,2.0124795163667386e-09,5.949560090812156e-06
1843,2.3627644285539873e-09,6.354064225888578e-06
1844,2.744280691580059e-09,6.265192496357486e-06
1845,2.7901139176833567e-09,6.527750429086154e-06
1846,5.854501328173001e-10,6.439951448555803e-06
1847,1.0786447290911383e-09,6.606159786315402e-06
1848,3.218088684420195e-09,6.363770353345899e-06
1849,0.0,6.291264526225859e-06
1850,1.3577992064028876e-09,6.484170171461301e-06
1851,3.8696632564949596e-09,6.742243385815527e-06
1852,5.208436348880241e-09,6.449997272284236e-06
1853,5.971931837933653e-10,7.32935177438776e-06
1854,5.195664454227256e-10,6.7143573687644675e-06
1855,1.0613874223963649e-09,6.6814336605602875e-06
1856,1.5531567143511893e-09,6.547073553520022e-06
1857,4.881509085841174e-10,6.6105394580517896e-06
1858,2.9362056674919756e-09,6.67301674184273e-06
1859,1.018434669930457e-09,7.3637920650071464e-06
1860,4.577183909670879e-10,6.6872657953354064e-06
1861,1.8863854922557266e-09,7.3059709393419325e-06
1862,4.517986262886353e-10,6.677131750620902e-06
1863,9.989241656072068e-10,6.490509804280009e-06
1864,4.794727948009836e-10,6.855501851532608e-06
1865,3.765475597994339e-09,7.48105821912759e-06
1866,1.4596839292835284e-09,7.986903256096411e-06
1867,4.85281148598915e-10,7.762557288515382e-06
1868,4.93987406535723e-10,8.019885171961505e-06
1869,9.767038289254515e-10,8.079294275376014e-06
1870,0.0,8.027668627619278e-06
1871,4.248470908407853e-09,8.845316187944263e-06
1872,6.047339295989218e-10,8.10464371170383e-06
1873,8.380406146812902e-09,8.864673873176798e-06
1874,1.7923826867161097e-09,8.936820449889638e-06
1875,2.2886108008712824e-09,8.122279723465908e-06
1876,1.209202959984168e-09,9.006143955048174e-06
1877,1.2369631985365004e-09,8.492989763908554e-06
1878,1.2078177347163432e-09,8.67937797011109e-06
1879,6.10932526790009e-10,8.542058822058607e-06
1880,0.0,7.803459084243514e-06
1881,0.0,8.426972271990962e-06
1882,0.0,8.618723768449854e-06
1883,2.5277355764075082e-09,8.805366633168887e-06
1884,9.242375753615306e-09,8.47063711262308e-06
1885,4.511945039809007e-09,8.828586942399852e-06
1886,6.453463874400711e-10,8.870286364981439e-06
1887,6.528924623161458e-10,8.326990609930363e-06
1888,6.340614699951175e-10,9.085466444958001e-06
1889,2.506054641582267e-09,8.857024113240186e-06
1890,3.277193294515257e-09,8.828758836898487e-06
1891,0.0,8.937930942920502e-06
1892,6.268512375839919e-10,8.87496025825385e-06
1893,6.158416554491453e-10,8.699379577592481e-06
1894,8.192000855444803e-09,8.65894526214106e-06
1895,0.0,8.334577614732552e-06
1896,2.948514543632541e-09,8.773599802225363e-06
1897,0.0,9.177656465908512e-06
1898,5.6583548957434e-10,8.859851732267998e-06
1899,0.0,9.124373718805145e-06
1900,1.038210628578895e-09,8.931207048590295e-06
1901,5.588738916095792e-10,9.376785783388186e-06
1902,9.820567692386817e-10,9.593713002686854e-06
1903,1.0800440541913758e-09,8.97192603588337e-06
1904,1.6123875568041512e-09,9.543721716909204e-06
1905,0.0,9.136091648542788e-06
