year,son_DET or_NOUN,son_DET tort_NOUN
1800,1.25452167765161e-06,2.3266816828737547e-07
1801,1.0381955606320048e-06,3.6908329548168695e-07
1802,9.95838888684375e-07,4.1176258491759654e-07
1803,1.0044246694373982e-06,2.5159377292638396e-07
1804,1.2977217114240602e-06,3.43587291951053e-07
1805,9.950072372699736e-07,3.0987367249935005e-07
1806,7.578790048867745e-07,6.051505394566448e-07
1807,9.394952158459091e-07,4.3273718119962723e-07
1808,1.0741191260876803e-06,4.3055405773984035e-07
1809,9.82678247218871e-07,4.3373385238965056e-07
1810,9.407309633502337e-07,4.563247166800011e-07
1811,1.0178731670862362e-06,4.2118888998743387e-07
1812,6.107906798114016e-07,3.627403142303365e-07
1813,8.655982277616658e-07,3.623434459143482e-07
1814,9.471498465529749e-07,3.1466769989663135e-07
1815,1.1220449911419905e-06,1.7262230933567935e-07
1816,1.0614625640670283e-06,3.3373494900956757e-07
1817,9.761595762824982e-07,5.324506879844648e-07
1818,8.750144031566265e-07,3.588274490873289e-07
1819,1.1613878356797613e-06,4.7304298167460956e-07
1820,1.301752971194503e-06,3.488745488056111e-07
1821,8.924646834884697e-07,5.246311647333357e-07
1822,8.431543250253526e-07,4.411270992932259e-07
1823,9.872803836685762e-07,5.27735480204683e-07
1824,1.142745000848322e-06,5.675830188067721e-07
1825,1.0997997854644836e-06,4.816577465760474e-07
1826,1.026130223347188e-06,4.36876018916621e-07
1827,6.885303113213226e-07,5.945141055008207e-07
1828,7.989074619629832e-07,3.4120959391259476e-07
1829,9.207591245008473e-07,5.28964939405796e-07
1830,7.723258761416218e-07,4.821818162525915e-07
1831,6.89131281594868e-07,4.926821066675302e-07
1832,8.104451931778556e-07,5.479637792404901e-07
1833,1.0911778209887757e-06,4.7145367076950606e-07
1834,9.455880087827495e-07,3.6684707538370276e-07
1835,8.417716941266917e-07,4.7344930464987556e-07
1836,8.078341666717392e-07,3.9450803868135154e-07
1837,9.170500074873189e-07,4.960976252021965e-07
1838,9.076888827230789e-07,4.128153783256039e-07
1839,7.858418245021426e-07,4.152936341483837e-07
1840,8.917564064958583e-07,3.9109889016231136e-07
1841,8.539329705570253e-07,3.2809002448175306e-07
1842,1.0042272644561479e-06,3.9981259547516856e-07
1843,9.297478165137818e-07,3.904468233173475e-07
1844,9.270180119091975e-07,3.3041137825762235e-07
1845,8.05226888278554e-07,4.5255649183673086e-07
1846,8.418772874385638e-07,4.0922963329137474e-07
