year,en_ADP or_NOUN,en_ADP tort_NOUN
1800,6.980045327509288e-06,4.4018303668735825e-08
1801,6.350614057737403e-06,1.6668277424969347e-08
1802,7.655650733795483e-06,4.923248297927785e-08
1803,5.9017265812144615e-06,4.095712213825209e-08
1804,7.0299442995747086e-06,1.1864884186252311e-07
1805,6.606847819057293e-06,3.980028751016107e-08
1806,6.8151475716149434e-06,1.729001475325731e-08
1807,6.0241568462515716e-06,2.8469550272802735e-08
1808,6.4809714785951655e-06,9.290903335568146e-08
1809,7.76654724177206e-06,5.873479480555943e-08
1810,5.911160315008601e-06,4.914266327205041e-08
1811,9.31880458665546e-06,5.766276700569506e-08
1812,6.8013810050615575e-06,6.13457871168066e-08
1813,6.634335932176327e-06,4.3136125782439194e-08
1814,5.903166311327368e-06,4.72001566720337e-08
1815,1.0122679668711498e-05,3.776112933451259e-08
1816,5.3258536354405805e-06,5.0987285504788815e-08
1817,5.930131010245532e-06,2.490997452753163e-08
1818,5.1046481530647725e-06,5.0068944545955674e-08
1819,7.2146817728935275e-06,5.589566853814176e-08
1820,6.727108029735973e-06,4.2719332071783356e-08
1821,6.427718290069606e-06,6.311352507282209e-08
1822,8.022498150239699e-06,9.223566621585633e-08
1823,6.740980552422116e-06,7.510841726343642e-08
1824,6.967628451093333e-06,8.926379280183028e-08
1825,7.2732959779386874e-06,3.78634048558979e-08
1826,8.379035534744617e-06,7.574866600634778e-08
1827,7.899203410488553e-06,6.452091128039683e-08
1828,6.4774790189403575e-06,3.66892045633449e-08
1829,6.618492079724092e-06,7.372931065674493e-08
1830,8.751287168706767e-06,5.635891398014792e-08
1831,6.476586804637918e-06,6.548306430431694e-08
1832,7.179001840995625e-06,6.494385473843067e-08
1833,7.363712484220741e-06,7.41352224054026e-08
1834,6.873015081509948e-06,6.440826183506942e-08
1835,7.255270247696899e-06,6.882410019670715e-08
1836,6.864574061182793e-06,7.325617445985699e-08
1837,7.021207693469478e-06,6.053365098068753e-08
1838,7.056365575408563e-06,7.511472688292997e-08
1839,7.455709237547126e-06,5.942753844578874e-08
1840,7.969754733494483e-06,6.624475901162441e-08
1841,7.788125003571622e-06,7.833069304297169e-08
1842,7.114786058082245e-06,7.647422251011449e-08
1843,7.359420578723075e-06,6.556670939517062e-08
1844,6.799778475397034e-06,5.927646284931143e-08
1845,7.008766260696575e-06,6.02664584903323e-08
1846,7.009009095781948e-06,9.308656956363848e-08
1847,8.276440894405823e-06,9.33027664018482e-08
1848,6.6855791374109685e-06,7.240699773092274e-08
1849,5.945194970990997e-06,8.547003460535052e-08
1850,7.818886842869688e-06,1.6972489902400412e-07
1851,7.19241415936267e-06,1.4511236656744586e-07
1852,8.220215022447519e-06,8.984552835045179e-08
1853,8.5852489064564e-06,1.2899373302843742e-07
1854,7.341993295995053e-06,8.884585867008354e-08
1855,7.917419679870363e-06,1.0348527723635925e-07
1856,8.091428753687069e-06,1.0716781417841048e-07
1857,8.515304216416553e-06,9.714202775512604e-08
1858,8.358888408110943e-06,9.493731312204545e-08
1859,7.205934707599226e-06,1.19666069053892e-07
1860,8.530039849574678e-06,9.062824091188304e-08
1861,8.377909580303822e-06,1.2638783175589197e-07
1862,9.247414709534496e-06,1.2424462170201878e-07
1863,7.2911475399450865e-06,1.203703590135774e-07
1864,7.302370704564964e-06,1.1603241745206105e-07
1865,7.4099853009101935e-06,1.2331932452980254e-07
1866,8.710906513442751e-06,1.3185811553739768e-07
1867,9.209665222442709e-06,1.2811422323011357e-07
1868,8.792975677351933e-06,1.1954494993915432e-07
1869,6.798835329391295e-06,1.1036753022608536e-07
1870,7.445089067914523e-06,1.869299950385539e-07
1871,6.073189069866203e-06,1.614418891904279e-07
1872,7.06631590219331e-06,1.608592299362499e-07
1873,8.139169949572533e-06,1.4306550610854174e-07
1874,7.414490028168075e-06,1.3442870283597586e-07
1875,7.726350304437801e-06,1.6649643441724038e-07
1876,7.484966317861108e-06,1.7472983415700583e-07
1877,9.371233318233863e-06,1.2431479490260244e-07
1878,1.0096752703248058e-05,1.4010686300025554e-07
1879,9.032026355271228e-06,1.8694535697250103e-07
1880,7.997919965418987e-06,1.713564898864206e-07
1881,1.044342207023874e-05,2.147532285334819e-07
1882,7.564510724478168e-06,1.6571908645346412e-07
1883,9.607290849089622e-06,2.25600402359305e-07
1884,7.816409379302058e-06,1.4193648212312837e-07
1885,9.4944216471049e-06,1.5147243459523452e-07
1886,9.35300522542093e-06,1.8134232959710062e-07
1887,7.971164450282231e-06,1.5930575614220288e-07
1888,8.393071766477078e-06,1.6802628977075074e-07
1889,8.273739695141558e-06,1.3971255441447283e-07
1890,7.080048362695379e-06,1.612379065818459e-07
1891,8.761365279497113e-06,1.4596963637814042e-07
1892,9.089342711376958e-06,1.6235446764767403e-07
1893,9.538771337247454e-06,1.5457625579529122e-07
1894,1.042841722664889e-05,1.5627817617769324e-07
1895,9.170563316729385e-06,1.6852121120791708e-07
1896,9.294896699429955e-06,1.5863007263305917e-07
1897,1.0751451554824598e-05,1.5499058747536765e-07
1898,8.204048754123505e-06,1.6635563326872216e-07
1899,8.074133802438155e-06,1.7024942167154222e-07
1900,9.301328645960893e-06,1.297763247976036e-07
1901,7.562681275885552e-06,1.5816131337942352e-07
1902,7.296681815205375e-06,1.3012251542932063e-07
1903,7.375620953098405e-06,1.501261266412257e-07
1904,6.838135504949605e-06,1.5048951240714814e-07
1905,7.16468184691621e-06,1.3830833722749958e-07
1906,7.4348899943288416e-06,1.2706135521511897e-07
1907,7.372780146397417e-06,1.3217108119079057e-07
1908,7.036056103970623e-06,1.5421761645484366e-07
1909,6.1825553530070465e-06,1.8098235443630983e-07
1910,6.2622757468489e-06,1.8063229845211026e-07
1911,6.615885467908811e-06,1.43650098038961e-07
1912,6.261724138312275e-06,1.1825386536656879e-07
1913,6.590555585717084e-06,1.3522624442430242e-07
1914,7.541872946603689e-06,1.1317496984020181e-07
1915,8.198232535505667e-06,1.2723222653221455e-07
1916,7.160529094107915e-06,1.1536835131664702e-07
1917,5.998634151183069e-06,9.760118047097421e-08
1918,5.382516064855736e-06,1.1141784739265859e-07
1919,6.98139047017321e-06,1.178604591700605e-07
