year,on_PRON eut_VERB,on_PRON tue_VERB
1800,5.929894314249395e-06,7.76608615637997e-07
1801,6.338708203657006e-06,6.286321792003946e-07
1802,6.118254759712727e-06,7.340115928400337e-07
1803,5.84906729272916e-06,6.982214415529597e-07
1804,5.180999664844421e-06,4.4493317830074375e-07
1805,5.964357342236326e-06,3.9231711568277206e-07
1806,6.129310122560128e-06,3.486819650788675e-07
1807,5.394980007622507e-06,3.9003284868499577e-07
1808,5.309411108100903e-06,6.345007363961486e-07
1809,6.39757422504772e-06,7.206307301999004e-07
1810,5.94626214933669e-06,4.797259833821954e-07
1811,5.294946163303393e-06,4.562879780678486e-07
1812,5.590468617810984e-06,3.9207959900977585e-07
1813,6.223104946911917e-06,3.767221556927325e-07
1814,6.721302270307206e-06,2.611742022651242e-07
1815,6.51109769478353e-06,3.506390555685357e-07
1816,4.994436494598631e-06,4.843792069664232e-07
1817,6.2788705008642864e-06,4.5616390309533017e-07
1818,6.5864506950674695e-06,4.208175639064393e-07
1819,6.886553592266864e-06,3.9126969397784706e-07
1820,6.812546871515224e-06,4.438064138412301e-07
1821,6.403064276128134e-06,3.727642550188648e-07
1822,8.401466288887605e-06,4.0804256684623397e-07
1823,7.708495559199946e-06,3.8147170045021994e-07
1824,7.4358423489684355e-06,3.6379207202230646e-07
1825,7.584128184134897e-06,4.12975282415573e-07
1826,6.572518032044172e-06,4.139752789455997e-07
1827,5.951593379904807e-06,4.470377454879326e-07
1828,6.473810344687081e-06,4.10919085425121e-07
1829,6.829392077634111e-06,4.260868351479985e-07
1830,6.741152219547075e-06,5.040991624127855e-07
1831,4.992304184270324e-06,5.503695774677908e-07
1832,5.789473789263866e-06,5.046678523967785e-07
1833,5.417662919171562e-06,6.104572207732417e-07
1834,5.154527798367781e-06,4.4619058670036793e-07
1835,5.631475232803496e-06,5.596685213049568e-07
1836,5.711293511012627e-06,3.568718192070719e-07
1837,6.700448921037605e-06,4.0842819970521305e-07
1838,6.978726105444366e-06,3.111895772178741e-07
1839,6.307009698502952e-06,3.432814317250177e-07
1840,5.6779405213092105e-06,4.1848853271631015e-07
1841,5.287963972477883e-06,3.993581287886627e-07
1842,6.060917598915694e-06,5.051323554994269e-07
1843,5.129561486683087e-06,4.0580479065965847e-07
1844,5.679014179804653e-06,4.786025371572578e-07
1845,5.694064725503267e-06,5.139390033548352e-07
1846,5.426537086350436e-06,4.894363030416571e-07
1847,5.063697926743771e-06,3.6781786150186235e-07
1848,4.845636908612505e-06,5.478795941371573e-07
1849,4.795539098267909e-06,4.181328066010792e-07
1850,5.515380507858936e-06,4.6776182927033005e-07
1851,5.200182386033703e-06,3.747124068809171e-07
1852,4.107503059458395e-06,3.6914791934350433e-07
1853,4.636607968677708e-06,4.902956121100033e-07
1854,5.385305939853424e-06,4.0058571926238074e-07
1855,5.199206270845025e-06,4.6594908553743153e-07
1856,5.794310254714219e-06,4.504154560436291e-07
1857,7.3940220772783505e-06,3.7929324747665305e-07
1858,5.994753337290604e-06,4.291753867846637e-07
1859,5.51329605968931e-06,5.789800852085136e-07
1860,4.991419018551824e-06,4.4947945099238495e-07
1861,4.3820735982080805e-06,4.701815754515337e-07
1862,4.632291279449419e-06,3.668604939832676e-07
1863,4.422237225298886e-06,4.1605191825055954e-07
1864,4.7103408178372774e-06,4.214565834104178e-07
1865,4.395721816763398e-06,4.946893383817041e-07
1866,4.833013349525572e-06,4.315798776133306e-07
1867,4.213696229271591e-06,4.309296670612639e-07
1868,4.1534461843184545e-06,5.260965920683702e-07
1869,4.215453714095929e-06,4.4293518186577785e-07
1870,4.3429686229501385e-06,4.489760172532442e-07
1871,4.152880364927114e-06,5.076922633406866e-07
1872,4.466564746508084e-06,4.626214575864651e-07
1873,4.214745899844274e-06,4.3159091234201696e-07
1874,4.445706736078137e-06,3.901419773910675e-07
1875,4.488538138502918e-06,3.3814225020023514e-07
1876,4.1378925743629225e-06,4.2019803458970273e-07
1877,4.263193659426179e-06,5.368420374907146e-07
1878,4.427859835232084e-06,5.972658598807357e-07
1879,4.30707439136313e-06,4.6247592422332673e-07
1880,3.902692355950421e-06,5.35248375399533e-07
1881,3.839759983748081e-06,5.564060998608511e-07
1882,4.167602241977875e-06,4.6188372948563483e-07
1883,4.014044066025235e-06,4.859571731685719e-07
1884,4.695786969932669e-06,4.938069295690184e-07
1885,4.865810296905693e-06,4.389477936683761e-07
1886,4.25670486947638e-06,4.646493891868886e-07
1887,3.6881895084661664e-06,4.550660364088799e-07
1888,4.122033715248108e-06,4.869592160616776e-07
1889,3.915710408364248e-06,5.024639833095534e-07
1890,3.5596873431131826e-06,5.040323287630599e-07
1891,3.5383294516577735e-06,5.118498762612944e-07
1892,3.7203620877335197e-06,4.7389952584353523e-07
1893,3.751091526282835e-06,4.6619212668019827e-07
1894,3.580534553293546e-06,5.261785247512307e-07
1895,3.696031058098015e-06,4.6704447953516137e-07
1896,3.6361080901770038e-06,3.968700355017063e-07
1897,3.618971845753549e-06,5.611125004634232e-07
1898,3.6304006130194466e-06,6.003514272379107e-07
1899,3.547599874309526e-06,5.262254774152098e-07
1900,3.509151952130196e-06,5.393504096673496e-07
1901,3.4108074373762065e-06,4.409515064196512e-07
1902,3.3959522625082172e-06,3.4715708352450747e-07
1903,3.422659631269198e-06,4.681991043753442e-07
1904,3.4569590070532286e-06,4.6436760214874084e-07
1905,3.404036704068858e-06,4.685969159368142e-07
1906,3.401334822683566e-06,5.478556559523895e-07
1907,3.3197053426192724e-06,5.122271886648377e-07
1908,3.262144559812441e-06,4.832806794752287e-07
1909,3.658154128061142e-06,4.2302563940666005e-07
1910,3.3497136087135004e-06,4.2058466220851187e-07
1911,3.5641186286738957e-06,3.8200287377776476e-07
1912,3.554909142167162e-06,4.834342988147e-07
1913,3.217323808257788e-06,4.6295100730731065e-07
1914,3.3497111076030706e-06,4.928803249981684e-07
1915,3.0040941965125967e-06,5.902161603899003e-07
1916,3.4500630476941296e-06,4.647696414394886e-07
1917,3.174779919845605e-06,5.000689498046995e-07
1918,3.5228716797064408e-06,4.077663646739893e-07
1919,3.194202520262479e-06,4.548677168259019e-07
1920,3.1773084288033715e-06,3.9678494090367167e-07
1921,2.950342491203628e-06,5.051022569091401e-07
1922,3.213091019915737e-06,4.898949228504534e-07
1923,2.8089798433938995e-06,3.8854369677210343e-07
1924,3.0527365311172616e-06,4.5636350165523254e-07
1925,2.9860053700758726e-06,4.333282106472325e-07
1926,2.9815920470355195e-06,4.324701592395286e-07
1927,3.0036012503842358e-06,6.198968947046524e-07
1928,2.8896458843519213e-06,3.324977981833399e-07
1929,2.914330252679065e-06,3.7765978078141416e-07
1930,3.047095447072934e-06,3.581728762469538e-07
1931,3.0110142006378737e-06,4.208576669384456e-07
1932,2.8144089014858764e-06,3.265942041252856e-07
1933,2.5889285097946413e-06,3.854142391901405e-07
1934,2.7629523060568317e-06,4.00184774207446e-07
1935,2.3733107354928507e-06,3.650326618753752e-07
1936,2.3049082074066973e-06,4.1587769317175116e-07
1937,2.302915504515113e-06,4.3565270146928015e-07
1938,2.259836833218287e-06,4.3174163977255375e-07
1939,2.171755113522522e-06,3.211750652098999e-07
1940,2.2112026840659382e-06,3.068297260711006e-07
1941,2.074906319649017e-06,3.4827731099085213e-07
1942,2.378822102855338e-06,4.3692649853710464e-07
1943,2.3748464172967942e-06,6.41614974483673e-07
1944,2.3391995682686684e-06,4.787647327475497e-07
1945,2.435567580505449e-06,5.860175775751486e-07
1946,2.2941979409552005e-06,4.4129900089728835e-07
1947,2.3102648469830456e-06,5.269024967446967e-07
1948,2.27439892341863e-06,5.033684118416204e-07
1949,1.92511532759454e-06,3.946437203694586e-07
1950,1.932445229613222e-06,5.7643659090445e-07
1951,1.9009279412784963e-06,4.925567651525853e-07
1952,1.8537764958637126e-06,4.6291688704513945e-07
1953,1.6753301110838947e-06,4.869769867354989e-07
1954,1.7199663489009254e-06,4.905813142386251e-07
1955,1.6387270989071112e-06,3.848099083825218e-07
1956,1.6849245980665728e-06,3.8896292409162925e-07
1957,1.7466869621785008e-06,4.3645087544064154e-07
1958,1.7280715951528691e-06,4.3098388857742975e-07
1959,1.6780369094249181e-06,3.80561708368532e-07
1960,1.5080495643360337e-06,4.429333273492375e-07
1961,1.6140573961820337e-06,4.196688223601086e-07
1962,1.6045149777710321e-06,4.344240096543217e-07
1963,1.5706043257068814e-06,4.6296942457502155e-07
1964,1.5599294442836253e-06,4.471716863463371e-07
1965,1.7187688570174942e-06,4.3338584987395734e-07
1966,1.5996848219401727e-06,4.625127516533212e-07
1967,1.8478897345630685e-06,5.157131042210494e-07
1968,1.9236734374317166e-06,5.223516552632645e-07
1969,1.5464685816368728e-06,4.909640338723875e-07
1970,1.5226378877741809e-06,4.902240817727943e-07
1971,1.5014396979040612e-06,4.6245577323134057e-07
1972,1.4928727409824205e-06,4.781296780720368e-07
1973,1.3948405239716521e-06,4.300298854786888e-07
1974,1.1808075157659914e-06,4.1404206996276116e-07
1975,1.234250902371059e-06,4.506357811351336e-07
1976,1.244406149680799e-06,4.5079727328811714e-07
1977,1.2335365227045259e-06,4.7014255244448577e-07
1978,1.2944548188897897e-06,5.572274659471077e-07
1979,1.357657822609326e-06,4.862990010678914e-07
1980,1.2001353013602056e-06,5.25876430401695e-07
1981,1.1202548364508402e-06,5.509553631100061e-07
1982,1.1086599158716126e-06,5.791599591020713e-07
1983,1.0293965146956907e-06,5.109090608357292e-07
1984,1.0032284478711517e-06,5.277097798739305e-07
1985,9.414348198788502e-07,4.722213233776529e-07
1986,1.067617830585732e-06,5.269152865139404e-07
1987,9.997296217534313e-07,5.20030525308357e-07
1988,1.0332062458928704e-06,4.905180901459971e-07
1989,1.047682530952443e-06,5.092977346521366e-07
1990,9.404371326127148e-07,5.050899574143841e-07
1991,8.897704049104505e-07,5.468747019676812e-07
1992,9.895859420794295e-07,4.854260922115827e-07
1993,9.616064460260532e-07,5.932491120574923e-07
1994,9.563442233684327e-07,5.691645839078774e-07
1995,9.500133728579385e-07,6.127369545083639e-07
1996,9.443085389193584e-07,5.556953937002618e-07
1997,8.875349806203303e-07,5.240819547225328e-07
1998,8.482501812068222e-07,6.026915428947177e-07
1999,8.907321813467206e-07,5.447679853887166e-07
2000,8.504710820034234e-07,5.275129524306976e-07
2001,8.955196904025797e-07,5.244310372631844e-07
2002,9.042841497830523e-07,5.371377724827653e-07
2003,8.417184460540739e-07,5.692016742386841e-07
2004,8.77434388257825e-07,5.118367312206829e-07
2005,8.872386558778089e-07,5.251372101611196e-07
2006,8.458145828171837e-07,5.386200001566976e-07
2007,8.352456575266842e-07,5.676155296896468e-07
2008,9.259931346150552e-07,5.547444033027205e-07
2009,9.417180137916148e-07,5.845804196269455e-07
2010,7.846220455576258e-07,5.659103976540791e-07
2011,7.567640523120645e-07,5.487399619141797e-07
2012,9.392333595314994e-07,6.36595231640058e-07
2013,1.0057584916012274e-06,6.004986232710507e-07
2014,1.2418827850524394e-06,6.929424500867754e-07
2015,1.3281720043778478e-06,5.827376554634611e-07
2016,1.6939418969741382e-06,5.839107473093463e-07
2017,8.117877712265908e-07,5.504157627456152e-07
2018,1.0044487055438367e-06,5.446894846272698e-07
2019,1.1752400723707979e-06,4.793305947714543e-07
