year,en_PRON iraient_VERB,en_PRON tiraient_VERB
1800,0.0,2.924072930454713e-07
1801,0.0,1.7144515140898875e-07
1802,6.713520406265161e-09,1.6112448975036386e-07
1803,1.950339223455444e-09,1.8333189188979304e-07
1804,0.0,2.2988213288499537e-07
1805,0.0,1.051864728651708e-07
1806,1.729001475325731e-08,1.0950342499427279e-07
1807,1.1387820464392462e-08,1.366538526781369e-07
1808,0.0,1.2690014727922971e-07
1809,0.0,1.8524050915402768e-07
1810,0.0,2.0125089861267043e-07
1811,0.0,2.3065106802278024e-07
1812,5.3344164641089264e-09,1.3336041604361526e-07
1813,5.751483289628823e-09,1.2365688917270745e-07
1814,3.1466771410748606e-09,6.293354459785405e-08
1815,5.394447111228828e-09,2.0768621311617608e-07
1816,2.5493642752394408e-08,1.9004352225238108e-07
1817,3.113746815941454e-09,2.8646471150750585e-07
1818,2.1458118837358597e-08,2.002757781838227e-07
1819,8.280840013696888e-09,1.8528379541749018e-07
1820,1.4239777357261119e-08,2.7055577334067493e-07
1821,1.4792232327920374e-08,2.06105099209708e-07
1822,3.208197085768916e-08,2.4161732881111675e-07
1823,1.1859224713361982e-08,3.004336690537457e-07
1824,1.3473780313688621e-08,2.0126459787661588e-07
1825,7.924898959288385e-09,2.835352574948047e-07
1826,3.787433300317389e-08,2.880210843159148e-07
1827,1.1982455028203276e-08,2.6730091917670507e-07
1828,2.7516904310687096e-09,2.7150011305820954e-07
1829,1.1145129263923081e-08,3.0177579901646823e-07
1830,1.2524203008013046e-08,3.15192437483347e-07
1831,1.091384405071949e-08,2.385454536124598e-07
1832,1.6235963684607668e-08,2.232444984429094e-07
1833,2.4325620628928846e-08,2.6758181093100575e-07
1834,1.9602515166639023e-08,2.791024655834917e-07
1835,9.075705520444899e-09,3.2143123007699614e-07
1836,1.4113575197427508e-08,2.5337226361443754e-07
1837,1.1132625488130543e-08,2.6787878937284404e-07
1838,1.1361890983607736e-08,2.973028188080207e-07
1839,2.0974425751774106e-08,2.614811762668978e-07
1840,8.280594876453051e-09,2.592463204109663e-07
1841,5.778493683550323e-09,2.3178179731075943e-07
1842,3.018719141323345e-08,2.6833060928765917e-07
1843,2.0674189471492355e-08,2.687644666821143e-07
1844,1.3172547497219966e-08,2.799166338718351e-07
1845,1.2834524554250493e-08,3.0579650456274976e-07
1846,5.269050973311096e-09,2.5115809876297135e-07
1847,1.5101026207275936e-08,2.675038786037476e-07
1848,1.126331028444838e-08,2.791691997572343e-07
1849,1.9272654583346593e-08,1.4245004820168106e-07
1850,8.82569484161877e-09,2.4644054974487517e-07
1851,7.094382858952031e-09,2.6507194661462563e-07
1852,5.208436348880241e-09,2.317754166369923e-07
1853,1.2541057081705276e-08,2.2872498561810062e-07
1854,2.5458755104068587e-08,2.1042441744612006e-07
1855,1.0083180512765466e-08,2.2342204886172112e-07
1856,8.801221973442352e-09,2.6610752001943183e-07
1857,8.78671624349181e-09,2.069759830192197e-07
1858,1.0276719919488642e-08,2.0553439128434547e-07
1859,2.5970084749360467e-08,2.2762014850741252e-07
1860,1.6020143434047895e-08,2.302323451885968e-07
1861,2.3108222890755314e-08,1.975988794811201e-07
1862,1.7168348520613108e-08,1.5541873210622725e-07
1863,1.4983863039219614e-08,2.1626708246458293e-07
1864,1.6781548595190543e-08,2.1096802527154068e-07
1865,2.6358328852893465e-08,1.9768746994941466e-07
1866,7.298419202328432e-09,1.766217536669501e-07
1867,1.5043715606566366e-08,2.135237053835226e-07
1868,1.877152122631287e-08,2.0895667773856985e-07
1869,7.813630631403612e-09,1.8459702744166862e-07
1870,1.0321287824410774e-08,1.829161533350998e-07
1871,1.1683295220166201e-08,1.7312518707512936e-07
1872,2.53988243770209e-08,1.8262964829318662e-07
1873,3.1725821969530443e-08,1.460585110635293e-07
1874,1.4339061493728877e-08,1.5713222012436745e-07
1875,2.1169650921137873e-08,1.973926799792025e-07
1876,1.6324239737741664e-08,2.15238131318074e-07
1877,1.2369632429454214e-08,1.6637154942600318e-07
1878,2.294853729267743e-08,1.9808210538485582e-07
1879,1.2829582729523281e-08,2.4192928549382486e-07
