year,un_DET acte_NOUN,un_DET tact_NOUN
1800,1.852541743119218e-05,7.608878149767406e-07
1801,1.8701808897958472e-05,5.2386017301842e-07
1802,2.3781528057043033e-05,5.975033161575993e-07
1803,2.0172359114667415e-05,6.202078566275304e-07
1804,2.8979979902032937e-05,6.327938151251544e-07
1805,2.4488548547196842e-05,7.306195897172074e-07
1806,2.8416139571163512e-05,7.838140021476647e-07
1807,5.808927369344019e-05,5.86472735264465e-07
1808,4.382813619940862e-05,6.163721497642882e-07
1809,4.399236098606707e-05,5.783118037783197e-07
1810,4.523465099737223e-05,5.171680257376465e-07
1811,3.834323217688507e-05,6.468257787162202e-07
1812,4.235259950746695e-05,8.241673512543457e-07
1813,3.641264100906483e-05,8.914799281001251e-07
1814,3.251461441777792e-05,9.849099456005206e-07
1815,3.289803521511203e-05,6.527280935753055e-07
1816,2.3857414021222212e-05,7.184572154983471e-07
1817,2.4270099800105527e-05,5.293369569336903e-07
1818,2.5561387758443743e-05,6.449356955151586e-07
1819,3.0175380175023747e-05,5.755183636324546e-07
1820,2.9446673522670608e-05,9.030392149611544e-07
1821,2.8447436079659383e-05,7.317224044456339e-07
1822,3.0435764188041503e-05,4.5516297575431963e-07
1823,3.0264740075836016e-05,5.870315877842813e-07
1824,3.0025477542494627e-05,5.389512240938643e-07
1825,2.9700759853312775e-05,5.591456577747067e-07
1826,3.588196608461658e-05,4.289488337860803e-07
1827,4.535543644124118e-05,4.93124108658094e-07
1828,4.299974682453467e-05,5.897789536746245e-07
1829,4.288902749749468e-05,6.755662464996703e-07
1830,3.9529516641323426e-05,7.3892797169961e-07
1831,3.670793444143783e-05,6.891313171220048e-07
1832,3.927885336452164e-05,6.900284601485396e-07
1833,3.407556147294599e-05,8.108539912843327e-07
1834,3.8048480632824067e-05,6.776869510005668e-07
1835,3.425625186537218e-05,5.604248016766178e-07
1836,3.3685743517253286e-05,6.38471257641271e-07
1837,3.239176612623851e-05,6.484754102586976e-07
1838,3.2593477556019934e-05,5.680945527331005e-07
1839,3.609418973837819e-05,5.145725481270347e-07
1840,3.7211722883512266e-05,6.255034108448854e-07
1841,3.884881266458251e-05,7.01123922475233e-07
1842,3.866107488192938e-05,6.507017213941424e-07
1843,3.526721366142738e-05,7.472242788963968e-07
1844,4.115981687391468e-05,7.200992513389792e-07
1845,4.321719040945027e-05,7.120370977276025e-07
1846,4.007581696896523e-05,7.341544812078382e-07
1847,4.291387926969037e-05,5.673671008565861e-07
1848,4.269116448085697e-05,5.37420784763043e-07
1849,5.199175586767524e-05,5.337687538631286e-07
1850,4.6563006662836415e-05,5.051012950119116e-07
1851,4.3922613713220926e-05,6.7396636760364e-07
1852,4.5896091705799336e-05,6.797009590719938e-07
1853,3.6189310151257814e-05,7.24395317952542e-07
1854,3.652500237194545e-05,6.026970549299904e-07
1855,3.956534021654079e-05,6.845949123146511e-07
1856,4.247728350037505e-05,5.725971425896148e-07
1857,3.65366311143589e-05,6.570511170700399e-07
1858,3.750170913008333e-05,7.580303922338771e-07
1859,3.749570873878838e-05,8.172938068540248e-07
1860,3.545852791830839e-05,8.129078654661726e-07
1861,3.7506531953113154e-05,8.27180017370921e-07
1862,3.639328190274682e-05,6.270964691967862e-07
1863,4.0908443338594225e-05,7.611802006479707e-07
1864,3.673288972549926e-05,7.494159870446992e-07
1865,3.607607936828572e-05,6.542513499852021e-07
1866,4.0076107552522444e-05,7.283822354153813e-07
1867,3.6458688043694565e-05,6.803641650066083e-07
1868,3.387024611356537e-05,7.469089640110838e-07
1869,3.9197078649522155e-05,7.999204401087923e-07
1870,3.517380037010298e-05,7.695093398041308e-07
1871,3.6504985985175153e-05,6.404570156437472e-07
1872,3.867575924232369e-05,6.633931359800727e-07
1873,3.4754144849102886e-05,5.584942153191719e-07
1874,3.233279244341247e-05,6.679613104298987e-07
1875,3.320545579299505e-05,7.621074379349224e-07
1876,3.526398745634651e-05,6.801766700981204e-07
1877,3.2419568924524356e-05,4.6200574921329007e-07
1878,3.9515569710601994e-05,5.34459340673088e-07
1879,3.682273711547168e-05,6.017685131309847e-07
1880,4.002939158453955e-05,6.969781098931094e-07
1881,3.605902156778029e-05,5.689566062727636e-07
1882,3.480100974684319e-05,5.49734828991788e-07
1883,3.6106808238400845e-05,6.016010720699683e-07
1884,3.401722472062829e-05,7.31468015935377e-07
1885,3.636820929386886e-05,6.432744685813674e-07
1886,3.643948195986013e-05,7.047182486452641e-07
1887,4.3013859681195754e-05,6.522395938901582e-07
1888,3.7272669374033285e-05,7.152213563621501e-07
1889,3.479970246189623e-05,6.346583620864266e-07
1890,3.958062848141708e-05,7.675186326494554e-07
1891,3.872785055136774e-05,6.450710910987922e-07
1892,3.572487923975132e-05,6.99565974926486e-07
