year,en_ADP aire_NOUN,en_ADP terre_NOUN
1800,4.7162466820793725e-08,1.7682781617622823e-05
1801,1.619204113012529e-07,1.552292947337719e-05
1802,3.3567602031325805e-08,1.4024544071844502e-05
1803,2.9255089017965474e-08,1.6330190845792458e-05
1804,1.730295728918918e-08,1.6284553467471596e-05
1805,3.695740935505398e-08,1.8168830735021402e-05
1806,4.8988376022407465e-08,1.3123121277658356e-05
1807,1.1387820464392462e-08,9.910250355460448e-06
1808,4.5321479014148736e-08,1.334037750666539e-05
1809,7.00299480627109e-08,2.017991948832787e-05
1810,5.3822916346035754e-08,9.603880130271136e-06
1811,5.0141535368197765e-09,1.36485261919006e-05
1812,3.200649700829672e-08,1.0655497206357722e-05
1813,2.0130190847567064e-08,8.932053759735936e-06
1814,4.090680150170556e-08,1.110462360998099e-05
1815,8.091670444798638e-09,7.1422480658611676e-06
1816,7.184571870766376e-08,1.2554460184333038e-05
1817,1.2454987263765815e-08,1.0798473546458354e-05
1818,7.152706427149269e-09,1.0636074691205977e-05
1819,2.484252026313527e-08,9.510544806801136e-06
1820,1.7799721696576398e-08,1.0720178948986359e-05
1821,3.7473656067099625e-08,1.1089243400874693e-05
1822,3.0076847679083585e-08,1.0232143964117313e-05
1823,3.2612866407433216e-08,1.277238496300015e-05
1824,1.431589158329416e-08,1.0868288043752727e-05
1825,1.3208164117983756e-08,1.2540711537667448e-05
1826,2.466235649034587e-08,1.3768641082378963e-05
1827,2.027800155568471e-08,1.1271803522561186e-05
1828,2.384798225563145e-08,9.090667731470603e-06
1829,4.800978425922864e-08,1.0635882361498261e-05
1830,1.6698937788106605e-08,1.3340363238967257e-05
1831,1.4032085493553836e-08,1.2321730395115083e-05
1832,9.470978445946798e-09,1.1882018711162345e-05
1833,1.2741991461950875e-08,1.1694831471231737e-05
1834,2.1469421573883096e-08,1.084765833070378e-05
1835,2.571449897459388e-08,1.3195319809256034e-05
1836,2.9571301130015826e-08,1.4355521841480368e-05
1837,1.8786305289175687e-08,1.3803760225528094e-05
1838,3.8504186727905676e-08,1.256814539374318e-05
1839,2.6567605448946097e-08,1.2881093965688706e-05
1840,5.860113566624747e-08,1.1252054719079752e-05
1841,4.173356549230789e-08,1.2529058608379273e-05
1842,3.287049921141261e-08,1.0024831738064677e-05
1843,3.0125246297529884e-08,1.0484176669933731e-05
1844,5.488561261035585e-08,1.3081985741791868e-05
1845,2.7343117381395388e-08,1.1455091652123883e-05
1846,1.3465352832753297e-08,1.2033342386530421e-05
1847,2.480882788091776e-08,1.0803165963579886e-05
1848,2.0113054055581614e-08,1.0908516543395308e-05
1849,2.3462362719328667e-08,1.0298300878730515e-05
1850,2.1724787302446202e-08,1.1470009127378944e-05
1851,2.1283148576856092e-08,1.2250064287400164e-05
1852,1.9531636752390114e-08,1.1415590307706225e-05
1853,2.26933418723263e-08,1.2453269334855577e-05
1854,2.1821789930598356e-08,1.251167978466583e-05
1855,1.1144567935161831e-08,1.375717317841918e-05
1856,2.0191037064520856e-08,1.2448033714917983e-05
1857,1.2691923956253959e-08,1.3611111626232741e-05
1858,4.502181916166137e-08,1.272942972718738e-05
1859,2.6479301196147276e-08,1.1853561318275752e-05
1860,1.373155189554609e-08,1.140176533453996e-05
1861,1.3204698334767784e-08,1.2196424961530283e-05
1862,3.6143891435358455e-08,1.2464672124679055e-05
1863,1.947902072974017e-08,1.3638811196869938e-05
1864,2.5412057458318316e-08,1.4059580678349448e-05
1865,2.9653119293371333e-08,1.4046164892533852e-05
1866,1.8489329622894957e-08,1.3623230017856258e-05
1867,2.8631587767335986e-08,1.4304147157417901e-05
1868,3.112120594561674e-08,1.3188475406877842e-05
1869,3.174287332985415e-08,1.1819093231224542e-05
1870,4.0711745086241535e-08,1.2962963751306233e-05
1871,3.929835434846041e-08,1.3844704483290116e-05
1872,2.0560953717385644e-08,1.246961329570695e-05
1873,3.8909028887701425e-08,1.5318783653128776e-05
1874,5.616132481289782e-08,1.3390891069775535e-05
1875,2.4030413270370587e-08,1.4784998597860977e-05
1876,3.748529087133079e-08,1.4755298934687744e-05
1877,5.999271590617639e-08,1.5053223819450068e-05
1878,2.2344627481629686e-08,1.421782667421212e-05
1879,1.8327976358811782e-08,1.4182187669575796e-05
1880,4.492492533536563e-08,1.2564859673602768e-05
1881,6.83305714233029e-08,1.5085020550031913e-05
1882,6.25606177973026e-08,1.4699083749292186e-05
1883,3.475636339844712e-08,1.4033987554284977e-05
1884,3.6969503902639644e-08,1.523341592246652e-05
1885,3.287274280561192e-08,1.5290981650650792e-05
1886,5.0982363997142954e-08,1.417180624230241e-05
1887,3.199173115309151e-08,1.3425427880520147e-05
1888,2.4728397107764977e-08,1.3824441793985898e-05
1889,3.8217333020451605e-08,1.3562767833263933e-05
1890,3.211649390877369e-08,1.2645377637454658e-05
1891,3.44207886637804e-08,1.357836362103626e-05
1892,2.7581454897784852e-08,1.3474167531057901e-05
1893,2.832871559554917e-08,1.255824309964737e-05
1894,3.591877373310126e-08,1.3305070069691283e-05
1895,2.106515117894503e-08,1.2394734994813916e-05
1896,2.122930492509667e-08,1.142018669497702e-05
1897,2.9133568113515196e-08,1.2868879650795861e-05
1898,2.6594268232038587e-08,1.3522902179374796e-05
1899,2.984892333302014e-08,1.3377292191307788e-05
1900,2.0764213348734017e-08,1.2615297350748733e-05
1901,3.409130783227354e-08,1.1579308534237498e-05
1902,2.8970674414985353e-08,1.1452254852883925e-05
1903,3.0781254878320397e-08,1.2315742310420319e-05
1904,3.117282521003517e-08,1.276580940157146e-05
1905,2.5803795267176355e-08,1.1663831799069158e-05
1906,2.05767382577271e-08,1.2019901191706595e-05
1907,2.8799923057487575e-08,1.2449795121938223e-05
