year,aucun_DET tissu_NOUN
1800,1.8864987794131594e-08
1801,5.714838380299625e-08
1802,3.8043282302169246e-08
1803,0.0
1804,2.7190360185613827e-08
1805,2.55858996212055e-08
1806,8.645007376628655e-09
1807,5.97860605466849e-08
1808,1.1330369531492579e-08
1809,4.518061036407062e-09
1810,1.4040760554223652e-08
1811,3.259199843341776e-08
1812,2.6672083208723052e-08
1813,3.163315653864629e-08
1814,2.8320094713762956e-08
1815,2.6972236000233352e-08
1816,2.5493642752394408e-08
1817,9.808302792180257e-08
1818,5.6029534789558966e-08
1819,7.452756278780726e-08
1820,7.950542091350599e-08
1821,5.719663320746804e-08
1822,2.3058916553964082e-08
1823,6.324919876732338e-08
1824,1.0105335235266466e-08
1825,5.371320166425164e-08
1826,3.963592876132793e-08
1827,3.7790819362726324e-08
1828,3.393751413227619e-08
1829,3.6864656660640094e-08
1830,3.652892388572582e-08
1831,1.8709447990872263e-08
1832,5.953186521523435e-08
1833,8.22437620229266e-08
1834,4.1071936074388304e-08
1835,5.067268915581735e-08
1836,4.0324502126320994e-08
1837,1.08543098953362e-07
1838,5.112851142463626e-08
1839,7.620707975775076e-08
1840,4.586175916809765e-08
1841,5.008027903485868e-08
1842,2.2808101185489704e-08
1843,4.2529759491927166e-08
1844,4.0066498785407134e-08
1845,3.459741454436838e-08
1846,5.327596075410668e-08
1847,3.99098540881937e-08
1848,4.907585093860689e-08
1849,4.8600607982507427e-08
1850,4.752297044774423e-08
1851,3.353708111220044e-08
1852,2.6042180856222785e-08
1853,6.389967244224692e-08
1854,2.8576154442738755e-08
1855,4.988520885262915e-08
1856,4.9183296990662484e-08
1857,5.36965993891414e-08
1858,3.963877404089544e-08
1859,4.430190969628711e-08
1860,2.6089948951257824e-08
1861,5.7063160863179974e-08
1862,4.246907270299971e-08
1863,1.7481172620570362e-08
1864,2.780942265356856e-08
1865,4.612707615869738e-08
1866,5.838735361862746e-08
1867,6.405710983869994e-08
1868,7.706203453139437e-08
1869,6.446245226499059e-08
1870,3.669791226457164e-08
1871,2.9739295914765762e-08
1872,3.1446163895054724e-08
1873,5.7465642466780764e-08
1874,5.735624863945077e-08
1875,4.9777284516494547e-08
1876,3.9903697679477546e-08
1877,5.999271568413178e-08
1878,5.737134323169357e-08
1879,6.598071178309795e-08
1880,4.235778416905589e-08
1881,3.834879180875106e-08
1882,5.523969703880027e-08
1883,2.5277354875896663e-08
1884,4.2250860587955685e-08
1885,4.060750324885731e-08
1886,4.581959522909074e-08
1887,3.133883863526421e-08
1888,2.0924028065749667e-08
1889,3.257871172834825e-08
1890,4.0637197606940845e-08
1891,1.976008279225283e-08
1892,3.573052120842135e-08
1893,3.4487133593330555e-08
1894,4.34806199933746e-08
1895,2.888934957923084e-08
1896,2.1229304758563217e-08
1897,4.486569338268964e-08
1898,2.4330926717830437e-08
1899,3.924580660452648e-08
1900,3.322273967043543e-08
1901,3.800342485149599e-08
1902,2.4551420119145462e-08
1903,1.2420506179111612e-08
1904,3.117282521003517e-08
1905,3.767354234129883e-08
1906,4.1153474850119665e-08
1907,4.011417953364571e-08
1908,3.437972218023333e-08
1909,4.7858556229130045e-08
1910,1.6566866878342523e-08
1911,2.0217421070611863e-08
1912,4.42800791589093e-08
1913,1.9621062774533016e-08
1914,3.61624143963013e-08
1915,3.2986132936230206e-08
1916,4.614733928320902e-08
1917,1.8642921539857582e-08
1918,2.8715939848211747e-08
1919,2.117805053547528e-08
1920,2.953170330499688e-08
1921,3.862101038976107e-08
1922,1.5493664462518097e-08
1923,1.9108706172943357e-08
1924,3.609654786185246e-08
1925,2.639562746153956e-08
1926,3.343841381564516e-08
1927,3.121782932158368e-08
1928,3.08503116386305e-08
1929,2.7851015937940815e-08
1930,3.256117264704983e-08
1931,2.2810714206400462e-08
1932,2.4110979879310435e-08
1933,2.064719195615794e-08
1934,3.1152108448395666e-08
1935,2.992070946561398e-08
1936,3.03117859701274e-08
1937,1.76275650742852e-08
1938,3.5006078036303734e-08
1939,4.435274636449549e-08
1940,1.0143131667916805e-08
