year,bien_ADV eu_VERB,bien_ADV tu_VERB
1800,2.5153315164061496e-07,3.772997558826319e-08
1801,4.0956339830700017e-07,7.143547975374531e-08
1802,4.856112809648039e-07,4.2518962573012686e-08
1803,2.5354410126965377e-07,3.705644502360883e-08
1804,3.831368928786105e-07,2.4718509905596875e-08
1805,3.752598445316835e-07,4.5486043376286034e-08
1806,3.602086451337527e-07,3.7461699520235925e-08
1807,2.932363827312656e-07,4.555128185756985e-08
1808,2.5380029455845943e-07,4.078933102391602e-08
1809,4.3373387370593264e-07,5.873479480555943e-08
1810,2.69114565298878e-07,6.552355102940055e-08
1811,4.78851688967552e-07,4.262030373070047e-08
1812,3.494042744023318e-07,1.8670457180292033e-08
1813,4.3423699480626965e-07,2.300593315851529e-08
1814,3.4613449884091096e-07,4.405347908686963e-08
1815,3.263640451223182e-07,3.506390555685357e-08
1816,2.9201808615653135e-07,3.244645441213834e-08
1817,3.829908621355571e-07,5.4490570278176165e-08
1818,3.552510747795168e-07,3.9339884239097955e-08
1819,3.7263779972818156e-07,3.9333990287104825e-08
1820,5.078853746454115e-07,6.051905643289501e-08
1821,3.816396088041074e-07,6.607196922914227e-08
1822,5.383755592447415e-07,3.909990198280866e-08
1823,5.277354944155377e-07,7.412015179397713e-08
1824,5.776883540420386e-07,1.0105335235266466e-07
1825,4.261834476437798e-07,8.541280038798504e-08
1826,4.289488515496487e-07,6.253669226907732e-08
1827,3.548650227003236e-07,4.885154680778214e-08
1828,4.06332958391431e-07,4.494427585655103e-08
1829,4.192283142856468e-07,4.715246859632316e-08
1830,4.1538606865287875e-07,6.575206867864836e-08
1831,4.7241354650395806e-07,5.76874619184764e-08
1832,3.8154513504196075e-07,4.058990654698391e-08
1833,3.9616008962184424e-07,3.1275796175123105e-08
1834,4.01384824044726e-07,5.1339920759119195e-08
1835,5.00676435422065e-07,6.42862474364847e-08
1836,5.087607632958679e-07,5.9142600150607905e-08
1837,5.29495480350306e-07,7.792837664055696e-08
1838,5.352713401407527e-07,4.229148586887277e-08
1839,3.355908120283857e-07,4.9639474752893875e-08
1840,3.363195730798907e-07,5.86011346115356e-08
1841,4.1091510638580075e-07,5.1364388298225094e-08
1842,4.004834295301407e-07,9.19032316915036e-08
1843,3.904468144355633e-07,7.147362168780091e-08
1844,4.2097263985851896e-07,6.586273570974299e-08
1845,3.336976419632265e-07,6.473064217971114e-08
1846,4.437711993432458e-07,7.259581735752363e-08
1847,3.5487411764734134e-07,3.9909856752728956e-08
1848,4.111108182769385e-07,3.459445352405055e-08
1849,3.728839601535583e-07,3.854530916669319e-08
1850,4.82018720049382e-07,4.480737203493845e-08
1851,3.5471913406581734e-07,4.385618268543112e-08
1852,3.684968703510094e-07,6.510545347282459e-08
1853,5.303075454321515e-07,5.1358615138497044e-08
1854,4.977446792508999e-07,4.72805474771576e-08
1855,4.6701046585440054e-07,8.968723363977915e-08
1856,4.3125984916514426e-07,7.196292983735475e-08
1857,4.2713205061772896e-07,8.103305049189657e-08
1858,5.304744945533457e-07,9.39585760306727e-08
1859,4.6898915684323583e-07,1.0082503365538287e-07
1860,3.9592640632690745e-07,7.094634923987542e-08
1861,4.357550551503664e-07,7.875659235878629e-08
1862,4.635454047274834e-07,9.849210158563437e-08
1863,4.400260991133109e-07,7.841554605647616e-08
1864,3.8405769942073675e-07,8.486668434670719e-08
1865,4.344417448010063e-07,6.354240156269952e-08
1866,4.6709882894901966e-07,8.806759410617815e-08
1867,5.342945428310486e-07,7.133633062039735e-08
1868,4.801557338396378e-07,7.459210138449635e-08
1869,4.653993812553381e-07,7.471784613244381e-08
1870,4.5413665361593303e-07,8.429051945313404e-08
1871,5.26810367773578e-07,1.4869648623516696e-07
1872,4.408510392295284e-07,7.861540751719076e-08
1873,5.141977794664854e-07,8.08110627303904e-08
1874,5.263630669105623e-07,8.902167536462002e-08
1875,4.771753765453468e-07,8.238998816523235e-08
1876,4.6796154151707015e-07,7.436598536969541e-08
1877,3.8655099388051894e-07,5.1952454782622226e-08
1878,4.1911275161510275e-07,6.159870480360041e-08
1879,5.070739916845923e-07,6.720257772485638e-08
1880,4.999502039026993e-07,5.904418642899145e-08
1881,4.364789845112682e-07,5.438555916725818e-08
1882,5.58386830107338e-07,5.657077295495583e-08
1883,4.948042260366492e-07,6.319339007632152e-08
1884,4.832442073166021e-07,7.922036360241691e-08
1885,4.5054994757265376e-07,8.443782917311182e-08
1886,4.581959274219116e-07,6.905206362262106e-08
1887,4.5049580421618884e-07,6.202478175509896e-08
1888,5.376841158977186e-07,6.404020780337305e-08
1889,5.450668822959415e-07,2.5060547415023393e-08
1890,4.5487442434932746e-07,3.47382496102e-08
1891,5.137621315043361e-07,5.290602800300803e-08
1892,6.061651447453187e-07,6.83267842305213e-08
1893,5.487149223881715e-07,4.92673315477532e-08
1894,5.784813197351468e-07,3.0877544077156927e-08
1895,4.98341307775263e-07,6.740847879882494e-08
1896,5.218870455792057e-07,8.904513748575482e-08
1897,5.110027814225759e-07,5.0692406716734695e-08
1898,5.386754082792322e-07,5.6017714911149596e-08
1899,5.632602437799505e-07,7.40695469403363e-08
1900,4.80172388961364e-07,6.48881623988018e-08
1901,4.962799948771135e-07,6.985923306501718e-08
1902,4.365242318726814e-07,5.4013121086882165e-08
1903,4.233772585848783e-07,7.398301704597543e-08
1904,4.971528255737212e-07,6.23456486437135e-08
1905,5.140116172697162e-07,8.928113004458282e-08
1906,5.005291541237966e-07,7.510509192343306e-08
1907,4.3919882841692015e-07,7.25140907320565e-08
1908,4.80825008253305e-07,9.675436274392268e-08
1909,5.616504381578125e-07,6.436150812305641e-08
1910,5.231923410065065e-07,7.214603670036013e-08
