year,en_PRON irez_VERB,en_PRON tirez_VERB
1800,2.829747991484055e-08,1.0061326349841693e-07
1801,9.524730337773235e-09,2.0240051412656612e-07
1802,2.9091921760482364e-08,4.923248297927785e-08
1803,3.90067853572873e-08,7.216254971353919e-08
1804,8.404293083685843e-08,1.0628959046243835e-07
1805,5.401467717547348e-08,3.980028751016107e-08
1806,5.76333825108577e-08,1.7866348400730203e-07
1807,1.9928686256776018e-08,6.547996633798903e-08
1808,1.4276265858370607e-07,6.118399653587403e-08
1809,3.388545621874073e-08,8.358412628695078e-08
1810,7.722418615685456e-08,1.1232608443378922e-07
1811,1.2535384286138651e-08,5.515568801683912e-08
1812,2.1337665856435706e-08,4.800974906515876e-08
1813,2.300593315851529e-08,8.339650747757332e-08
1814,4.405347908686963e-08,7.237357380063258e-08
1815,2.4275012222574333e-08,7.282503844407984e-08
1816,2.0858434979231788e-08,1.1588019788177917e-07
1817,2.0239355080775567e-08,1.55687345682054e-07
1818,3.5763530803478716e-08,1.0133000927226021e-07
1819,6.521161566297451e-08,1.366338580055526e-07
1820,6.526564533260171e-08,7.831877724129299e-08
1821,8.480879643002481e-08,1.3313008651039127e-07
1822,1.2030739071633434e-07,1.1228689800191205e-07
1823,5.830785099192326e-08,1.1365089847004128e-07
1824,2.433701524751086e-07,1.1115868403521745e-07
1825,1.6290069027036225e-07,5.899646993157148e-08
1826,4.580151724553616e-08,9.688783109140786e-08
1827,3.041700225026034e-08,6.636436467033491e-08
1828,4.677873732816806e-08,6.328887991458032e-08
1829,1.971830521085849e-08,6.944272712416932e-08
1830,5.4271545479878114e-08,8.662573947049168e-08
1831,4.2096257146795324e-08,1.2317052267007966e-07
1832,2.841293600397421e-08,4.19429042608499e-08
1833,3.359252431778259e-08,7.52935847003755e-08
1834,3.080395316601425e-08,8.214387037241977e-08
1835,1.5277437626082246e-07,6.958040899007756e-08
1836,7.997692819117219e-08,6.451919887240365e-08
1837,9.114837240531415e-08,6.609996461293122e-08
1838,6.375283589932224e-08,8.268931850352601e-08
1839,1.0277468476260765e-07,5.3135210009713774e-08
1840,6.942960339983983e-08,5.032054062326097e-08
1841,9.052973126699726e-08,6.741576186186649e-08
1842,1.0196562527653441e-07,9.592819338877234e-08
1843,6.025049259505977e-08,8.683159080646874e-08
1844,3.567564732520623e-08,8.068185053389243e-08
1845,5.5802278353667134e-08,6.41726245476093e-08
1846,3.9810608143397985e-08,9.367202125076801e-08
1847,2.6966118227278457e-08,2.8044762956369595e-08
1848,3.861706332486392e-08,8.045221733254948e-08
1849,4.608678239037545e-08,4.1059134758825167e-08
1850,5.159636984330973e-08,3.2587180953669304e-08
1851,4.127640806927957e-08,6.513933215046563e-08
1852,7.487127362537649e-08,6.640756566866912e-08
1853,2.388772735173461e-08,5.1955808544335014e-08
1854,5.975014261139222e-08,7.273930435758302e-08
1855,6.739810487488285e-08,5.73149208094037e-08
1856,6.316170697573398e-08,5.7466799319172424e-08
1857,4.002837528105374e-08,6.882928005325084e-08
1858,5.3830436996804565e-08,1.0912897607795458e-07
1859,7.027199444564758e-08,6.263373109050008e-08
1860,5.40107691904268e-08,4.439868561689764e-08
1861,5.0932406736592384e-08,6.932466334319543e-08
1862,5.647482836934614e-08,9.71367057900352e-08
1863,5.4441368746438457e-08,6.193329937786984e-08
1864,7.240038968348017e-08,5.3221480555976086e-08
1865,6.401308638714909e-08,7.483882313863433e-08
1866,4.670988573707291e-08,5.400830360713371e-08
1867,7.521857980918867e-08,7.133633062039735e-08
1868,5.335063946176888e-08,6.81702587712607e-08
1869,1.3283171540479088e-07,5.323035878745941e-08
1870,6.078091985273204e-08,9.805223299963473e-08
1871,3.9298356568906456e-08,5.629224020253787e-08
1872,5.624025689598966e-08,5.2611852652262314e-08
1873,5.986004225633224e-08,5.806424496768159e-08
1874,7.169531102135807e-08,5.675878611555163e-08
1875,7.609631325067312e-08,1.0184318455230823e-07
1876,1.0338685285660176e-07,5.622793608495158e-08
1877,7.978412952525105e-08,5.318941731502491e-08
1878,6.461824852976861e-08,7.548860736505958e-08
1879,7.453376582589044e-08,4.093248051617593e-08
1880,5.455169471701993e-08,7.059630746653056e-08
1881,4.2532295907449225e-08,3.765154232837631e-08
1882,4.19289278852375e-08,5.523969548448804e-08
1883,6.5721124542506e-08,4.676310894069502e-08
1884,8.516189353713344e-08,5.413391335196138e-08
1885,4.1252068427866107e-08,3.0939052209078e-08
1886,4.5174246565693466e-08,3.549405036551434e-08
1887,4.309090329002174e-08,3.590908548289917e-08
1888,3.9945874164004636e-08,4.56524276160053e-08
1889,6.453090861668898e-08,4.385595886446936e-08
1890,2.818386235503567e-08,5.2435090935887274e-08
1891,5.991766727220238e-08,4.0157587477551715e-08
1892,4.325273650351846e-08,4.0745330665004076e-08
1893,5.234653954744317e-08,5.234653954744317e-08
1894,5.4823392048319874e-08,4.159015887239548e-08
1895,3.791727110069587e-08,3.791727110069587e-08
1896,4.8355637716213096e-08,2.6536630670648265e-08
1897,2.0393496669157685e-08,5.302309347143819e-08
1898,2.4896761985360172e-08,4.3003495875382214e-08
1899,5.5275783950037294e-08,4.477338677588705e-08
1900,5.606337438734954e-08,4.3085741197046445e-08
1901,3.800342440740678e-08,5.7005138387467014e-08
1902,3.2407871941586563e-08,3.928226988136885e-08
1903,3.888158772724637e-08,2.430099144135056e-08
1904,2.6335662539622717e-08,2.7948050984605288e-08
1905,4.025391930895239e-08,5.986480289266183e-08
1906,4.166789580040131e-08,4.6812079546043606e-08
1907,3.445705232252294e-08,3.857132568896304e-08
1908,4.4202501214840595e-08,4.665819730576004e-08
1909,3.5756393401698006e-08,4.8408654862441836e-08
1910,4.008112952647025e-08,4.382203400155049e-08
1911,4.8947441655400326e-08,5.69280018680729e-08
1912,5.574080574888285e-08,3.6986889995205274e-08
1913,4.030272293675807e-08,3.446943352969356e-08
1914,3.4823067096567684e-08,5.2234600644851525e-08
1915,2.3561524287174507e-08,2.3561524287174507e-08
1916,4.724608615447323e-08,3.186363883855847e-08
1917,2.7416060532914344e-08,1.973956464951243e-08
1918,3.5607765624945387e-08,2.5270027848023346e-08
1919,2.762354434082681e-08,3.4069039145379065e-08
1920,4.846228307542333e-08,3.63467123065675e-08
1921,2.7261890522822796e-08,4.695103328344885e-08
1922,5.976127681606158e-08,3.8365264742878935e-08
1923,4.458698299458774e-08,4.777176698667063e-08
1924,5.0277336072213075e-08,5.9301473953610184e-08
1925,4.7292164850887275e-08,2.74954441437103e-08
1926,4.124071395494866e-08,4.0126099776216506e-08
1927,7.024011949852138e-08,3.6792442870137165e-08
1928,2.8565102283550914e-08,3.6563331917705e-08
1929,4.233354289340241e-08,3.4535258208734376e-08
1930,3.571225093423891e-08,3.571225093423891e-08
1931,4.219981875053236e-08,2.737285598186645e-08
1932,4.055028668403793e-08,3.1782654730250215e-08
1933,3.785318369864399e-08,3.9000251916831985e-08
1934,4.313368862085554e-08,4.193552882725271e-08
1935,2.992070946561398e-08,2.8723881939640705e-08
1936,3.031178508194898e-08,3.15242587589637e-08
