year,mon_DET acte_NOUN,mon_DET tact_NOUN
1800,1.0375742576229641e-07,2.5153315874604232e-08
1801,7.381665989569797e-08,2.8574191901498125e-08
1802,3.1329761895904085e-08,8.951360541686881e-09
1803,4.4857802805609026e-08,5.851017448321727e-09
1804,2.842628568089367e-07,2.4718509461507665e-09
1805,2.2743021688143017e-08,0.0
1806,8.645007376628655e-09,3.1698359492793315e-08
1807,5.693910054560547e-08,1.4234775136401367e-08
1808,6.345007053099039e-08,2.2660739951163578e-09
1809,1.9653564997668127e-07,2.0331274441787173e-08
1810,2.4805344267520013e-07,0.0
1811,1.7048121492280188e-07,5.0141535368197765e-09
1812,4.000812392490616e-08,1.600324850414836e-08
1813,2.5881675469463516e-08,0.0
1814,5.664018942752591e-08,0.0
1815,4.5852800667489646e-08,0.0
1816,8.343374346964083e-08,2.3176038865813098e-09
1817,6.694555310104988e-08,2.490997452753163e-08
1818,2.1458118837358597e-08,7.152706427149269e-09
1819,3.2088255608186955e-08,1.2421260464634543e-08
1820,9.018525837234392e-08,1.779972080839798e-08
1821,1.1833786039971983e-07,1.3806083387635226e-08
1822,7.819980396561732e-08,1.303330066093622e-08
1823,1.1958051082672227e-07,3.9530747564242574e-09
1824,7.579001248814166e-08,3.3684450784221553e-08
1825,4.842993739373469e-08,1.584979791857677e-08
1826,1.153845943235865e-07,9.688783109140786e-09
1827,8.29554564485413e-08,7.373818444733615e-09
1828,1.1740545363680965e-07,0.0
1829,1.4660130887023115e-07,5.143905745796928e-09
1830,1.3567887013898883e-07,6.262101504006523e-09
1831,9.198811623534198e-08,7.795603274018958e-09
1832,1.2176972319366541e-07,8.117981842303834e-09
1833,5.328469099286082e-08,1.1583628278799551e-08
1834,1.1854853987358638e-07,2.8003592777992026e-09
1835,7.714349692378164e-08,1.663879345414898e-08
1836,5.712637651811292e-08,6.048674894287842e-09
1837,8.210311408518578e-08,5.5663127440652715e-09
1838,5.6178240059878704e-08,5.680945491803868e-09
1839,1.1535933674977628e-07,7.690622361167243e-09
1840,6.305991462340899e-08,1.2739377330817092e-09
1841,6.484754067059839e-08,5.1364388298225094e-09
1842,1.2007794669699479e-07,6.708265054555795e-10
1843,6.73387887673016e-08,2.3627644285539873e-09
1844,2.9638231424655714e-08,1.6465684371524958e-09
1845,5.4686232431322424e-08,2.2320911785556063e-09
1846,7.435216886619855e-08,1.1709002656346001e-08
1847,8.467361389818961e-08,2.1572894581822766e-09
1848,1.2872354382409412e-07,1.367687652020777e-08
1849,6.368355087715827e-08,3.3517659758786067e-09
1850,6.177986477950981e-08,1.3577992064028876e-09
1851,4.321124080775007e-08,4.514607354622058e-09
1852,9.049658378224024e-08,4.557382027314816e-09
1853,8.241266025166283e-08,4.180352064508952e-09
1854,3.636965217879151e-08,3.63696517347023e-09
1855,6.262185792138553e-08,3.1841622671890946e-09
1856,9.111853116472446e-08,2.0708756931497874e-09
1857,9.7630178608199e-08,7.810414537345878e-09
1858,6.361779014696367e-08,4.404308473482388e-09
1859,7.587338002323918e-08,7.129042689513199e-09
1860,7.00309172874114e-08,2.746310290291376e-09
1861,6.979625988279281e-08,1.8863854922557266e-09
1862,7.183598449422846e-08,4.517986262886353e-10
1863,5.8936526103892106e-08,1.2986014041871385e-08
1864,9.493561059503719e-08,3.835782358407869e-09
1865,7.954567049495154e-08,6.118897832863013e-09
1866,1.2699249651859645e-07,8.271542117910258e-09
1867,9.657094679482725e-08,9.7056229719783e-10
1868,7.755602027259556e-08,4.939874287401835e-09
1869,9.327521333091227e-08,4.395167341186834e-09
1870,9.174477888507226e-08,4.013834153937523e-09
1871,7.75345974091124e-08,1.0621177271019633e-09
1872,1.4453140551040633e-07,6.047339295989218e-10
1873,8.679706642311658e-08,3.591602570907071e-09
1874,1.0455566323841481e-07,7.766991494406739e-09
1875,1.1614699957362973e-07,1.0298748520654044e-08
1876,1.0459605515045212e-07,1.4510435075720807e-08
1877,8.225805103734274e-08,0.0
1878,9.722932636790915e-08,1.8117265465633636e-09
1879,8.064309575672723e-08,3.054662633950045e-09
1880,5.3909906760907234e-08,1.9253538763308597e-09
1881,7.87893377207638e-08,1.3945015142624584e-09
1882,7.720247019449289e-08,0.0
1883,8.783881466634114e-08,6.319338941018771e-10
1884,9.242376020068832e-08,5.941527270181268e-09
1885,8.572695353592508e-08,4.511945039809007e-09
