year,en_PRON irai_VERB,en_PRON tirais_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,3.333655484993869e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,9.887403784603066e-09,4.943701892301533e-09
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,4.5321478125970316e-08,0.0
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,2.1337665856435706e-08,2.6672082320544632e-09
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,7.784366928831332e-09,0.0
1818,0.0,3.5763532135746345e-09
1819,5.175524897538253e-09,1.035105001712111e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,9.861488514673056e-09,0.0
1822,8.02049271442229e-09,1.0025615893027862e-09
1823,1.1859224713361982e-08,1.9765373782121287e-09
1824,2.5263338088166165e-09,0.0
1825,2.289415235168235e-08,8.805443041381977e-10
1826,2.2019960965735663e-08,2.642395191543301e-09
1827,1.1982455028203276e-08,0.0
1828,3.668920500743411e-09,0.0
1829,3.429270423183084e-09,1.714635211591542e-09
1830,6.262101504006523e-09,1.0436835840010872e-09
1831,4.677361609140007e-09,0.0
1832,8.117981842303834e-09,0.0
1833,1.2741991461950875e-08,0.0
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,4.5378527602224494e-09,2.2689263801112247e-09
1836,1.1425274948351216e-08,0.0
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,2.5248647617104325e-08,0.0
1839,1.2584655095793096e-08,1.3982950353153e-09
1840,6.3696887764308485e-09,1.9109065441114126e-09
1841,2.5682194149112547e-09,6.420548537278137e-10
1842,8.720745015011744e-09,6.708265054555795e-10
1843,1.2404512972352677e-08,1.1813822142769936e-09
1844,5.488561161115513e-09,2.195424508855126e-09
1845,2.2320911785556063e-09,0.0
1846,7.025401593807601e-09,1.7563503984519002e-09
1847,7.011190739092399e-09,0.0
1848,2.413566457803995e-09,0.0
1849,5.02764896381791e-09,0.0
1850,8.146795238417326e-09,6.788996032014438e-10
1851,4.514607354622058e-09,1.9348316282474798e-09
1852,3.2552727180501506e-09,6.510545436100301e-10
1853,6.569124799682413e-09,5.971931837933653e-10
1854,2.234135720868835e-08,1.0391328908454511e-09
1855,6.368324534378189e-09,1.0613874223963649e-09
1856,5.694908100650764e-09,2.0708756931497874e-09
1857,5.369659827891837e-09,1.4644527812635033e-09
1858,1.1255455234504552e-08,0.0
1859,1.5785737161877478e-08,2.036869339860914e-09
1860,1.1442959468865865e-08,2.288591982591015e-09
1861,8.488735048217677e-09,9.431927461278633e-10
1862,2.755971628687348e-08,4.517986262886353e-10
1863,1.6482248454963155e-08,4.994620828036034e-10
1864,1.0068928801842958e-08,1.4384183844029508e-09
1865,7.0602665935837194e-09,9.41368871743009e-10
1866,1.6543083347642096e-08,4.865612912574591e-10
1867,1.1161466417775046e-08,2.91168689159349e-09
1868,4.939874287401835e-09,1.4819622196071691e-09
1869,1.5627261262807224e-08,1.4650557433881772e-09
1870,1.3188312664169644e-08,2.8670243956696595e-09
1871,5.3105884134652115e-09,1.0621177271019633e-09
1872,1.2094679036067646e-08,1.2094678591978436e-09
1873,2.1549615425442425e-08,0.0
1874,1.2546679251101978e-08,1.7923826867161097e-09
1875,1.2587359599081083e-08,1.1443054281912168e-09
1876,7.859819461941697e-09,2.418405919968336e-09
1877,2.5976227391311113e-08,6.184815992682502e-10
1878,1.872117572077059e-08,1.2078177347163432e-09
1879,1.649517855639715e-08,4.887460214320072e-09
1880,1.4761046607247863e-08,1.9253538763308597e-09
1881,2.8587281875047665e-08,2.091752326904839e-09
