year,ancien_ADJ acte_NOUN,ancien_ADJ tact_NOUN
1800,9.432493897065797e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,3.900678446910888e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,4.264316544322355e-08,2.842877711017877e-09
1806,2.881669125542885e-09,2.305335300434308e-08
1807,1.0818429529990681e-07,3.4163463169534225e-08
1808,1.3823051858707913e-07,0.0
1809,1.5135503872443223e-07,0.0
1810,8.190443878675069e-08,0.0
1811,4.763445815569867e-08,0.0
1812,1.4136203674297576e-07,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,5.0987285504788815e-08,0.0
1817,7.940054302935096e-08,0.0
1818,7.510341504257667e-08,0.0
1819,4.6579724966022695e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,1.577838126820552e-08,0.0
1822,2.3058916553964082e-08,0.0
1823,5.4354778122878145e-08,5.929612356680991e-09
1824,3.03160057057994e-08,0.0
1825,4.6668848341369085e-08,0.0
1826,2.554315514657901e-08,0.0
1827,3.410390903013649e-08,0.0
1828,5.77854990524429e-08,9.172301251858528e-10
1829,5.486832838075273e-08,0.0
1830,1.1793624565825667e-07,0.0
1831,8.731075751278183e-08,0.0
1832,1.204167290325131e-07,0.0
1833,5.560141858040879e-08,0.0
1834,6.534171603789218e-08,0.0
1835,7.941242330389287e-08,0.0
1836,6.653542283796554e-08,0.0
1837,4.94010263807354e-08,0.0
1838,9.341999573919679e-08,0.0
1839,8.319855737681792e-08,0.0
1840,6.688173215252391e-08,0.0
1841,9.245589893680517e-08,0.0
1842,5.0311989241436095e-08,0.0
1843,6.615740488769006e-08,0.0
1844,5.54344694592146e-08,0.0
1845,6.752075876192976e-08,0.0
1846,6.264316709803097e-08,0.0
1847,8.575225685092391e-08,0.0
1848,4.183515400768556e-08,0.0
1849,1.0893239732467919e-07,0.0
1850,7.671565516176315e-08,0.0
1851,9.351686003356008e-08,0.0
1852,7.552232972329875e-08,0.0
1853,8.420423824873069e-08,0.0
1854,6.910233452117609e-08,0.0
1855,5.7845614520601885e-08,0.0
1856,3.054541508618058e-08,0.0
1857,5.662550606189143e-08,0.0
1858,3.425573069648635e-08,0.0
1859,3.4626779665813956e-08,0.0
1860,5.492620758218436e-08,9.154367819341758e-10
1861,3.772770895693611e-08,0.0
1862,4.246907181482129e-08,0.0
