year,mon_DET an_NOUN,mon_DET temps_NOUN
1800,1.8864986461863964e-08,1.396009007947896e-06
1801,1.6668278313147766e-08,1.695401977030997e-06
1802,1.3427040812530322e-08,2.6227485250274185e-06
1803,4.290746247193056e-08,8.46447217206503e-07
1804,7.4155528384522995e-09,1.3521025223894867e-06
1805,1.1371510844071508e-08,1.7483697547504562e-06
1806,1.152667650217154e-08,1.1699576463186645e-06
1807,2.562259604488304e-08,1.0562203556219174e-06
1808,1.5862517521725295e-08,1.2735336181179946e-06
1809,1.129515236897305e-08,1.3870446924357793e-06
1810,2.3401267590372754e-09,1.7527549331930459e-06
1811,1.7549537378869218e-08,1.8401943790991027e-06
1812,1.0668832928217853e-08,1.7096804256766518e-06
1813,1.4378708224072057e-08,1.60753952371806e-06
1814,2.5173417128598885e-08,1.0415500883986795e-06
1815,3.236668266737297e-08,9.251476598137742e-07
1816,1.1588019432906549e-08,1.4739960789711404e-06
1817,4.670620334934483e-09,2.6871634517533494e-06
1818,1.4305412632253933e-08,2.106471963969625e-06
1819,6.210630232317271e-09,1.476059701133181e-06
1820,2.254631414899677e-08,2.723357422240724e-06
1821,2.7612166775270452e-08,3.7739915512702282e-06
1822,7.017931125119503e-09,3.0598180700280864e-06
1823,5.929612023614084e-09,2.563569010405331e-06
1824,1.1789557774477544e-08,2.378964257587768e-06
1825,1.8491430164857547e-08,2.475209996077865e-06
1826,1.0569581432307018e-08,2.3297118509901793e-06
1827,3.6869092223668076e-09,1.9236448434156728e-06
1828,1.0089531266022078e-08,1.843632526643546e-06
1829,1.5431717126368483e-08,2.1415793156620566e-06
1830,1.8786305178153384e-08,2.4286517295024623e-06
1831,7.795602829929749e-09,2.7346974533770663e-06
1832,1.894195755802741e-08,2.944121241910125e-06
1833,1.3900354645102198e-08,2.4673127896335245e-06
1834,1.0267984462686286e-08,2.2860265431745574e-06
1835,1.5126175867408165e-08,2.1350597805280813e-06
1836,1.6129799718100912e-08,2.38653842998815e-06
1837,3.478945576063097e-09,2.3942101954332884e-06
1838,3.1560809521380406e-09,2.1821144713385365e-06
1839,2.9364194964465185e-08,1.9562147315355105e-06
1840,9.554533331179726e-09,1.710898335005595e-06
1841,2.0545755763379248e-08,1.7271275964958477e-06
1842,1.0062398025922903e-08,2.0185168629893724e-06
1843,2.953455535692484e-09,1.7336783955101964e-06
1844,4.939705144924034e-09,1.5307597500680004e-06
1845,8.370341586516616e-09,1.4848986431559297e-06
1846,1.0538102390711401e-08,1.828360744582369e-06
1847,4.853901280910122e-09,1.4604850058219654e-06
1848,1.3676876908785829e-08,1.8021296455117408e-06
1849,1.6758829879393033e-09,1.628958317567708e-06
1850,8.146795238417326e-09,1.8676527631100726e-06
1851,7.094382858952031e-09,1.5852719918996172e-06
1852,1.2370036328590572e-08,1.734409252662772e-06
1853,1.4332636411040767e-08,1.8966855961366491e-06
1854,1.1950028522278444e-08,2.240370434947181e-06
1855,1.3798036491152743e-08,2.04264018677236e-06
1856,1.7602442614617075e-08,1.9580129801965995e-06
1857,9.763018116171196e-09,2.6096548282339427e-06
1858,1.2723557929472662e-08,2.4497741932805184e-06
1859,6.110607797538137e-09,2.474796136908708e-06
1860,5.950339110327718e-09,2.524774664891538e-06
1861,1.3676294874365169e-08,2.405613187761446e-06
1862,1.084316739174973e-08,2.352063699362361e-06
1863,9.989241878116673e-09,2.3764406336113097e-06
1864,7.192092033037056e-09,2.43044749481669e-06
1865,9.884373208812747e-09,2.6085331654712718e-06
1866,9.244664256335966e-09,2.5111428243462797e-06
1867,6.308654931785895e-09,2.3240114046529925e-06
1868,4.445886658821507e-09,1.9882992035036295e-06
1869,1.2697149998075474e-08,2.2454420474105063e-06
1870,1.0321287824410774e-08,2.4163282219547e-06
1871,7.434823867669138e-09,2.3462181459876774e-06
1872,5.442605366390296e-09,2.3227830929783977e-06
1873,8.380406202324053e-09,2.024466674299674e-06
