year,on_PRON irait_VERB,on_PRON tirait_VERB
1800,1.1633408902866904e-07,4.5590385155946933e-07
1801,8.572257303995912e-08,3.6670213177103506e-07
1802,1.3650824826072494e-07,4.296653060009703e-07
1803,6.631153581793114e-08,5.616977105660226e-07
1804,1.6067031616273653e-07,6.25378284269118e-07
1805,6.538618890772341e-08,3.83788499647153e-07
1806,1.4696512096179504e-07,3.890253417182521e-07
1807,1.7366425675291453e-07,5.864727441462492e-07
1808,1.2916621905390002e-07,4.4868265547393094e-07
1809,1.9201759027254184e-07,5.670166558502387e-07
1810,1.895502714788222e-07,4.844062360120915e-07
1811,1.2535384108502967e-07,6.342904157463636e-07
1812,1.5736528524712412e-07,7.708231777314722e-07
1813,1.2653262615458516e-07,5.722726115209298e-07
1814,2.9264096923498073e-07,3.9648132066361086e-07
1815,1.1867783378249896e-07,7.660114889063152e-07
1816,8.806894946644661e-08,6.257530387188126e-07
1817,1.4945985071790346e-07,3.954458449584308e-07
1818,1.2159600704109153e-07,4.899603780472717e-07
1819,1.2524770554023235e-07,4.81323837675518e-07
1820,1.4121112457132767e-07,6.645229646551343e-07
1821,1.962436186886407e-07,6.774842589152286e-07
1822,1.8948414037822658e-07,7.358802207590998e-07
1823,1.3341627003171652e-07,6.917880668311227e-07
1824,1.4315891672112002e-07,4.833718634245088e-07
1825,1.6994505536160887e-07,6.639304075406471e-07
1826,1.6382851164564727e-07,5.918965584328362e-07
1827,2.4057082281814246e-07,6.184790350971525e-07
1828,2.54989984682652e-07,7.915695974247683e-07
1829,2.794855333831947e-07,6.524186773049223e-07
1830,3.0266824779801027e-07,9.914993910342673e-07
1831,2.9623291197822255e-07,8.154200941135059e-07
1832,2.2595048321250033e-07,5.77729672102123e-07
1833,2.536814633913309e-07,6.857507912627625e-07
1834,2.8096939175270563e-07,7.32760661037446e-07
1835,2.140353956292529e-07,8.871502004126341e-07
1836,2.029666443803535e-07,5.894097867553683e-07
1837,3.0753878732525664e-07,7.215332971099997e-07
1838,2.3291877049302911e-07,8.048006634453486e-07
1839,3.076249157629718e-07,6.767748175207089e-07
1840,3.293129093862035e-07,8.739212660202611e-07
1841,2.8186209277691887e-07,7.839489910566044e-07
1842,2.5826820504448733e-07,6.661307239141934e-07
1843,2.6462962310347393e-07,5.930538691245602e-07
1844,2.2283558109847945e-07,7.28880941380794e-07
1845,3.130507995052767e-07,6.735335205121373e-07
1846,2.775033660640247e-07,7.037110378860234e-07
1847,2.7613305775275876e-07,5.846254325092559e-07
1848,3.025003394441228e-07,8.664703585736788e-07
1849,2.8322422451765306e-07,7.348746748903068e-07
1850,2.423671645601644e-07,6.863674997248381e-07
1851,3.0376857651503997e-07,6.920247628272591e-07
1852,2.2005643884881465e-07,5.338647213193326e-07
1853,2.502239411228402e-07,6.091370252647721e-07
1854,2.7900718890805365e-07,5.232033970514749e-07
1855,2.557943723502376e-07,7.010463960455127e-07
1856,2.785327719578845e-07,6.000362091640454e-07
1857,3.39264886406454e-07,6.472881040053835e-07
1858,3.220038742313136e-07,5.710919879220455e-07
1859,3.3455579995234075e-07,5.840722536731846e-07
1860,2.6089948690355413e-07,5.675707797081486e-07
1861,2.8201463209143185e-07,6.30524340294869e-07
1862,3.6189068808312186e-07,6.130907195256441e-07
1863,2.7070845476373506e-07,6.962501544194311e-07
1864,2.86245253278139e-07,5.13515367117634e-07
1865,3.214774615400984e-07,5.408164227560519e-07
1866,2.549581097355258e-07,5.950644705876584e-07
1867,3.4454960484708863e-07,6.066014606176395e-07
1868,2.914525758512809e-07,6.28845945982448e-07
1869,2.8910434224371784e-07,5.743018220982776e-07
1870,3.1537267375369993e-07,5.240920444293806e-07
1871,3.112004876015817e-07,7.402960733315922e-07
1872,2.836202170897195e-07,5.581693898193407e-07
1873,2.8014500585982205e-07,4.453587330033315e-07
1874,2.670650225411464e-07,6.291263403568337e-07
1875,3.3699794954600293e-07,6.545427098103573e-07
1876,2.7146605674488455e-07,4.981916248425478e-07
1877,2.9006786661511796e-07,4.83034142462202e-07
1878,2.530378218068563e-07,5.876033455365359e-07
1879,3.2012864537023233e-07,4.899678884839886e-07
1880,2.7596738760848893e-07,4.813384748558747e-07
1881,2.963315779425102e-07,5.306078278977111e-07
1882,2.841849457979606e-07,4.964917401650837e-07
1883,2.426626153351208e-07,5.750598290887865e-07
1884,2.40961931297079e-07,5.677459142816588e-07
1885,2.932764218144257e-07,5.813963142031753e-07
1886,2.9685934066492337e-07,6.621253660910043e-07
1887,2.5658673763473416e-07,5.053387752695926e-07
1888,2.441136608410943e-07,4.5715830765402643e-07
1889,2.4496684858377193e-07,5.225124013463756e-07
1890,2.7790598977617265e-07,4.0833828762742996e-07
1891,3.0277545448598175e-07,4.532070505547381e-07
1892,2.225321935611646e-07,4.281393799487887e-07
1893,2.740495332886894e-07,4.236990562844767e-07
1894,2.96172338209999e-07,4.5308066276561476e-07
1895,2.6782834083860507e-07,4.369514101654204e-07
1896,2.889544106210451e-07,4.0925382194245685e-07
1897,2.831782808243588e-07,3.997125546106872e-07
1898,2.6085016102683767e-07,4.345616488876658e-07
1899,2.9019787461948e-07,4.444172923001588e-07
1900,2.72011181579046e-07,4.183988835393393e-07
1901,2.978797759567442e-07,3.7444550571308355e-07
1902,2.3716670938256357e-07,3.4666604520339206e-07
1903,2.975521340431442e-07,3.310335081607718e-07
1904,2.4185813174426585e-07,3.4720079611361143e-07
1905,2.7042377936936646e-07,3.4267439730228944e-07
1906,2.4743527049508884e-07,4.2748173711970594e-07
1907,2.699992798227413e-07,3.9085609415678846e-07
1908,2.902630953371954e-07,3.634428011878299e-07
1909,2.8275056251914066e-07,2.998036165990925e-07
1910,2.5010625392951624e-07,4.3287620599130605e-07
1911,2.356925783431052e-07,4.011562211303499e-07
1912,2.729736756634793e-07,3.8862282636387135e-07
1913,2.1901347224684287e-07,3.8393645240830665e-07
1914,2.5715495155509416e-07,3.8841113081389267e-07
1915,2.638890670425553e-07,5.006823826647633e-07
1916,2.626003414718525e-07,4.1642481107828644e-07
1917,2.884169703065709e-07,5.450312983157346e-07
1918,2.929026052811423e-07,4.2269863342880853e-07
1919,2.8728486967111166e-07,4.852536150679043e-07
1920,2.779009022901846e-07,3.975421805080259e-07
1921,2.726189016755143e-07,3.3092906193132876e-07
1922,2.751970029635231e-07,4.116887915017742e-07
1923,3.0998567979168e-07,3.5563426337148485e-07
1924,2.2302509705696139e-07,3.687004550556594e-07
1925,2.5515772961171024e-07,3.4094351519797783e-07
1926,2.94258050814733e-07,3.700518078630921e-07
1927,3.166379727304047e-07,3.9914225880011145e-07
1928,2.5822853189083617e-07,3.496368599087418e-07
1929,2.2615025585537296e-07,4.021686805799618e-07
1930,2.499857671978134e-07,3.9073404423106695e-07
1931,1.916099847676378e-07,3.6839301031932337e-07
1932,2.81660099687997e-07,4.0221499375547864e-07
1933,2.053248557842835e-07,3.7394358898268365e-07
1934,2.3603712406838895e-07,3.822124128305404e-07
1935,3.147658702573608e-07,3.2912781122718116e-07
1936,2.0733261507643874e-07,3.176675136273843e-07
1937,2.1278989947859372e-07,4.0543399748571574e-07
1938,2.242982048983322e-07,3.4228167322680747e-07
1939,2.0646968224014017e-07,3.5941020115615174e-07
1940,1.901837194395739e-07,2.764003319555286e-07
1941,2.1841119490773053e-07,2.89247267915016e-07
1942,2.39702728777047e-07,3.610712120405424e-07
1943,2.0903294029039898e-07,4.993564530764161e-07
1944,2.6026807375956196e-07,4.1128783578869843e-07
1945,2.483494654370588e-07,3.7470267955086456e-07
1946,2.5893253763342727e-07,3.174011879991667e-07
1947,2.2411237310393517e-07,3.778915953489559e-07
1948,2.3265840809472138e-07,3.4137727311644994e-07
1949,2.0713886783596536e-07,2.9156515424233476e-07
1950,2.0313540005645336e-07,3.3075975380825184e-07
1951,2.526752211906569e-07,3.656860911860349e-07
1952,2.0456919358480263e-07,3.05799311206556e-07
1953,2.650361565770254e-07,3.221374527129228e-07
