year,on_PRON ira_VERB,on_PRON tira_VERB
1800,2.4524483421828336e-07,8.520685952362328e-07
1801,4.4766233031623415e-07,6.667311254204833e-07
1802,3.2672465977157117e-07,7.653413263142284e-07
1803,2.632957887271914e-07,6.494629616327074e-07
1804,4.276302263406251e-07,4.5729242259540115e-07
1805,3.781027473337417e-07,9.552069144547204e-07
1806,6.858372643137045e-07,9.797674920264399e-07
1807,2.6191987245738346e-07,8.512395766047121e-07
1808,2.2207524530415412e-07,9.517510761725134e-07
1809,2.891558992246246e-07,9.646060163959191e-07
1810,3.697400323687816e-07,8.728672895585987e-07
1811,4.061464267124393e-07,1.1657907066364714e-06
1812,1.8137015800334666e-07,7.841591980195517e-07
1813,2.070533930975671e-07,9.978823811707116e-07
1814,2.8949429520253034e-07,1.1359504412666865e-06
1815,1.8071397889229956e-07,8.685060066682126e-07
1816,3.151941356804855e-07,5.423192988018855e-07
1817,3.6119462976103023e-07,7.706523206252314e-07
1818,2.884924796831001e-07,8.177927668384655e-07
1819,2.5360073152569385e-07,9.595423478003795e-07
1820,2.586892833278398e-07,9.386386352616682e-07
1821,2.0117435539646067e-07,8.19489670789153e-07
1822,2.686865059331467e-07,9.905308502311527e-07
1823,1.4626377087267883e-07,1.089072128479529e-06
1824,2.5852815710436516e-07,1.013901965052355e-06
1825,2.0692791125043186e-07,1.220434398874204e-06
1826,2.431003629510542e-07,9.776862555099797e-07
1827,2.6361400529140155e-07,8.793278425400786e-07
1828,2.5865889341503134e-07,9.429125782389747e-07
1829,2.323330718922989e-07,9.910591813877545e-07
1830,2.901440403491051e-07,1.0092420552609838e-06
1831,2.7284611547884197e-07,8.356886240790118e-07
1832,2.7601137375654616e-07,8.483290514504915e-07
1833,3.1854979098966396e-07,9.440657322556945e-07
1834,2.7163484617176437e-07,7.700988078340743e-07
1835,3.600029714334596e-07,8.478221218410908e-07
1836,3.461186182107667e-07,8.488307230436476e-07
1837,2.497882825025499e-07,7.778921826684382e-07
1838,3.0235255366051206e-07,1.2201408878809161e-06
1839,2.684726503332513e-07,1.001179271042929e-06
1840,3.0001234918586306e-07,7.420687495596212e-07
1841,3.0947044749041197e-07,6.28571683591872e-07
1842,2.8644292271451377e-07,6.889388117770068e-07
1843,2.56950627885999e-07,5.570217069816863e-07
1844,3.1888541229818657e-07,6.630181843547689e-07
1845,2.840336037479574e-07,6.774396723585596e-07
1846,3.0033591968958717e-07,6.04769979872799e-07
1847,3.1820018797645844e-07,6.6066992587821e-07
1848,3.4353097078110295e-07,7.136111861427707e-07
1849,2.7400686164469334e-07,4.901957595393469e-07
1850,3.048259102911288e-07,6.6667939790932e-07
1851,2.5539777936955943e-07,6.068922004942578e-07
1852,3.365951997125194e-07,4.961035671158243e-07
1853,3.1591519444873484e-07,5.428486105074626e-07
1854,3.1070074513195323e-07,5.897079233818658e-07
1855,2.5791714719503034e-07,6.299334245341015e-07
1856,3.2046800413354504e-07,5.420517226184529e-07
1857,2.894734869585136e-07,6.267857628472484e-07
1858,3.361955265290817e-07,5.989859488408911e-07
1859,3.51869175574393e-07,5.586114184552571e-07
1860,3.908915005013114e-07,5.51092938394504e-07
