year,en_ADP elles_PRON,en_ADP telles_ADJ
1800,4.747688514328274e-06,1.2576657315577222e-07
1801,4.448049160998835e-06,4.6671179632085114e-07
1802,3.6073982698781037e-06,8.391900507831451e-07
1803,4.286845401324513e-06,1.482257789842123e-07
1804,4.355401558964189e-06,2.916784040962739e-07
1805,3.7412271467474056e-06,2.9850215277349434e-07
1806,2.81250900791008e-06,3.4003695414952517e-07
1807,3.917410140275024e-06,1.366538526781369e-07
1808,3.018410461130827e-06,1.0877154954513912e-07
1809,3.221377539830428e-06,1.671682587911505e-07
1810,3.7465428874838835e-06,1.0296557917399696e-07
1811,2.2112417901176684e-06,2.6575014544505393e-07
1812,2.9632682334579385e-06,1.9470620582495712e-07
1813,3.332984650938897e-06,6.614205716459765e-08
1814,2.835156010405626e-06,1.7936059748535627e-07
1815,3.7194712410038022e-06,1.9150287755564932e-07
1816,5.13581025352039e-06,1.5991466639775354e-07
1817,4.244036704292853e-06,2.241897760768552e-07
1818,4.587269099687319e-06,3.31408731568672e-07
1819,3.8754329034773605e-06,3.6953249527016396e-07
1820,4.397717869863982e-06,1.255473755179537e-06
1821,4.721680387120841e-06,6.370521532517159e-07
1822,3.9490902565830766e-06,1.1359022806800567e-06
1823,3.85227154353629e-06,1.828297079953245e-06
1824,3.847606230067413e-06,8.842168242040316e-07
1825,3.387453835657084e-06,9.897317880813716e-07
1826,3.453610695203224e-06,7.891953721639311e-07
1827,3.0002223403435835e-06,7.456774113734355e-07
1828,3.953262023514981e-06,3.852366550205488e-07
1829,3.541578946553159e-06,3.600733990971605e-07
1830,4.1747342827136436e-06,2.6196457270089013e-07
1831,3.590654691798534e-06,3.866619056047682e-07
1832,3.7045056053841563e-06,1.5830064648003628e-07
1833,3.936117174418996e-06,3.011743379133236e-07
1834,3.697407598757252e-06,2.538992411871277e-07
1835,3.969108604451321e-06,4.2353293849828333e-07
1836,4.292543087203171e-06,1.2016700949857295e-06
1837,4.103068285132849e-06,1.1619677806606887e-06
1838,3.803708876759515e-06,1.2845249202086961e-06
1839,4.1179787526601785e-06,5.76796674423008e-07
1840,4.456871280922314e-06,4.0511219623340367e-07
1841,4.63948819984239e-06,4.886037712203972e-07
1842,5.2720253158611285e-06,3.870669083028133e-07
1843,5.304996907540271e-06,3.195638751396501e-07
1844,4.93641219279084e-06,3.3809536326145917e-07
1845,5.2230935558839064e-06,2.544583974639636e-07
1846,4.5530457892795084e-06,2.2891100215360893e-07
