year,son_DET an_NOUN,son_DET temps_NOUN
1800,1.1947824818392405e-07,1.1554804586921819e-05
1801,1.5715804924099075e-07,1.1720180737029295e-05
1802,1.1860552717735118e-07,1.6466026863781735e-05
1803,1.4042442475492578e-07,1.4028790246811695e-05
1804,9.887403673580764e-08,1.6240061086136848e-05
1805,1.7910129024301114e-07,1.770828566804994e-05
1806,1.0950343032334331e-07,1.8655926396604627e-05
1807,2.021338083579849e-07,1.281129789276747e-05
1808,1.4049658636494655e-07,2.1584355636150576e-05
1809,9.713831272684104e-08,1.5691226508351974e-05
1810,9.828532210320873e-08,1.9830235032713972e-05
1811,1.3036799018095735e-07,2.8234699129825458e-05
1812,1.0668832839400011e-07,2.157771450583823e-05
1813,8.914798788062228e-08,2.686230254766997e-05
1814,1.2272040805783035e-07,1.901536961668171e-05
1815,1.7262230644909948e-07,2.5051813281606883e-05
1816,1.3442102897442965e-07,2.2640671886620112e-05
1817,1.1053801518556838e-07,2.1998621377861127e-05
1818,1.7762553694566918e-07,2.2631164029007778e-05
1819,1.7079232339511918e-07,2.375151962041855e-05
1820,1.0798497562802822e-07,2.1567329895333387e-05
1821,1.400331290923873e-07,2.4865743398549967e-05
1822,1.1128433641260926e-07,2.3978265744517557e-05
1823,1.462637607696493e-07,2.5457800802541897e-05
1824,1.3221146666353434e-07,2.2662055926048197e-05
1825,1.5673689013340208e-07,2.3008622520137578e-05
1826,1.1538459276927426e-07,2.0852021407335997e-05
1827,1.4747636600809244e-07,1.947702003235463e-05
1828,1.2199160820403065e-07,2.0371680875541642e-05
1829,8.74463982336593e-08,2.3036980564938858e-05
1830,6.053364831615227e-08,1.9178729417035356e-05
1831,7.639690879912564e-08,1.916159271786455e-05
1832,7.71208219507713e-08,2.105669045704417e-05
1833,1.1583628245492861e-07,1.8399436157778837e-05
1834,1.0641365477681575e-07,2.0833738744840957e-05
1835,1.550433026409337e-07,2.1712869056500494e-05
1836,8.468145001883087e-08,2.387008862569928e-05
1837,9.393152344827627e-08,2.280935768794734e-05
1838,1.1677499323070606e-07,2.5785180696402676e-05
1839,1.1326189996996305e-07,2.18259865505388e-05
1840,9.427138925044432e-08,2.558767664595507e-05
1841,6.741575964142044e-08,2.434094130876474e-05
1842,7.714504635103481e-08,2.2848351363791153e-05
1843,7.560846043697111e-08,2.488404425093904e-05
1844,8.232841669508772e-08,2.2976215404924005e-05
1845,7.812318997268974e-08,2.06116874323925e-05
1846,6.557041376531458e-08,2.365101499890443e-05
1847,7.065122886729114e-08,2.248650707770139e-05
1848,6.75798647598036e-08,2.3424467144650407e-05
1849,6.703532084983976e-08,2.0806925022043288e-05
1850,6.992665557703504e-08,2.0969171600881964e-05
1851,6.384944617465749e-08,2.3349548428086564e-05
1852,6.64075603395986e-08,2.360984217375517e-05
1853,1.361600512339578e-07,2.4701104848645627e-05
1854,8.78067258902604e-08,2.6768582756631076e-05
1855,8.384960636931282e-08,2.7262267394689843e-05
1856,6.885661679723043e-08,2.5150267902063206e-05
1857,6.882927949813933e-08,2.71192238869844e-05
1858,7.780944633051234e-08,2.7027283067582175e-05
1859,7.027199155906771e-08,2.772230072878301e-05
1860,6.316513795345813e-08,2.4718166969250888e-05
1861,5.4233584068086316e-08,2.65560629486572e-05
1862,4.9246050931595065e-08,2.576336555648595e-05
1863,6.842630428938179e-08,2.5777737391763367e-05
1864,6.376988459511068e-08,2.6244422770105302e-05
1865,5.64821325821363e-08,2.5818453650572337e-05
1866,5.936047775545461e-08,2.5345463654957712e-05
1867,8.589476685472164e-08,2.6221196094411425e-05
1868,1.0027944497004171e-07,2.5116789402090944e-05
1869,5.71371735480497e-08,2.3884804249973968e-05
1870,7.511604183108034e-08,2.6405294192954898e-05
1871,7.22240054429335e-08,1.8799484678311273e-05
1872,6.228759585891197e-08,2.293574289069511e-05
1873,5.028243821314504e-08,2.2196105419425294e-05
1874,6.03435516555173e-08,2.151396984118037e-05
1875,6.122034090783046e-08,2.3421071091433987e-05
1876,6.227395332736307e-08,2.4257216864498332e-05
1877,6.061119739442233e-08,2.267848321935162e-05
1878,6.52221585073498e-08,2.3806691388017498e-05
1879,5.254019630474005e-08,2.2677815650240518e-05
1880,6.096953786283166e-08,2.384999970672652e-05
1881,6.414706832380546e-08,2.218373083451297e-05
1882,6.988154366283084e-08,2.2802014427725226e-05
1883,6.192952090033899e-08,2.1532516257138923e-05
1884,5.0172896060018957e-08,2.1900468709645793e-05
1885,6.832373844467554e-08,2.0042059986735694e-05
1886,4.0656823463436353e-08,2.0769182810909115e-05
1887,5.8760320276185496e-08,2.0374814994283952e-05
1888,7.355113318396889e-08,2.0826382751693018e-05
1889,3.696430755928404e-08,2.049451541097369e-05
