year,mon_DET or_NOUN,mon_DET tort_NOUN
1800,1.1633408414368773e-07,7.23157800308627e-08
1801,1.0715321963061797e-07,1.619204113012529e-07
1802,1.0070280609397742e-07,1.6336232988578558e-07
1803,9.361628405812894e-08,1.2092102874561306e-07
1804,1.3842365897964726e-07,2.348258341111631e-07
1805,1.0518647619583987e-07,9.097208630848286e-08
1806,1.210301006082659e-07,1.642551330505171e-07
1807,1.1387820464392462e-07,8.256169792275614e-08
1808,4.305540501903238e-08,7.024829073998262e-08
1809,1.0165637687187257e-07,1.355418248749629e-07
1810,6.318342293809565e-08,1.0764582869526862e-07
1811,9.777599174753959e-08,4.763445815569867e-08
1812,8.001624962616916e-08,6.401299756930712e-08
1813,3.7384642270765767e-08,6.614205472210699e-08
1814,7.866693074731756e-08,6.293354459785405e-08
1815,1.4295284955778698e-07,4.3155577778009047e-08
1816,5.0987283728431976e-08,4.1716868182106737e-08
1817,7.161617898709949e-08,2.164053976017044e-07
1818,8.225612324608278e-08,1.3470930548820093e-07
1819,9.212434293193184e-08,1.0040518816367694e-07
1820,2.088500679064964e-07,1.2341140198657286e-07
1821,1.8145138369618508e-07,1.3707468582424553e-07
1822,8.120748873352568e-08,1.45371430448904e-07
1823,1.413224272051039e-07,1.26498395425223e-07
1824,1.381062544325573e-07,1.4652736357589902e-07
1825,6.427973353595462e-08,1.5761742977460358e-07
1826,7.134467594482885e-08,1.4092774847096479e-07
1827,5.806882030778837e-08,1.0231173064312316e-07
1828,1.1190207510614059e-07,8.988854932612256e-08
1829,9.77342076158294e-08,9.85915242779356e-08
1830,1.0436835840010872e-07,1.346351847786309e-07
1831,8.263339257297275e-08,1.216114071667107e-07
1832,1.637126312292736e-07,1.8265458212596286e-07
1833,2.2356402618051163e-07,1.1931137677834158e-07
1834,1.3255034403414356e-07,1.913578877577038e-07
1835,1.0890846624533879e-07,1.194967893525245e-07
1836,1.2298972573709932e-07,5.847052442220502e-08
1837,1.6072728514782142e-07,1.3637466345084448e-07
1838,9.278878199125984e-08,8.205810630990129e-08
