year,en_ADP axe_NOUN,en_ADP taxe_NOUN
1800,8.174827570428533e-08,3.7729972746092244e-07
1801,2.3811825844433088e-09,5.000483582762172e-08
1802,6.713520406265161e-09,4.699464284385613e-08
1803,1.755305234496518e-08,2.0088494068204454e-07
1804,7.4155526164076946e-09,2.9662210465630778e-08
1805,3.1271653710973624e-08,1.5635826855486812e-07
1806,5.4751712497136396e-08,1.412017923030362e-06
1807,2.562259560079383e-08,2.6761379103845684e-06
1808,9.064295980465431e-09,7.047490271361312e-07
1809,9.036122072814123e-09,3.727400326170027e-07
1810,0.0,6.388546012203733e-07
1811,2.2563691359778204e-08,7.972504363351618e-07
1812,1.0668832928217853e-08,6.507988246085006e-07
1813,2.300593315851529e-08,4.3136125782439194e-07
1814,3.1466771410748606e-09,7.552024783308298e-08
1815,5.933891955578474e-08,7.821948599939788e-08
1816,6.489290882427667e-08,4.7279118575715984e-07
1817,7.784366928831332e-09,1.1676550570882682e-07
1818,9.536941902865692e-09,1.81201897930805e-07
1819,8.280840013696888e-09,3.333038023356494e-07
1820,1.898636980968149e-08,7.119888323359191e-08
1821,2.5639868894700157e-08,1.7060374091215635e-07
1822,7.318699601910339e-08,1.6442010064565693e-07
1823,6.917880934764753e-09,1.1760397455873317e-07
1824,2.863178316658832e-08,1.6168536376426346e-07
1825,9.421824387345623e-08,2.597605828214e-07
1826,2.290075862276808e-08,4.906047479380504e-07
1827,8.295545583791863e-09,4.350552842424804e-07
1828,2.5682442839070063e-08,2.9809979196215863e-07
1829,2.1432940755516938e-08,6.644211225648178e-07
1830,2.6092090266160994e-08,8.881747248778993e-07
1831,6.860130952190957e-08,3.3832915846687683e-07
1832,7.170883975504694e-08,9.389798947267991e-07
1833,6.486831694019202e-08,5.664394393534167e-07
1834,6.347480763224667e-08,2.791024655834917e-07
1835,5.899208588289184e-08,2.0193445493532636e-07
1836,6.787957573806125e-08,3.165473287936038e-07
1837,5.6358917532861597e-08,3.2771666269582056e-07
1838,9.152634561360173e-08,3.0172134302119957e-07
1839,1.0067724076634477e-07,2.412058961454022e-07
1840,1.6306402983445878e-07,3.477850043509534e-07
1841,9.951850188372191e-08,4.5971128770361247e-07
1842,8.854910049649334e-08,4.004834295301407e-07
1843,1.1636614516419286e-07,3.29014937960892e-07
1844,8.726812694703767e-08,3.144945708299929e-07
1845,1.1941688171646092e-07,2.672929326763551e-07
1846,1.042101231973902e-07,4.613347073245677e-07
1847,1.5424619448367594e-07,4.3091856127830397e-07
1848,7.240699773092274e-08,3.708847202688048e-07
1849,1.2820504480259842e-07,4.198086855922156e-07
1850,1.4800011172155791e-07,2.2471576244242897e-07
1851,8.706741994046752e-08,3.0763823133383994e-07
1852,1.2890879474980466e-07,1.085307872017438e-06
1853,1.9349059243722877e-07,2.4365482431676355e-07
1854,2.0782657372819813e-07,4.608554320384428e-07
1855,1.3851105507001193e-07,2.9612709795401315e-07
1856,1.4133726722320716e-07,1.982863437888227e-07
1857,1.6450685791369324e-07,2.4017023747546773e-07
1858,1.7568297039360914e-07,2.353858121750818e-07
1859,4.267241138222744e-07,1.8077214747336257e-07
1860,1.7896789472615637e-07,1.263302777942954e-07
1861,1.565699960792699e-07,2.584348237633094e-07
1862,3.162590473948512e-07,1.531597320081346e-07
1863,2.23759016648728e-07,1.3635315099236323e-07
1864,3.4905619372693764e-07,3.715914260737918e-07
1865,3.280670455296786e-07,2.612298715121142e-07
1866,2.914502204021119e-07,2.1603321442853485e-07
1867,3.6396085079104523e-07,2.5525787350488827e-07
1868,4.4113076569374243e-07,1.783294578672212e-07
1869,2.495478383934824e-07,1.3136666154878185e-07
1870,5.395739890445839e-07,1.1754799800200999e-07
1871,3.515609705573297e-07,1.2214353262152144e-07
1872,3.217184598724998e-07,2.0560953828407946e-07
1873,5.261697992864356e-07,3.0588483923565946e-07
1874,5.693802336281806e-07,2.5571327455509163e-07
1875,5.595653647105792e-07,4.5314496333048737e-07
1876,5.096790687275643e-07,1.8258964473716333e-07
1877,4.224229428473336e-07,1.2122239922973677e-07
1878,5.157381792741944e-07,1.1595049898005527e-07
1879,4.2520903775766783e-07,1.2218650624618022e-07
1880,4.794131314156402e-07,2.400274468072894e-07
1881,5.208462994232832e-07,1.9383571725484217e-07
1882,3.227861782306718e-07,2.0565140346207045e-07
1883,4.303469722799491e-07,1.4028933037479874e-07
1884,3.6507384493233985e-07,1.5183903201432258e-07
1885,5.987995450595918e-07,2.075494762721064e-07
1886,3.2525457527299295e-07,1.9747599822039774e-07
1887,5.229668431638856e-07,2.0370244158129935e-07
1888,4.184805675322423e-07,2.2635994412212312e-07
1889,5.557176336878911e-07,1.8294198866897204e-07
1890,5.027214342590014e-07,2.7004071512237715e-07
1891,5.539197331927426e-07,1.4596963637814042e-07
1892,5.38465201316285e-07,2.4948678856162587e-07
1893,5.801228439850092e-07,1.5149704779560125e-07
1894,6.786758035559615e-07,2.3819818295578443e-07
1895,4.4537748067341454e-07,2.293092080662973e-07
1896,4.239963971031102e-07,2.2231799334804236e-07
1897,6.170489541545976e-07,2.4064325998551794e-07
1898,9.449452704757277e-07,2.2124167742276768e-07
1899,5.721043407902471e-07,3.487901949483785e-07
1900,5.96971119648515e-07,1.629990720175556e-07
1901,6.237032721401192e-07,1.7604527613457321e-07
1902,7.640401804565045e-07,1.993575295955452e-07
1903,7.841119895601878e-07,2.1600881439098885e-07
1904,5.44987017292442e-07,1.1770428898216778e-07
1905,6.285804374783766e-07,1.1714922720784671e-07
1906,7.659690481887083e-07,1.723301750189421e-07
1907,7.297694537555799e-07,1.8925663880509092e-07
1908,6.203084126354952e-07,1.6256697676908516e-07
