year,en_ADP humeurs_NOUN,en_ADP tumeur_NOUN
1800,5.973912209356058e-08,0.0
1801,6.905429472681135e-08,4.7623651688866175e-09
1802,4.699464284385613e-08,2.6854081625060644e-08
1803,7.801356893821776e-09,7.021220937986072e-08
1804,2.7190360185613827e-08,7.4155526164076946e-09
1805,1.421438877713399e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,1.152667650217154e-08
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,9.064295980465431e-09,1.8128591960930862e-08
1809,1.581321384946932e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,3.008491944456182e-08,7.521229861140455e-09
1812,2.6672082320544632e-09,8.535066342574282e-08
1813,2.8757416004054903e-08,1.7254450312975678e-08
1814,9.440030979135372e-09,6.293354282149721e-09
1815,5.394447111228828e-09,8.091670444798638e-09
1816,2.5493642752394408e-08,3.0128852301913867e-08
1817,3.113746815941454e-09,4.670620334934483e-09
1818,2.5034472272977837e-08,1.1921176934492905e-08
1819,1.8631890696951814e-08,9.315945348475907e-09
1820,9.730514705097448e-08,3.5599443393152796e-09
1821,2.859831660373402e-08,2.9584463767662328e-09
1822,1.2030739071633434e-08,9.023054303725075e-09
1823,2.174191138237802e-08,3.9530747564242574e-09
1824,4.210556348027694e-09,5.052667617633233e-09
1825,9.68598712347557e-09,1.0566531649658373e-08
1826,4.403992281964975e-09,2.906634755106552e-08
1827,1.8434546333878643e-08,1.935627302884768e-08
1828,2.384798314380987e-08,1.7427371545863934e-08
1829,1.2002446148073886e-08,3.429270423183084e-09
1830,7.305785310052215e-09,1.0436835395921662e-08
1831,1.2472964883158966e-08,6.236482441579483e-09
1832,2.705993829010822e-08,8.117981842303834e-09
1833,1.2741991461950875e-08,2.20088942626262e-08
1834,1.8669062740173104e-08,2.0535967593104942e-08
1835,3.025235173481633e-08,1.2100940693926532e-08
1836,2.8227150394855016e-08,1.4113575197427508e-08
1837,4.5226290268374214e-08,2.852735292435682e-08
1838,8.837027110075724e-09,1.9567702125300457e-08
1839,1.677954131196202e-08,2.516931019158619e-08
1840,7.0066574764382494e-09,3.630722389402763e-08
1841,2.8250413564023802e-08,2.760835826620678e-08
1842,4.024959032733477e-09,1.2745703159566801e-08
1843,7.678984559333912e-09,8.269675610961258e-09
1844,5.488561161115513e-09,1.756339607084101e-08
1845,5.580227835366713e-09,1.2276501593078137e-08
1846,2.517435504501009e-08,2.9272506196775794e-08
1847,3.235934187273415e-09,1.4022381478184798e-08
1848,4.34441957963827e-08,1.609044275596716e-08
1849,8.379414939696517e-10,1.9272654583346593e-08
1850,3.394498016007219e-09,4.8880771430503955e-08
1851,6.449438760824933e-09,2.1283147688677673e-08
1852,1.1718981340891332e-08,2.4740073101270355e-08
1853,2.8068079416243563e-08,4.060913738612726e-08
1854,1.0391328686409906e-08,1.8184826089395756e-08
1855,8.491099379170919e-09,2.7596072982305486e-08
1856,3.1063134287023786e-09,1.4496129630003907e-08
1857,1.610898081594314e-08,8.78671624349181e-09
1858,1.2234189661342043e-08,1.1744822003834088e-08
1859,9.675129142294736e-09,4.582956236731661e-09
1860,4.57718396518203e-09,1.5104706818647173e-08
1861,2.357981898626349e-08,1.1789909493131745e-08
1862,5.421583626485926e-09,1.445755604123633e-08
1863,7.491931519609807e-09,2.4973103585068657e-09
1864,2.3973640850272204e-09,1.5343129433631475e-08
1865,8.001635798393636e-09,3.294790928975999e-08
1866,4.865612801552288e-09,2.1408697037372804e-08
1867,1.844068364675877e-08,4.85281148598915e-09
1868,1.0867722721741302e-08,1.778354707937524e-08
1869,4.883519366671862e-09,3.271957993433716e-08
1870,1.9495765002375265e-08,1.834895613228582e-08
