year,son_DET est_NOUN,son_DET test_NOUN
1800,1.496622335395159e-06,1.8864987794131594e-08
1801,5.214790022023408e-07,5.9529563500859695e-08
1802,6.131682255272608e-07,4.0281122437590966e-08
1803,1.0492825288643814e-06,1.1311967540450496e-07
1804,4.64707972325229e-07,7.415552794043379e-08
1805,6.652333999213056e-07,3.4114531644036106e-08
1806,1.161312692232741e-06,8.068673729155762e-08
1807,4.0426763758816264e-07,8.540865259476504e-08
1808,8.089883940520792e-07,1.3596443970698147e-08
1809,1.5180684806992417e-06,4.969867006821005e-08
1810,7.722418047251267e-07,1.7550951270095538e-07
1811,5.315002749028963e-07,1.1532553401139012e-07
1812,8.081640938684131e-07,1.4936366632412046e-07
1813,4.3711272224022935e-07,2.0130190847567064e-08
1814,4.877349430998379e-07,6.293354104514037e-08
1815,4.774085833325614e-07,2.0768621489253292e-07
1816,1.075368233571794e-06,2.155371561229913e-07
1817,7.535267423364189e-07,5.464625587592309e-07
1818,4.2677814748870446e-07,1.263644797688812e-07
1819,6.873097302406705e-07,2.4635500039948965e-07
1820,5.553513124922915e-07,8.425201603046162e-08
1821,5.976061820955891e-07,1.972297603014539e-08
1822,4.691988237937039e-07,2.2357123441452131e-07
1823,4.684393581921853e-07,6.720227152534619e-08
1824,7.461105653305822e-07,1.70106474683962e-07
1825,5.846814126186928e-07,1.1887348350114735e-07
1826,5.161478813242582e-07,2.2724599801904333e-07
1827,5.493494643626917e-07,1.3272873422565112e-07
1828,5.796894648746331e-07,3.852366359247128e-08
1829,5.238210756819406e-07,1.3888545069562497e-07
1830,6.032491006724428e-07,4.967933904254096e-07
1831,7.702055933034302e-07,2.1359952739885557e-07
1832,7.184413610694662e-07,1.1771073005206745e-07
1833,5.212632734341582e-07,7.413522595811628e-08
1834,5.031312391157172e-07,1.3441725243978908e-07
1835,5.059705543430937e-07,1.64875316954749e-07
1836,6.048674983105684e-07,1.2030142571006763e-07
1837,7.020511907374072e-07,1.6420623083490682e-07
1838,5.542078085341018e-07,1.4770459566548766e-07
1839,7.557784553746671e-07,1.0696957097877657e-07
1840,5.834634790868876e-07,1.5096162275796132e-07
1841,5.515251286780654e-07,1.585875537557513e-07
1842,5.426986176004789e-07,4.380497191647237e-07
1843,4.855480970622494e-07,2.864851786910094e-07
1844,4.5170859774845695e-07,1.4160488248649017e-07
1845,4.832477367155974e-07,2.745472151843842e-07
1846,6.094536133538497e-07,1.0245377612960738e-07
1847,4.870081209418231e-07,1.3051601310820615e-07
