year,en_ADP elle_PRON,en_ADP telle_DET
1800,1.3463312697581387e-05,7.294461541462738e-07
1801,1.154397313030131e-05,1.1334428908771343e-06
1802,1.176432525085147e-05,1.445644699060722e-06
1803,1.1144238222016156e-05,6.299595938230595e-07
1804,1.3988204941028926e-05,9.763811235075082e-07
1805,1.1576197891827178e-05,1.2650805700786805e-06
1806,1.2474745489043926e-05,9.365424489260477e-07
1807,1.1658281458437614e-05,5.893197299045028e-07
1808,1.089754971062007e-05,5.642524110172076e-07
1809,1.0859159445431033e-05,8.177690276056637e-07
1810,1.2245883151962289e-05,5.639705591420352e-07
1811,8.82741755248162e-06,1.052972206760927e-06
1812,1.0146060191118522e-05,7.014757770207325e-07
1813,1.187681272796226e-05,4.486156843785949e-07
1814,1.0749049025093882e-05,1.0667236018946369e-06
1815,1.197027785337923e-05,7.012781502169219e-07
1816,1.908546720486015e-05,7.787149272076022e-07
1817,1.3519888881319275e-05,7.535267130265311e-07
1818,1.4328063301149996e-05,7.593789703719267e-07
1819,1.3200693700810007e-05,1.8021178505023272e-06
1820,1.674953765018472e-05,2.5738397368968435e-06
1821,1.4755744977890117e-05,2.3519649197112358e-06
1822,1.3200728659512606e-05,2.7189469591348825e-06
1823,1.269332331332862e-05,3.859189291688381e-06
1824,1.3735676759552007e-05,3.6025520273597067e-06
1825,1.2566247619361093e-05,2.7464176497460357e-06
1826,1.129095501539723e-05,3.8173803034169396e-06
1827,1.05224390551939e-05,2.0130524660544324e-06
1828,1.2866903865926815e-05,1.8051088890302935e-06
1829,1.2426818258859385e-05,1.057929895686982e-06
1830,1.3740094040315398e-05,1.2691192523561767e-06
1831,1.2854949275720173e-05,8.310112811216186e-07
1832,1.3926397066654772e-05,6.710864628445279e-07
1833,1.4654448179385327e-05,1.034418044554286e-06
1834,1.3531335980587755e-05,1.161215612555111e-06
1835,1.4260202441107594e-05,2.3483387394662714e-06
1836,1.610695045428656e-05,4.712589827704505e-06
1837,1.4663755244725962e-05,4.347986191532982e-06
1838,1.4949092815186305e-05,4.361703659583327e-06
1839,1.5161013934061884e-05,2.0946460068671513e-06
1840,1.6310862250179525e-05,1.6790499515195734e-06
1841,1.7098563276363166e-05,1.6128418192096206e-06
1842,1.867916373043954e-05,1.8119024147722484e-06
