year,on_PRON aille_VERB,on_PRON taille_VERB
1800,1.8550569791386806e-07,6.508420682393989e-07
1801,1.619204113012529e-07,1.1667794410641363e-06
1802,8.056224487518193e-08,4.923248297927785e-07
1803,7.411288915903924e-08,9.186097997826437e-07
1804,1.3347994887169534e-07,1.0282900007041462e-06
1805,3.980028751016107e-08,6.851335427882077e-07
1806,6.916005901302924e-08,5.705705063974165e-07
1807,1.508886242618246e-07,6.007075228353642e-07
1808,1.2463406706686442e-07,4.917380636015878e-07
1809,6.325285539787728e-08,1.3576773767454142e-06
1810,1.6848912842704067e-07,4.937667625881659e-07
1811,1.178326058948187e-07,6.618682704129242e-07
1812,9.868670503010435e-08,4.56092607237224e-07
1813,7.764502640839055e-08,5.463908934189021e-07
1814,1.730672369859576e-07,4.310947758767725e-07
1815,4.5852800667489646e-08,2.939973562376963e-07
1816,8.575134202715162e-08,1.3836095149599714e-06
1817,1.0898113700363865e-07,6.19635599719004e-07
1818,1.4663047842589094e-07,3.9101463045199125e-07
1819,1.1696686696982539e-07,4.0990158822751255e-07
1820,1.2934463988756306e-07,3.097151690667488e-07
1821,8.776724591541551e-08,5.19700449785887e-07
1822,9.323822780515911e-08,3.829785129028096e-07
1823,9.487379382111527e-08,3.12292890214394e-07
1824,8.75795747035113e-08,3.705289586264371e-07
1825,1.153513036200593e-07,6.093366522463839e-07
1826,9.160303537925074e-08,5.029359044783632e-07
1827,9.770309317147507e-08,5.336800938948727e-07
1828,1.6234973065909486e-07,4.7512521916814876e-07
1829,1.11451291973097e-07,6.275565027635821e-07
1830,1.1689256229630018e-07,4.0912397736292405e-07
1831,1.2161141227373662e-07,4.989185953263586e-07
1832,1.420646782435142e-07,5.614937208520132e-07
1833,1.01935931695607e-07,4.2743590000782206e-07
1834,2.277625532620675e-07,3.388434848261568e-07
1835,1.0815215745196838e-07,4.931133190666515e-07
1836,1.1425275053822403e-07,3.6560881255809363e-07
1837,1.4402833992122055e-07,4.6548291265935404e-07
1838,9.278878110308142e-08,3.6231809730224995e-07
1839,9.927894817352012e-08,4.418612249423859e-07
1840,1.8790581046701504e-07,4.044752373033589e-07
1841,1.2391658676946804e-07,3.678974422882675e-07
1842,1.4758183253249513e-07,2.824179645699587e-07
1843,1.1223130891302446e-07,3.8099575760952575e-07
1844,9.934296230085238e-08,3.7212445391787696e-07
1845,8.649353394618586e-08,3.6941107595112044e-07
1846,1.0245376991235844e-07,4.6426195865478803e-07
1847,1.445383963627478e-07,3.020205241455187e-07
1848,4.98803736093123e-08,3.781254278578672e-07
1849,8.798385664476882e-08,3.410421953731202e-07
1850,1.0455054155755761e-07,6.415601205844723e-07
1851,8.964719699910972e-08,4.843528671472086e-07
1852,8.203286938623933e-08,3.053445851719516e-07
1853,9.19677523025797e-08,4.6342191950543565e-07
1854,9.404152445657843e-08,2.899180771009924e-07
1855,1.0401596384213008e-07,4.155331652100358e-07
1856,1.4858533220474257e-07,2.8163908893930056e-07
1857,1.0446429521415723e-07,3.8124584733623124e-07
1858,1.4338470388786106e-07,3.885578649942545e-07
1859,1.4156242134077957e-07,2.968737007336131e-07
1860,1.3868866621802312e-07,2.8286996922588514e-07
1861,1.8203619611689703e-07,3.9944211494002957e-07
1862,1.314734064949974e-07,3.5059574088336376e-07
1863,9.739510942186058e-08,3.556170113938606e-07
1864,1.1938872856998017e-07,4.161823738968451e-07
1865,1.1955384326967078e-07,4.518570548839307e-07
1866,9.731226180420549e-08,2.607968454526599e-07
1867,7.715970440358433e-08,4.0423920211196673e-07
1868,8.545982410623765e-08,4.1939532025025983e-07
1869,1.1866951865613373e-07,3.496599738639361e-07
1870,1.0607989997524214e-07,3.818876521677339e-07
1871,1.391374269132939e-07,2.9314448823924977e-07
1872,1.0099056690915376e-07,2.6971132882636084e-07
1873,7.961386216948085e-08,3.579630813987933e-07
1874,9.380136556380592e-08,3.041075942178395e-07
1875,1.069925564811669e-07,3.461523760961427e-07
1876,1.1487428452916504e-07,5.356769037234699e-07
1877,1.3606594784221215e-07,4.7251992896235606e-07
