year,en_ADP are_NOUN,en_ADP tare_NOUN
1800,5.65949598296811e-08,0.0
1801,5.9529563944948904e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,4.4857801695386e-08,0.0
1804,2.719036085174764e-08,2.4718509461507665e-09
1805,8.528633133053631e-09,0.0
1806,2.881669125542885e-08,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,5.211970233176544e-08,0.0
1809,1.355418288717658e-08,0.0
1810,5.8503168531842675e-08,7.020380277111826e-09
1811,1.7549536934780008e-08,5.0141535368197765e-09
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,1.150296680130225e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,2.9669458667669346e-08,0.0
1816,1.1819780176836048e-07,2.3176038865813098e-09
1817,2.8023721343473085e-08,1.556873407970727e-09
1818,1.9073883805731384e-08,1.1921177378582115e-09
1819,5.175525008560555e-08,1.035105001712111e-09
1820,1.542642635854463e-08,2.3732962262101864e-09
1821,3.94459531705138e-09,0.0
1822,1.303330066093622e-08,0.0
1823,3.162459771832715e-08,3.95307486744656e-09
1824,1.0105335235266466e-08,1.6842225392110777e-09
1825,1.0566531427613768e-08,5.283266046873791e-09
1826,1.0569580766173203e-08,8.807984341885344e-10
1827,3.2260455640198415e-08,1.8434546111834038e-09
1828,1.1923991571904935e-08,2.7516904310687096e-09
1829,1.0287811491593857e-08,1.714635211591542e-09
1830,1.2524202563923836e-08,1.0436835840010872e-09
1831,1.4032085715598441e-08,4.677361609140007e-09
1832,1.3529969256076413e-08,2.705993873419743e-09
1833,9.266902800675325e-09,4.6334514003376626e-09
1834,1.773560875939495e-08,0.0
1835,1.5882484660778573e-08,1.5126175867408165e-09
1836,7.392825018825988e-09,2.6882999715205358e-09
1837,1.3219993100221927e-08,2.087367279024477e-09
1838,8.2058102535143e-09,6.312161904276081e-10
1839,1.3982950020086093e-08,2.0974426639952526e-09
1840,2.611572358368619e-08,2.5478754661634184e-09
1841,2.3756030032018316e-08,1.2841097074556274e-09
1842,1.341653010911159e-08,2.683306021822318e-09
1843,1.1223130869097986e-08,2.9534555912036353e-09
1844,1.152597856046711e-08,4.939705200435185e-09
1845,1.1718478631905782e-08,2.790114028705659e-09
1846,7.025401593807601e-09,5.854501328173001e-09
1847,9.707802561820245e-09,3.235934187273415e-09
1848,2.735375304041554e-08,3.2180886289090438e-09
1849,1.3407064125559032e-08,1.6758829879393033e-09
1850,3.4623880651452055e-08,1.3577992064028876e-09
1851,1.3543821175687754e-08,2.579775504329973e-09
1852,2.7344290387532055e-08,3.2552727180501506e-09
1853,4.478948767427937e-08,4.777545248302317e-09
1854,1.2989161413123895e-08,1.5586993362681767e-09
1855,2.4942604426314574e-08,1.0613874223963649e-08
1856,1.6049286344355096e-08,5.177189232874468e-10
1857,2.0990488902583593e-08,8.298565445929995e-09
1858,2.6425850618849722e-08,2.446837954472869e-09
1859,1.680417205385254e-08,2.036869339860914e-09
1860,1.5562426014525954e-08,2.7463103458025273e-09
1861,2.075024119196911e-08,4.7159637306393165e-09
1862,2.25899317307654e-08,1.355395878865906e-09
1863,1.498386242859695e-08,4.994620828036034e-09
1864,2.1096803859421698e-08,1.4384183844029508e-09
1865,1.1767110841276462e-08,3.765475542483188e-09
1866,2.578774882522339e-08,2.432806400776144e-09
