year,en_ADP tissus_NOUN
1800,1.6349655140857067e-07
1801,7.381665767525192e-08
1802,5.818384352096473e-08
1803,6.241085515057421e-08
1804,4.449331569844617e-08
1805,8.24434565060983e-08
1806,7.204172813857213e-08
1807,4.270432762965015e-08
1808,1.2010191596800723e-07
1809,5.6475762733043666e-08
1810,9.360507036149102e-09
1811,3.5099073869560016e-08
1812,8.001624962616916e-08
1813,2.8757416004054903e-08
1814,1.5733386149463513e-08
1815,1.6183340889597275e-08
1816,6.489290882427667e-08
1817,4.670620157298799e-08
1818,1.2159601192607283e-07
1819,1.5526575281032962e-07
1820,9.13719011563785e-08
1821,1.0453177878844144e-07
1822,1.1930482912703155e-07
1823,4.941343334508019e-08
1824,9.768490372152883e-08
1825,8.277116592125822e-08
1826,1.523781349987985e-07
1827,1.6959782261904977e-07
1828,1.9720447586024648e-07
1829,2.2290257073454e-07
1830,1.4820307114860043e-07
1831,1.512346921028751e-07
1832,1.1771073360478113e-07
1833,2.258807628718884e-07
1834,2.623003103607857e-07
1835,2.4201881387853064e-07
1836,1.653304585458315e-07
1837,3.0893035096735133e-07
1838,2.019891858218159e-07
1839,2.663752143305942e-07
1840,1.6179008788252958e-07
1841,1.8234357757052067e-07
1842,3.4614647193009773e-07
1843,2.0969534292314407e-07
1844,2.3271500193544625e-07
1845,2.3102144031117433e-07
1846,3.805425838887544e-07
1847,2.0278520640459874e-07
1848,3.893887198791468e-07
1849,2.1535096239588825e-07
1850,2.6069744496481917e-07
1851,3.8309666372526863e-07
1852,2.773492377983189e-07
1853,2.323081531585558e-07
1854,3.2109207254160665e-07
1855,2.6269339414852766e-07
1856,2.8060365203641524e-07
1857,2.0648783399801474e-07
1858,2.0651312826469592e-07
1859,2.092883286675118e-07
1860,2.8561628995227295e-07
1861,3.584132566847309e-07
1862,3.022532779617393e-07
1863,2.1826492552223797e-07
1864,2.1192697063909804e-07
1865,1.8215487251893592e-07
1866,2.0484230600636977e-07
1867,3.6978424056144377e-07
1868,3.5221300853649495e-07
1869,2.358739771279872e-07
1870,2.901428759471969e-07
1871,2.86771773438943e-07
1872,2.479409190181414e-07
1873,2.981030360338366e-07
1874,3.758029012423947e-07
1875,2.5003074710649997e-07
1876,3.1016055679344845e-07
1877,3.253213085585571e-07
1878,3.092013403094285e-07
1879,2.6331192271022985e-07
1880,2.862359353983379e-07
1881,3.5559789246519813e-07
1882,4.3725880649603255e-07
1883,2.812105766025752e-07
1884,2.389814319769812e-07
1885,2.2301899038623674e-07
1886,2.736268637781869e-07
1887,1.8346278329861576e-07
1888,2.3333462184638165e-07
1889,2.6438878347745387e-07
1890,3.0346809420933596e-07
1891,3.4675758442404003e-07
1892,2.369497709153734e-07
1893,2.5619013444000416e-07
1894,2.533218759204203e-07
1895,2.3773526969250725e-07
1896,3.054660968615508e-07
1897,3.3678405064740957e-07
1898,2.5009928394936765e-07
1899,2.896451025691249e-07
1900,3.291127784743608e-07
1901,2.677005861428938e-07
1902,3.967509356606058e-07
1903,3.0673250828172627e-07
1904,3.4451348351893785e-07
1905,3.519637530313702e-07
1906,3.986743120076852e-07
1907,3.353133855021895e-07
1908,2.514631147754187e-07
1909,2.7284879244859894e-07
1910,2.5758807231657244e-07
1911,2.979409436942859e-07
1912,3.0058361555340696e-07
1913,2.4499812845135693e-07
1914,2.906386651346793e-07
1915,3.3221748885203795e-07
1916,3.988448635805497e-07
