year,en_ADP aire_NOUN,en_ADP terres_NOUN
1800,4.7162466820793725e-08,1.2702424889710073e-06
1801,1.619204113012529e-07,2.03829237221953e-06
1802,3.3567602031325805e-08,1.2822823407532269e-06
1803,2.9255089017965474e-08,1.513463232072354e-06
1804,1.730295728918918e-08,1.7302956236697753e-06
1805,3.695740935505398e-08,8.699206075490906e-07
1806,4.8988376022407465e-08,8.731457477040294e-07
1807,1.1387820464392462e-08,1.016363009753718e-06
1808,4.5321479014148736e-08,3.0524017233801715e-06
1809,7.00299480627109e-08,1.3486411813978805e-06
1810,5.3822916346035754e-08,8.471258658993008e-07
1811,5.0141535368197765e-09,1.4641328647257978e-06
1812,3.200649700829672e-08,2.3551448382619355e-06
1813,2.0130190847567064e-08,9.029828937912043e-07
1814,4.090680150170556e-08,1.1139237585666706e-06
1815,8.091670444798638e-09,7.633142757867972e-07
1816,7.184571870766376e-08,5.678129717523461e-07
1817,1.2454987263765815e-08,3.105962377958349e-06
1818,7.152706427149269e-09,7.4626569568359e-07
1819,2.484252026313527e-08,7.67012825253488e-07
1820,1.7799721696576398e-08,7.65388056045424e-07
1821,3.7473656067099625e-08,9.989687796974067e-07
1822,3.0076847679083585e-08,9.434104413230671e-07
1823,3.2612866407433216e-08,1.0821541881478325e-06
1824,1.431589158329416e-08,1.0762181599233145e-06
1825,1.3208164117983756e-08,8.946330058989815e-07
1826,2.466235649034587e-08,1.0023486662902314e-06
1827,2.027800155568471e-08,1.1162117914409464e-06
1828,2.384798225563145e-08,8.998027798412522e-07
1829,4.800978425922864e-08,9.80771372560696e-07
1830,1.6698937788106605e-08,1.1668382171592384e-06
1831,1.4032085493553836e-08,8.949352121589982e-07
1832,9.470978445946798e-09,9.240969061075077e-07
1833,1.2741991461950875e-08,9.961921048073918e-07
1834,2.1469421573883096e-08,1.0604027442795427e-06
1835,2.571449897459388e-08,9.272346019884026e-07
1836,2.9571301130015826e-08,1.7319372929147647e-06
1837,1.8786305289175687e-08,1.1313530876577715e-06
1838,3.8504186727905676e-08,2.1006875323692498e-06
1839,2.6567605448946097e-08,1.0885727075304885e-06
1840,5.860113566624747e-08,9.586381608528427e-07
1841,4.173356549230789e-08,1.0375605903334417e-06
1842,3.287049921141261e-08,8.781119222867062e-07
1843,3.0125246297529884e-08,1.1004575635187308e-06
1844,5.488561261035585e-08,1.438551935351029e-06
1845,2.7343117381395388e-08,1.2248599778885705e-06
1846,1.3465352832753297e-08,9.525273441113313e-07
1847,2.480882788091776e-08,1.2366661357177122e-06
1848,2.0113054055581614e-08,1.0941501473737958e-06
1849,2.3462362719328667e-08,1.3122163604606385e-06
1850,2.1724787302446202e-08,1.0400742258553919e-06
1851,2.1283148576856092e-08,1.171218087847592e-06
1852,1.9531636752390114e-08,1.0573126019153278e-06
1853,2.26933418723263e-08,1.056434738799794e-06
1854,2.1821789930598356e-08,8.718324897571961e-07
1855,1.1144567935161831e-08,1.038036842260226e-06
1856,2.0191037064520856e-08,1.0276720843194198e-06
1857,1.2691923956253959e-08,1.071003095098888e-06
1858,4.502181916166137e-08,9.229472783811588e-07
1859,2.6479301196147276e-08,7.378559097048765e-07
1860,1.373155189554609e-08,9.035361214770887e-07
1861,1.3204698334767784e-08,8.394415536017164e-07
1862,3.6143891435358455e-08,9.447109410309906e-07
1863,1.947902072974017e-08,8.161210409696196e-07
1864,2.5412057458318316e-08,7.48457054555729e-07
1865,2.9653119293371333e-08,7.055559914093124e-07
1866,1.8489329622894957e-08,7.376269396397461e-07
1867,2.8631587767335986e-08,9.841501711349565e-07
1868,3.112120594561674e-08,8.792975734195352e-07
1869,3.174287332985415e-08,8.282448398233555e-07
1870,4.0711745086241535e-08,7.746699886013175e-07
1871,3.929835434846041e-08,7.201158416236808e-07
1872,2.0560953717385644e-08,9.361281438913238e-07
1873,3.8909028887701425e-08,8.17688237120251e-07
1874,5.616132481289782e-08,8.770726003248797e-07
1875,2.4030413270370587e-08,8.22183466198112e-07
1876,3.748529087133079e-08,8.627663055094104e-07
1877,5.999271590617639e-08,8.089739100825e-07
1878,2.2344627481629686e-08,7.651525231189282e-07
1879,1.8327976358811782e-08,8.748553677051518e-07
1880,4.492492533536563e-08,7.810518778406106e-07
1881,6.83305714233029e-08,1.1058397113572482e-06
1882,6.25606177973026e-08,9.051323601738659e-07
1883,3.475636339844712e-08,1.0319480274745274e-06
1884,3.6969503902639644e-08,8.258722958842668e-07
1885,3.287274280561192e-08,7.831447406125847e-07
1886,5.0982363997142954e-08,8.667002244777677e-07
1887,3.199173115309151e-08,8.317849764516438e-07
1888,2.4728397107764977e-08,8.743707853309246e-07
1889,3.8217333020451605e-08,8.5331160271096e-07
1890,3.211649390877369e-08,8.206092036999735e-07
1891,3.44207886637804e-08,8.79004948384221e-07
1892,2.7581454897784852e-08,8.669352826728982e-07
1893,2.832871559554917e-08,8.375446336472692e-07
1894,3.591877373310126e-08,8.021859549955934e-07
1895,2.106515117894503e-08,7.836235873526221e-07
1896,2.122930492509667e-08,8.886822486786627e-07
1897,2.9133568113515196e-08,7.394099585944502e-07
1898,2.6594268232038587e-08,8.776108506580726e-07
1899,2.984892333302014e-08,6.892890205278945e-07
1900,2.0764213348734017e-08,7.822917007516139e-07
1901,3.409130783227354e-08,1.307764961655522e-06
1902,2.8970674414985353e-08,6.466843871510974e-07
1903,3.0781254878320397e-08,6.879880354304646e-07
