year,son_DET acte_NOUN,son_DET tact_NOUN
1800,7.16869475780868e-07,6.917161954334006e-08
1801,6.881617480303248e-07,4.286128785224719e-08
1802,1.772369358832293e-06,1.208433673127729e-07
1803,1.0492824493724129e-06,1.5407679310186495e-07
1804,1.1419951491120628e-06,1.5325475999361515e-07
1805,9.722641802767384e-07,1.648869041304124e-07
1806,1.6310247517026255e-06,2.5358688660048756e-07
1807,3.083252494207045e-06,1.3095993267597805e-07
1808,1.787932404795356e-06,7.478044494746428e-08
1809,2.1641511516179435e-06,1.106924951699284e-07
1810,2.5600987783036544e-06,5.616304132871619e-08
1811,1.7549537290051376e-06,5.515568801683912e-08
1812,2.1230978468622652e-06,9.335228412510332e-08
1813,1.7484508632037432e-06,1.9842617149379294e-07
1814,1.7778726331130201e-06,2.3600077980745482e-07
1815,1.896148122071395e-06,8.091670622434322e-08
1816,9.872992308146422e-07,9.502176112619054e-08
1817,1.2252593180051008e-06,1.2766361301430607e-07
1818,1.0431030474933323e-06,1.0848271081442817e-07
1819,1.1831250219529466e-06,1.3456365022257444e-07
1820,1.2495404391188458e-06,1.18664814863223e-07
1821,1.1892955349424028e-06,1.1735170879489942e-07
1822,1.3574683777051177e-06,1.303330066093622e-07
1823,1.5644293824834676e-06,1.5515817786138086e-07
1824,1.5393794043916387e-06,1.6168536198790662e-07
1825,1.6580649493391775e-06,1.5673687969730565e-07
1826,1.220786639777316e-06,8.807984031022897e-08
1827,2.7329215228633075e-06,1.0139000455877678e-07
1828,2.0766090109702873e-06,1.1190207516165174e-07
1829,2.184445179409522e-06,2.2804648125429594e-07
1830,1.5947485465517275e-06,1.7429516319111826e-07
1831,1.3361664130684403e-06,1.4032085005055706e-07
1832,1.49912062141766e-06,1.0147477091937418e-07
1833,1.239448248924191e-06,1.540622598383834e-07
1834,1.4459188228954645e-06,2.0535968658919046e-07
1835,1.4445498450754712e-06,1.5882484660778573e-07
1836,1.2554361212835374e-06,1.4449612439904058e-07
1837,1.1063046407855381e-06,1.5516096230072662e-07
1838,1.182267929777936e-06,1.243495848513021e-07
1839,1.3927018862602836e-06,1.4821927241115418e-07
1840,1.3185255269831941e-06,1.9109066329292546e-07
1841,1.3598722041763267e-06,1.2070631205673976e-07
1842,1.6978618617713437e-06,2.247268859889573e-07
1843,1.239269991515357e-06,1.4826346861340767e-07
1844,1.3084729744150536e-06,1.5422857480018592e-07
1845,1.5898069491981914e-06,2.1316470810717192e-07
1846,1.4823597531687938e-06,1.6568238958569736e-07
1847,1.8660554204075197e-06,1.3483059557728438e-07
1848,1.650074921144551e-06,1.5607730663447228e-07
1849,1.6834244647156993e-06,2.0697155411752988e-07
1850,1.6728086364992123e-06,1.3985332447674637e-07
1851,1.7426383465135586e-06,2.3604945909028174e-07
1852,1.9180066317403544e-06,2.0768640429658092e-07
1853,1.664377457188948e-06,1.9050463251346628e-07
1854,1.7478215390553942e-06,1.5483080550993122e-07
1855,2.527163417198608e-06,2.3032107066001117e-07
1856,1.988040764899779e-06,1.9880406476602275e-07
1857,1.6050401789868829e-06,1.811039833654604e-07
1858,1.5361248664191862e-06,2.3000276705431588e-07
1859,1.5235782342415405e-06,2.3067544940857942e-07
1860,1.578213066011358e-06,2.9065116535775815e-07
1861,2.0184325784100565e-06,2.2117870468463252e-07
1862,1.4764778590858896e-06,2.1053816157134975e-07
1863,1.7611032561148932e-06,2.8069770152683304e-07
1864,1.6872647989885081e-06,2.8384789185764703e-07
1865,1.5918547262572247e-06,2.414611124379462e-07
1866,1.7774083573840471e-06,2.7588023954194796e-07
1867,1.3020093483362416e-06,2.3196439080663822e-07
1868,1.3090666399762085e-06,2.2970414104150905e-07
1869,1.647211043120933e-06,2.8422080333712074e-07
1870,1.5940655089252687e-06,2.775279632771799e-07
1871,1.3350819543234138e-06,2.368522480367119e-07
1872,1.477364939717063e-06,2.5822137716957627e-07
1873,1.3941404866102403e-06,2.3165837959027158e-07
1874,1.4434655533079876e-06,2.7781932754322725e-07
1875,1.420655166839424e-06,2.8321559408794883e-07
1876,1.558058009720753e-06,2.551418178953213e-07
1877,1.451576324029702e-06,2.405893375634349e-07
