year,en_ADP or_NOUN,en_ADP torts_NOUN
1800,6.980045327509288e-06,3.144164484325529e-09
1801,6.350614057737403e-06,0.0
1802,7.655650733795483e-06,2.2378401354217203e-09
1803,5.9017265812144615e-06,1.755305234496518e-08
1804,7.0299442995747086e-06,0.0
1805,6.606847819057293e-06,0.0
1806,6.8151475716149434e-06,0.0
1807,6.0241568462515716e-06,5.693910232196231e-09
1808,6.4809714785951655e-06,0.0
1809,7.76654724177206e-06,0.0
1810,5.911160315008601e-06,0.0
1811,9.31880458665546e-06,5.0141535368197765e-09
1812,6.8013810050615575e-06,0.0
1813,6.634335932176327e-06,0.0
1814,5.903166311327368e-06,3.1466771410748606e-09
1815,1.0122679668711498e-05,5.394447111228828e-09
1816,5.3258536354405805e-06,0.0
1817,5.930131010245532e-06,7.784366928831332e-09
1818,5.1046481530647725e-06,4.768470951432846e-09
1819,7.2146817728935275e-06,1.035105001712111e-09
1820,6.727108029735973e-06,5.933240565525466e-09
1821,6.427718290069606e-06,0.0
1822,8.022498150239699e-06,1.0025615893027862e-08
1823,6.740980552422116e-06,0.0
1824,6.967628451093333e-06,0.0
1825,7.2732959779386874e-06,2.641632912414593e-09
1826,8.379035534744617e-06,0.0
1827,7.899203410488553e-06,9.217273055917019e-10
1828,6.4774790189403575e-06,0.0
1829,6.618492079724092e-06,0.0
1830,8.751287168706767e-06,1.0436835840010872e-09
1831,6.476586804637918e-06,1.5591206103948707e-09
1832,7.179001840995625e-06,0.0
1833,7.363712484220741e-06,2.3167257001688313e-09
1834,6.873015081509948e-06,9.334530925997342e-10
1835,7.255270247696899e-06,2.2689263801112247e-09
1836,6.864574061182793e-06,2.016224964762614e-09
1837,7.021207693469478e-06,7.653680356156656e-09
1838,7.056365575408563e-06,0.0
1839,7.455709237547126e-06,6.9914751765765e-10
1840,7.969754733494483e-06,4.458782232319436e-09
1841,7.788125003571622e-06,2.5682194149112547e-09
1842,7.114786058082245e-06,3.3541325272778977e-09
1843,7.359420578723075e-06,5.906911071384968e-10
1844,6.799778475397034e-06,5.488561272137815e-10
