year,en_ADP est_NOUN,en_ADP test_NOUN
1800,7.671761068195337e-06,0.0
1801,7.376903607081431e-06,0.0
1802,6.917163801745119e-06,0.0
1803,8.140715650029051e-06,1.950339223455444e-09
1804,8.216432204832813e-06,0.0
1805,7.650183903029628e-06,0.0
1806,6.140837092161178e-06,0.0
1807,9.070398920840717e-06,2.8469551160981155e-09
1808,7.006700907474794e-06,2.945896149242344e-08
1809,7.99470866130747e-06,0.0
1810,8.880780999032112e-06,0.0
1811,5.593288370686622e-06,2.5070767684098882e-09
1812,8.90047399604299e-06,0.0
1813,7.448170994184267e-06,0.0
1814,6.3814613948665055e-06,3.1466771410748606e-09
1815,7.3337510133608674e-06,5.394447111228828e-09
1816,7.261053015739094e-06,0.0
1817,7.558620296110874e-06,0.0
1818,6.324184543160527e-06,2.384235475716423e-09
1819,6.584303017476145e-06,1.035105001712111e-09
1820,5.691164250087866e-06,2.3732962262101864e-09
1821,6.425745994853571e-06,1.97229765852569e-09
1822,6.3612530709633575e-06,0.0
1823,5.118243690205304e-06,4.941343334508019e-09
1824,6.258571062289775e-06,0.0
1825,6.044936586846461e-06,1.7610886082763955e-09
1826,5.6776266390556884e-06,4.403992170942672e-09
1827,6.2308767585506075e-06,1.8434546111834038e-09
1828,6.092242679223148e-06,9.172301251858528e-10
1829,6.360439297914411e-06,0.0
1830,6.376906505067836e-06,0.0
1831,5.584769975364168e-06,0.0
1832,6.410499479692078e-06,1.3529969367098715e-09
1833,6.1983998165260346e-06,3.475088550253247e-09
1834,6.069311909051578e-06,9.334530925997342e-10
1835,5.575508595256906e-06,1.5126175867408165e-09
1836,5.732127556612454e-06,5.376599998552223e-09
1837,5.791052836379151e-06,9.74104708006962e-09
1838,5.3583940471391145e-06,1.2624323808552163e-09
1839,6.016164573630078e-06,6.9914751765765e-10
1840,5.924447250116316e-06,7.0066574764382494e-09
1841,6.1033734368720616e-06,6.420548537278137e-10
1842,5.7899037875230874e-06,0.0
1843,5.697215518463139e-06,2.3627644840651385e-09
1844,5.5900995432622835e-06,2.744280691580059e-09
1845,5.5199613924195035e-06,3.906159617983462e-09
1846,6.106244716086451e-06,5.2690514174003056e-09
1847,5.266482881793877e-06,3.235934187273415e-09
1848,5.960704608121148e-06,1.6090443422100975e-09
1849,5.6921367361795205e-06,8.379414939696517e-10
1850,5.484830118973605e-06,2.7155984128057753e-09
1851,5.522009659308935e-06,5.159551230704551e-09
1852,5.548286861944973e-06,5.859490892490271e-09
1853,5.751567631051557e-06,4.777545248302317e-09
1854,5.859150829401472e-06,5.715231066183435e-09
1855,5.671523567229997e-06,5.837630823180007e-09
1856,5.3594262636735834e-06,2.5885946719483854e-09
1857,5.472171627829425e-06,3.905207268672939e-09
1858,5.095295311008385e-06,5.383043677475996e-09
1859,5.1512426244570975e-06,7.129042689513199e-09
1860,5.508640911422447e-06,1.8308735638683515e-09
1861,5.627559509502333e-06,9.431927461278633e-10
1862,5.425197764807876e-06,6.776979505351832e-09
1863,5.027585551431457e-06,2.4973103585068657e-09
1864,5.589214267409659e-06,1.1507347408290514e-08
1865,5.540426435857171e-06,7.060266649094871e-09
1866,5.330279148729744e-06,1.216403244796993e-08
1867,5.2211399470536435e-06,1.2132028714972876e-08
1868,5.38989651488464e-06,1.8771521559379778e-08
1869,5.617023622228601e-06,7.325278605918584e-09
1870,5.319477018872476e-06,1.548193084843774e-08
1871,5.048245764971426e-06,4.248470908407853e-09
1872,5.227924735340395e-06,4.23313739617015e-09
1873,4.991130389875309e-06,4.788803575905831e-09
1874,4.672741666489344e-06,1.1351757311928168e-08
1875,5.210022460566677e-06,1.1443054226401017e-08
1876,5.2817985238817755e-06,3.808989390563511e-08
1877,5.211944323235684e-06,1.7935965934690046e-08
1878,4.8650896449231595e-06,1.2078177402674584e-08
1879,5.131833077598458e-06,6.109325378922392e-09
