year,en_ADP erreur_NOUN,en_ADP terreur_NOUN
1800,3.7132583656784846e-06,3.458580977167003e-08
1801,3.4931947539007524e-06,0.0
1802,4.891918706562137e-06,2.4616241489638924e-08
1803,4.046954018122051e-06,2.9255089017965474e-08
1804,3.2554276003793348e-06,2.4718509905596875e-08
1805,3.6758408441528445e-06,1.7057265822018053e-08
1806,3.397487944312161e-06,2.881669125542885e-09
1807,4.182177235634299e-06,1.1387820464392462e-08
1808,4.6386535359488335e-06,2.039466551195801e-08
1809,4.285380782675929e-06,4.292158095609011e-08
1810,3.9243927858478855e-06,3.2761775514700275e-08
1811,3.4472304832888767e-06,2.5070767684098882e-09
1812,4.395559244585456e-06,0.0
1813,5.0152934818470385e-06,1.1502966579257645e-08
1814,5.1448173508106265e-06,5.034683336901935e-08
1815,4.5232441152620595e-06,4.315557688983063e-08
1816,4.187910235486925e-06,2.7811246638975717e-08
1817,4.110145710001234e-06,6.227493543065066e-08
1818,3.240176056351629e-06,1.7881765401739358e-08
1819,3.6104463561059674e-06,1.1386155129855524e-08
1820,3.332108008180512e-06,2.610625848831205e-08
1821,3.745393314602552e-06,4.6348993976153e-08
1822,3.2964226193143986e-06,4.110502516141423e-08
1823,3.069562581003993e-06,6.522573414713406e-08
1824,3.0644428079540376e-06,8.505323467744574e-08
1825,3.1611541544407373e-06,1.2327619813845558e-08
1826,3.5064585972577333e-06,2.6423952803611428e-08
1827,3.531137281242991e-06,3.7790819362726324e-08
1828,3.4295235309400596e-06,2.5682442839070063e-08
1829,3.484138687781524e-06,1.1145129263923081e-08
1830,3.736387270691921e-06,4.279102583382155e-08
1831,4.1347880141984206e-06,2.9623292041591753e-08
1832,3.4907320696220268e-06,5.276687886635045e-08
1833,3.2387824830948375e-06,6.718504863556518e-08
1834,2.9403772714431398e-06,2.9870498963191494e-08
1835,3.1991862670111004e-06,2.193295500774184e-08
1836,3.1513598059973447e-06,4.368487438455304e-08
1837,3.2402897431893507e-06,7.792837664055696e-08
1838,3.0222631721699145e-06,3.7241754569095065e-08
1839,3.454487796261674e-06,3.076248944466897e-08
1840,3.291855136922095e-06,5.923810419972142e-08
1841,3.51268204212829e-06,2.8892468861840825e-08
1842,3.3782823720684974e-06,3.152884531232303e-08
1843,3.406515588721959e-06,3.2488010504039266e-08
1844,3.085669050051365e-06,2.195424464446205e-08
1845,3.0713574687979417e-06,2.511102614732863e-08
1846,3.1239619602274615e-06,3.688335681317767e-08
1847,3.128069693048019e-06,2.0494249852731627e-08
1848,3.1207414394884836e-06,3.459445352405055e-08
1849,2.8699496397166513e-06,2.5976186535103807e-08
1850,2.7101671093987534e-06,2.7155985016236173e-08
1851,3.028011406058795e-06,2.4507867735223954e-08
1852,3.3724625154718524e-06,2.539112742283578e-08
1853,2.7721707738237455e-06,2.8068079416243563e-08
1854,2.996859166159993e-06,3.117398605922972e-08
1855,2.7436865366325947e-06,5.890700194299825e-08
1856,2.6978332243743353e-06,3.054541508618058e-08
1857,2.6892232654063264e-06,3.612316845647001e-08
1858,3.101611810052418e-06,3.229826006645453e-08
1859,2.512478431526688e-06,5.092173438470127e-08
1860,2.6227264697809005e-06,4.0279219154504275e-08
1861,2.5456772618781542e-06,3.395494019287071e-08
1862,2.5047716007975396e-06,2.4848924695675123e-08
1863,2.5627398372307653e-06,3.0467187883687075e-08
1864,2.5709330202516867e-06,2.7809422320501653e-08
1865,2.727616219999618e-06,3.4830648198980185e-08
1866,2.6853317649511155e-06,3.795178094012641e-08
1867,2.6180916847806657e-06,3.8337212515671126e-08
1868,2.456105448800372e-06,2.6181332657415624e-08
1869,2.948180508610676e-06,3.955650385023546e-08
1870,2.6279144549334887e-06,4.759260363584872e-08
1871,2.6043126126751304e-06,3.9298356568906456e-08
1872,2.4588482574472437e-06,4.1726641586414814e-08
1873,2.7391956791689154e-06,4.7289436366781956e-08
1874,2.631815277709393e-06,3.465273329394947e-08
1875,2.4236389890575083e-06,2.574687130163511e-08
1876,2.503050154700759e-06,5.139112602137175e-08
1877,2.448568693580455e-06,2.783167118991514e-08
1878,2.5786907826841343e-06,1.2078177513696886e-08
1879,2.501768676665961e-06,3.6045020190833554e-08
1880,2.473437916705734e-06,3.208923016195797e-08
1881,2.488488007656997e-06,2.789003034076032e-08
