year,rien_PRON eu_VERB,rien_PRON tu_VERB
1800,5.282196298139752e-07,3.144164484325529e-09
1801,6.667311254204833e-07,2.3811825844433088e-09
1802,4.050490645113314e-07,1.1189200677108602e-08
1803,5.012371957491268e-07,1.950339223455444e-09
1804,7.118930511751387e-07,1.730295728918918e-08
1805,5.970043162051297e-07,0.0
1806,6.166771981952479e-07,2.881669125542885e-09
1807,4.185023954050848e-07,2.2775640928784924e-08
1808,4.826737836083339e-07,1.5862518409903714e-08
1809,5.218360570324876e-07,1.8072244145628247e-08
1810,8.471258752251742e-07,4.680253518074551e-09
1811,4.83865790101845e-07,2.5070767684098882e-09
1812,6.507988246085006e-07,1.0668832928217853e-08
1813,5.5501811857539e-07,8.627225156487839e-09
1814,5.726952281293052e-07,6.293354282149721e-09
1815,6.9048923023729e-07,2.697223555614414e-09
1816,8.111613851724542e-07,2.3176038865813098e-09
1817,9.450221796214464e-07,3.269434145636296e-08
1818,7.808371265127789e-07,1.3113295338484932e-08
1819,6.158874725770147e-07,2.173720581311045e-08
1820,6.823226499363955e-07,1.4239777357261119e-08
1821,7.060825737426057e-07,1.972297702934611e-08
1822,8.140800105138624e-07,8.02049271442229e-09
1823,7.827088097656087e-07,2.174191138237802e-08
1824,7.663212500119698e-07,7.410579172528742e-08
1825,6.61288765968493e-07,1.937197424695114e-08
1826,7.019963277343777e-07,1.8496766784892316e-08
1827,5.7607957160144e-07,1.6591091167583727e-08
1828,7.741422223261907e-07,1.3758452155343548e-08
1829,7.733004849796998e-07,1.7146351893870815e-08
1830,7.023990633570065e-07,2.6092090266160994e-08
1831,6.64185392906802e-07,1.2472964883158966e-08
1832,6.480855176960176e-07,1.488296597074168e-08
1833,7.10076449195185e-07,1.6217079235048004e-08
1834,6.347481189550308e-07,7.467624740797874e-09
1835,6.39080951714277e-07,2.7983425354705105e-08
1836,7.661654990442912e-07,1.5457725766054864e-08
1837,6.749154408680624e-07,9.74104708006962e-09
1838,7.145367248995171e-07,1.5149188570262595e-08
1839,7.536810358033108e-07,1.6779539646627484e-08
1840,7.299663025150949e-07,1.0191501864653674e-08
1841,6.099521101532446e-07,7.704658244733764e-09
1842,5.977063892714796e-07,8.720745015011744e-09
1843,6.137280479379115e-07,9.451057714215949e-09
1844,6.668602168247162e-07,1.4819115712327857e-08
1845,6.249855459827813e-07,8.928364714222425e-09
1846,7.886013122515578e-07,3.219975752699611e-08
1847,5.312325015438546e-07,5.9325460100012606e-09
1848,7.667096042496269e-07,1.609044275596716e-08
1849,7.298470450223249e-07,2.011059585527164e-08
1850,7.508629664698674e-07,1.3577992064028876e-09
1851,6.05602281211759e-07,1.805842941848823e-08
1852,7.044409926493245e-07,1.5625309046640723e-08
1853,6.60495686588547e-07,1.2541057081705276e-08
1854,7.43499583677476e-07,9.871762796098693e-09
1855,7.371335755124164e-07,1.1675261646360013e-08
1856,8.909942721402331e-07,1.7084724746041502e-08
1857,7.722547366029175e-07,5.857811125054013e-09
1858,6.342203846543271e-07,6.361778659424999e-09
1859,7.847039000807854e-07,8.656694916453489e-09
1860,7.154138188525394e-07,1.4646988510946812e-08
1861,7.21070875897567e-07,1.4147890858851042e-08
1862,9.04049045402644e-07,8.584174260306554e-09
1863,8.385968612856232e-07,1.8480097452311384e-08
1864,7.930480023787823e-07,1.0548401263577034e-08
1865,8.477026653963549e-07,9.413688495385486e-09
1866,7.648743576282868e-07,1.0704348296641797e-08
1867,7.706264568696497e-07,9.7056229719783e-09
1868,7.558007268926303e-07,1.2843672236861892e-08
1869,7.916184472378518e-07,1.0255390425761846e-08
1870,6.617092367378063e-07,1.2614907340946502e-08
1871,8.018988637559232e-07,1.0621176826930423e-08
1872,8.061103358159016e-07,6.652073114565837e-09
1873,8.027232070162427e-07,1.5563611011071288e-08
1874,7.468261173926294e-07,1.1949218503559678e-08
