year,en_ADP elle_PRON,en_ADP tel_ADJ
1800,1.3463312697581387e-05,1.2765307744189158e-06
1801,1.154397313030131e-05,1.8739907048370696e-06
1802,1.176432525085147e-05,2.5690403617772972e-06
1803,1.1144238222016156e-05,1.199458615097626e-06
1804,1.3988204941028926e-05,1.480638673001522e-06
1805,1.1576197891827178e-05,1.782484311263488e-06
1806,1.2474745489043926e-05,2.1093817395012593e-06
1807,1.1658281458437614e-05,1.8049695320598858e-06
1808,1.089754971062007e-05,4.681708958287345e-06
1809,1.0859159445431033e-05,1.4390024247745714e-06
1810,1.2245883151962289e-05,1.2753690352695912e-06
1811,8.82741755248162e-06,3.1413672232361023e-06
1812,1.0146060191118522e-05,1.3229353328370053e-06
1813,1.187681272796226e-05,1.4148648475043046e-06
1814,1.0749049025093882e-05,3.9616666072106455e-06
1815,1.197027785337923e-05,1.2218422256182748e-06
1816,1.908546720486015e-05,1.2074715947107961e-06
1817,1.3519888881319275e-05,1.2423849646836516e-06
1818,1.4328063301149996e-05,2.0039500299162682e-06
1819,1.3200693700810007e-05,2.623991274930404e-06
1820,1.674953765018472e-05,4.166321332377265e-06
1821,1.4755744977890117e-05,2.5136932606528717e-06
1822,1.3200728659512606e-05,3.0969128346214347e-06
1823,1.269332331332862e-05,5.260554047481492e-06
1824,1.3735676759552007e-05,6.386572010796954e-06
1825,1.2566247619361093e-05,4.776072259460307e-06
1826,1.129095501539723e-05,5.046094173621896e-06
1827,1.05224390551939e-05,3.738525894192435e-06
1828,1.2866903865926815e-05,4.607247149124305e-06
1829,1.2426818258859385e-05,2.337047888545385e-06
1830,1.3740094040315398e-05,2.0884108593577366e-06
1831,1.2854949275720173e-05,1.3501984028607694e-06
1832,1.3926397066654772e-05,1.324583998041362e-06
1833,1.4654448179385327e-05,1.4549037068434245e-06
1834,1.3531335980587755e-05,2.172145308065865e-06
1835,1.4260202441107594e-05,4.40171722004834e-06
1836,1.610695045428656e-05,5.4343984885463215e-06
1837,1.4663755244725962e-05,4.49966800886159e-06
1838,1.4949092815186305e-05,5.25929344519227e-06
1839,1.5161013934061884e-05,3.7844855427238144e-06
1840,1.6310862250179525e-05,4.084244210389443e-06
1841,1.7098563276363166e-05,3.2475134261744643e-06
1842,1.867916373043954e-05,5.753678706810206e-06
1843,1.8206282149435538e-05,2.278295532676111e-06
1844,1.8395461481190978e-05,2.7700767724070374e-06
1845,1.892143762916021e-05,2.140575414699697e-06
1846,1.7687619504158647e-05,2.7276122409602976e-06
1847,1.6900745428927166e-05,2.601691171832954e-06
1848,1.5550608338799066e-05,2.243812225799502e-06
1849,1.5859718459410033e-05,2.3663467629830848e-06
1850,1.5037626383218594e-05,3.896204873399256e-06
1851,1.6302245711585783e-05,2.212802549195203e-06
1852,1.702507697132205e-05,2.0000394584940295e-06
1853,1.6358912191094532e-05,2.6969244260044434e-06
1854,1.7989988251088107e-05,2.9734787858615164e-06
1855,1.878708796709816e-05,2.259163125017949e-06
1856,2.1069607925028322e-05,2.302295968092949e-06
1857,1.9028121656106123e-05,2.713142706056715e-06
1858,1.8693353638354893e-05,2.8383319943259266e-06
1859,2.049650656488211e-05,2.48243461697939e-06
1860,1.8199798859086513e-05,1.8954118594649572e-06
1861,2.0965759119917493e-05,2.01277340750039e-06
1862,1.8176310391027073e-05,2.208391759239703e-06
1863,1.8922620157013625e-05,2.7825033441786218e-06
1864,1.9222063798451927e-05,2.287085273167122e-06
1865,1.8041335238194733e-05,2.2668161676620002e-06
1866,1.856815265455225e-05,2.3311152190785833e-06
1867,1.6633982014013782e-05,3.244104576083373e-06
1868,1.6397911224430572e-05,3.0765535967702817e-06
1869,2.0216792279370566e-05,2.831952670589999e-06
1870,1.8167760444498526e-05,2.3802037105724594e-06
1871,1.4071997782139078e-05,2.6308654952345023e-06
1872,1.65285877073984e-05,2.4872705779444004e-06
1873,1.468307078766884e-05,2.6697578903167596e-06
1874,1.4261989761621408e-05,3.1121738999217996e-06
1875,1.5617479732554784e-05,2.446525094512708e-06
1876,1.463196022655211e-05,2.7122422210368313e-06
1877,1.3724724823305223e-05,2.618651166130803e-06
1878,1.321594164949147e-05,3.1306636572026036e-06
1879,1.4320869723860596e-05,2.791961748016547e-06
1880,1.3120645334652181e-05,2.502318352526345e-06
1881,1.2724129021535191e-05,2.487790780492105e-06
