year,aucun_DET an_NOUN,aucun_DET temps_NOUN
1800,3.144164484325529e-09,1.424306560693367e-06
1801,1.4287095950749062e-08,1.1548735301403212e-06
1802,0.0,1.4971150221754215e-06
1803,1.950339223455444e-09,1.0258784186589764e-06
1804,0.0,1.21120694984711e-06
1805,0.0,1.0802934866660507e-06
1806,2.881669125542885e-09,1.6973031051747967e-06
1807,0.0,1.4405593447008869e-06
1808,9.064295980465431e-09,1.3868373116565635e-06
1809,0.0,1.5022552588561666e-06
1810,9.360507036149102e-09,1.5117218481464079e-06
1811,0.0,1.5117673228814965e-06
1812,0.0,1.4589628563044243e-06
1813,0.0,1.302710984418809e-06
1814,3.1466771410748606e-09,2.3757411327096634e-06
1815,5.394447111228828e-09,1.804442604225187e-06
1816,0.0,1.5342537835749681e-06
1817,3.113746815941454e-09,2.411596824458684e-06
1818,2.384235475716423e-09,1.9908366084564477e-06
1819,2.070210003424222e-09,2.1830364858033136e-06
1820,0.0,2.7459036573418416e-06
1821,1.97229765852569e-09,1.8125415408576373e-06
1822,3.0076847679083585e-09,1.8727851056610234e-06
1823,8.894418535021487e-09,2.237440412500291e-06
1824,0.0,1.8745396346275811e-06
1825,7.044354211060977e-09,2.420616283416166e-06
1826,6.1655889282974385e-09,2.412507001281483e-06
1827,0.0,2.40847339227912e-06
1828,9.172301251858528e-10,2.275647830174421e-06
1829,1.714635211591542e-09,2.0798524928977713e-06
1830,1.0436835840010872e-09,1.6542385310458485e-06
1831,3.1182412207897414e-09,1.5606797205691691e-06
1832,5.411987746839486e-09,1.3908808114138083e-06
1833,1.1583628500844156e-09,1.4954464404581813e-06
1834,0.0,1.7791616073736805e-06
1835,9.832014313815307e-09,1.9172427982994122e-06
1836,1.3441500135158435e-09,1.7689013702693046e-06
1837,0.0,2.088758947138558e-06
1838,1.8936485712828244e-09,1.9870685719070025e-06
1839,6.9914751765765e-10,1.8660247178559075e-06
1840,7.0066574764382494e-09,1.943391907843761e-06
1841,0.0,1.5967904118951992e-06
1842,6.708265054555795e-10,1.77903189069184e-06
1843,1.7720733769266417e-09,1.8459097645973088e-06
1844,2.1954245643662773e-09,1.5988179029591265e-06
1845,1.674068439427856e-09,1.5942711115712882e-06
1846,4.0981511517657054e-09,1.7949901121028233e-06
1847,2.1572894581822766e-09,1.7128878653238644e-06
1848,1.6090443422100975e-09,1.9871697531925747e-06
1849,8.379414939696517e-10,1.7010212332024821e-06
1850,8.82569484161877e-09,1.5336341903093853e-06
1851,6.449438760824933e-10,1.7594069277038216e-06
1852,3.906327261660181e-09,1.6582358739469782e-06
1853,5.971931837933653e-10,1.5753955722175306e-06
1854,5.7152309551611324e-09,1.3991924561196356e-06
1855,5.306937111981824e-10,1.3453085330183967e-06
1856,2.0708756931497874e-09,1.5215758821796044e-06
1857,1.9526036343364694e-09,1.786632310540881e-06
1858,4.893676019968041e-10,1.3883359315514099e-06
1859,1.018434669930457e-09,1.77665924638859e-06
1860,9.154367819341758e-10,1.393294837725989e-06
1861,9.431927461278633e-10,1.5232562873279676e-06
1862,3.162590411776023e-09,1.4543397810484748e-06
1863,9.989241656072068e-10,1.5753033721921383e-06
1864,1.9178911792039344e-09,1.6091106544990907e-06
1865,3.294791106611683e-09,1.4134653838482336e-06
1866,1.9462451650298362e-09,1.3443687976177898e-06
1867,4.85281148598915e-10,1.409256469742104e-06
1868,4.93987406535723e-10,1.484432118559198e-06
1869,1.4650557433881772e-09,1.3019462130614556e-06
1870,2.2936195165357276e-09,1.422044078935869e-06
1871,4.248470908407853e-09,1.3021563063375652e-06
1872,3.0236697590169115e-09,1.2717554227492656e-06
1873,4.190203295451056e-09,1.4474159115707153e-06
1874,5.974609140757536e-10,1.365795696983696e-06
1875,1.1443054281912168e-09,1.2827663340431172e-06
1876,1.209202959984168e-09,1.2648263236769708e-06
1877,3.0924081073635534e-09,1.2165533007646445e-06
1878,1.8117265465633636e-09,1.1558815913303988e-06
1879,6.10932526790009e-10,1.441800804968807e-06
1880,1.9253538763308597e-09,1.2611068314072327e-06
1881,6.972507571312292e-10,1.0298393817720353e-06
1882,3.9932310791357395e-09,1.1573714573387406e-06
1883,0.0,1.2518610219558468e-06
1884,6.601696966868076e-10,1.1071045946664526e-06
1885,6.445635691854079e-10,1.1615035191425704e-06
1886,1.2906927748801422e-09,1.0538506103330292e-06
1887,1.3057849246322917e-09,1.1928344747502706e-06
1888,1.268122939990235e-09,1.033520220516948e-06
1889,6.265136742733546e-10,1.2705697827186668e-06
1890,0.0,1.2027298907923978e-06
1891,6.374220040683554e-10,1.0893542139456258e-06
1892,3.1342561879199593e-09,8.832333833197481e-07
1893,0.0,1.0561684575804975e-06
1894,4.411077725308132e-09,9.509022902420838e-07
1895,6.018614495673091e-10,1.0033030548584065e-06
1896,0.0,1.0278521358486614e-06
1897,1.1653427112179315e-09,8.040864827307814e-07
1898,0.0,9.387210866407258e-07
1899,5.527578395003729e-10,8.838597977955942e-07
1900,5.191053142894475e-10,8.518518370692618e-07
1901,5.588738916095792e-10,7.885710715527239e-07
1902,4.910283846193408e-10,6.398099685611669e-07
1903,3.7801539676252105e-09,9.31538011172961e-07
1904,0.0,6.127072538220091e-07
1905,0.0,7.52438666040689e-07
1906,1.5432553013283723e-09,8.194685960916104e-07
1907,1.5428529565042481e-09,8.213120850086852e-07
1908,9.822778146428846e-10,8.010475767150638e-07
1909,1.1001967115120692e-09,8.031436209421372e-07
1910,5.344150677544235e-10,7.855901458242442e-07
1911,2.128149656499545e-09,7.198466391855618e-07
1912,4.688478938419394e-09,6.235677005861362e-07
1913,5.30298971401777e-10,5.881015567865688e-07
1914,2.0090231700464756e-09,7.627591003256384e-07
1915,2.3561523843085297e-09,7.492564577660232e-07
1916,0.0,9.855752978182863e-07
1917,1.0966424435210342e-09,7.38040341730084e-07
1918,1.1486376294556067e-09,7.489117592740513e-07
1919,0.0,8.821118626656244e-07
1920,7.572231730534895e-10,6.542408073073602e-07
1921,7.572747429129834e-10,5.278204753267346e-07
1922,1.4755870969551665e-09,5.400648888098658e-07
1923,0.0,5.94493087646697e-07
1924,2.578324886925998e-09,5.994605203341052e-07
1925,1.0998177923937646e-09,5.939016318734502e-07
