year,ancien_ADJ an_NOUN,ancien_ADJ temps_NOUN
1800,0.0,1.9493819536364754e-07
1801,1.1905912922216544e-08,2.0240051412656612e-07
1802,0.0,2.0811913259422e-07
1803,1.950339223455444e-09,5.538963137041719e-07
1804,2.4718509461507665e-09,1.97748079244775e-07
1805,0.0,1.6204403152642044e-07
1806,0.0,1.873084869430386e-07
1807,5.693910232196231e-09,2.391442421867396e-07
1808,0.0,2.4700207745809166e-07
1809,2.259030518203531e-09,1.5135503872443223e-07
1810,0.0,2.1295153374012443e-07
1811,2.5070767684098882e-09,1.8050953087822563e-07
1812,2.6672082320544632e-09,1.8137015445063298e-07
1813,2.8757416448144113e-09,2.1280487771946355e-07
1814,0.0,3.492811515570793e-07
1815,5.394447111228828e-09,1.5104451733805035e-07
1816,2.3176038865813098e-09,1.1356259221884102e-07
1817,4.670620334934483e-09,1.3389110620209976e-07
1818,0.0,1.966994318536308e-07
1819,1.035105001712111e-09,3.45725084116566e-07
1820,0.0,2.97848686159341e-07
1821,0.0,2.3667571724672598e-07
1822,0.0,3.037761757695989e-07
1823,0.0,2.3421968364800705e-07
1824,8.421112696055388e-10,2.147383781903045e-07
1825,0.0,4.6492738192682737e-07
1826,8.807984341885344e-10,2.219612014187078e-07
1827,0.0,2.3227528345159953e-07
1828,0.0,2.1646630443683534e-07
1829,8.57317605795771e-10,2.709123521071888e-07
1830,3.1310507520032616e-09,2.9536244028349756e-07
1831,0.0,2.2451337144957506e-07
1832,0.0,2.0700852587651752e-07
1833,2.3167257001688313e-09,2.4673127541063877e-07
1834,9.334530925997342e-10,1.717553743674216e-07
1835,7.563087933704082e-10,3.093302893830696e-07
1836,0.0,2.3657040060243162e-07
1837,0.0,2.748366796367918e-07
1838,6.312161904276081e-10,2.625859281124576e-07
1839,0.0,2.1743487366165937e-07
1840,3.184844277193122e-09,2.1975425568143692e-07
1841,6.420548537278137e-10,2.0417344614998e-07
1842,2.683306021822318e-09,1.8447728677983832e-07
1843,1.1813822142769936e-09,3.3610322702770645e-07
1844,2.195424508855126e-09,2.7662349566526245e-07
1845,1.1160455892778032e-09,2.1707086261812947e-07
1846,1.7563503984519002e-09,1.9202764178771758e-07
1847,0.0,2.0979639714369114e-07
1848,0.0,2.252662056889676e-07
1849,8.379414939696517e-10,1.6339859598701878e-07
1850,6.788996032014438e-10,1.9484419055970648e-07
1851,2.579775504329973e-09,2.2379552433449135e-07
1852,0.0,3.112040758423973e-07
1853,0.0,2.5022393401741283e-07
1854,2.5978321716024766e-09,2.171787798488367e-07
1855,2.1227748447927297e-09,2.796755893541558e-07
1856,1.0354378465748937e-09,2.72320164640405e-07
1857,9.763018171682347e-10,2.3382428082641127e-07
1858,1.9574704079872163e-09,3.322805923744454e-07
1859,5.092173349652285e-10,3.350650104039232e-07
1860,4.577183909670879e-10,2.517451207495469e-07
1861,0.0,2.41457343008733e-07
1862,9.035972525772706e-10,2.3900147994027066e-07
1863,4.994620828036034e-10,2.3025202722237736e-07
1864,1.4384183844029508e-09,3.4953566796502855e-07
1865,4.706844358715045e-10,3.36539358158916e-07
1866,4.865612912574591e-10,2.7879963226951077e-07
1867,9.7056229719783e-10,3.561963524134626e-07
1868,1.4819622196071691e-09,2.67741171455782e-07
1869,9.767038289254515e-10,2.793372857468057e-07
1870,1.1468097582678638e-09,2.9587693006760674e-07
1871,0.0,2.177341400511068e-07
1872,0.0,3.7251609796840057e-07
1873,5.986004469882289e-10,3.3820924727478996e-07
1874,5.974609140757536e-10,3.6086638033339113e-07
1875,1.1443054281912168e-09,2.8550419983730535e-07
1876,1.209202959984168e-09,2.3458537157239334e-07
1877,4.329371083855449e-09,2.894493889016303e-07
1878,2.4156354694326865e-09,3.4603976928337943e-07
1879,0.0,2.840836259565549e-07
1880,1.2835692508872398e-09,3.45280142255433e-07
1881,2.091752326904839e-09,3.374693733348977e-07
1882,0.0,3.214551043129177e-07
1883,1.2638677882037541e-09,3.488275126528606e-07
1884,0.0,3.8355858578142943e-07
1885,1.933690763067375e-09,2.9972204629302723e-07
1886,6.453463874400711e-10,3.665567476218712e-07
1887,1.3057849246322917e-09,3.218759729861631e-07
1888,1.268122939990235e-09,3.810709472418239e-07
1889,1.8795409673089125e-09,3.9407709095939936e-07
1890,6.554386478008212e-10,2.58242835116107e-07
1891,1.2748440081367107e-09,2.9831349479536584e-07
1892,1.8805537127519756e-09,2.9650064448105695e-07
1893,6.158416554491453e-10,2.802079563934967e-07
1894,2.520615716150587e-09,3.5162588574166875e-07
1895,6.018614495673091e-10,3.195884232809476e-07
1896,0.0,3.3731006965354027e-07
1897,5.826713556089658e-10,3.0182377486198675e-07
1898,0.0,2.981952889058448e-07
1899,2.7637891975018647e-09,3.7753360970782524e-07
1900,1.038210628578895e-09,3.46762362823938e-07
1901,1.676621730339889e-09,3.7556324627985305e-07
1902,4.910283846193408e-10,2.641732805841457e-07
1903,1.6200660812870638e-09,3.132127801563911e-07
1904,1.6123875568041512e-09,3.4451346664354787e-07
1905,5.160759042333041e-10,3.602209801556455e-07
1906,2.572092316910357e-09,3.1996827942748496e-07
1907,3.0857059130084963e-09,3.857132639950578e-07
1908,1.964555629285769e-09,3.747389882846619e-07
1909,1.1001967115120692e-09,4.0047160609901766e-07
