year,aucun_DET or_NOUN,aucun_DET tort_NOUN
1800,0.0,5.848145860909426e-07
1801,4.7623651688866175e-09,8.619880986771022e-07
1802,1.3427040812530322e-08,1.1412985259084962e-06
1803,1.950339223455444e-09,1.119494754675543e-06
1804,2.4718509461507665e-09,1.4929979670341709e-06
1805,1.7057265822018053e-08,1.2366517694317736e-06
1806,2.881669125542885e-09,1.0402825409983052e-06
1807,1.4234775136401367e-08,1.0647612498360104e-06
1808,2.2660739951163578e-09,1.0967797834382509e-06
1809,4.518061036407062e-09,1.3057195928922738e-06
1810,7.020380277111826e-09,1.0787983910631738e-06
1811,1.7549536490690798e-08,9.501820841251174e-07
1812,2.1337665856435706e-08,8.295017437376373e-07
1813,2.8757416448144113e-09,8.828527029436373e-07
1814,0.0,6.765355919924332e-07
1815,8.091670444798638e-09,8.496253940393217e-07
1816,4.6352077731626196e-09,7.879853001213633e-07
1817,1.5568734412774177e-08,7.940054160826548e-07
1818,4.768470951432846e-09,1.0740981224444113e-06
1819,1.035105001712111e-09,1.010262508316373e-06
1820,1.0679833017945839e-08,9.861046237347182e-07
1821,9.861488403650753e-09,1.121251216318342e-06
1822,7.017931125119503e-09,1.0627152278175345e-06
1823,9.882686891060644e-10,9.724564051794005e-07
1824,1.51580028528997e-08,8.741114925214788e-07
1825,9.68598712347557e-09,9.492267736277427e-07
1826,3.5231937367541377e-09,8.570168574806303e-07
1827,3.6869092223668076e-09,1.076577518688282e-06
1828,5.5033806956039655e-09,9.364919719700993e-07
1829,2.571952817387313e-09,8.504590596203343e-07
1830,2.922314124020886e-08,9.831499028223334e-07
1831,1.5591206103948707e-09,7.624099680469953e-07
1832,2.8412935226818092e-08,8.686240562383318e-07
1833,5.791814250422078e-09,6.811173420828709e-07
1834,1.1201437333241415e-08,7.635646284143149e-07
1835,6.050470346963266e-09,8.894191410036001e-07
1836,1.2097350121642592e-08,1.0235702347927145e-06
1837,4.174734336004349e-09,7.020511816335784e-07
1838,1.8936486156917454e-08,8.982206622931699e-07
1839,5.5931801412612e-09,7.76752870024211e-07
1840,7.64362617644565e-09,6.88563318362867e-07
1841,4.494383976094696e-09,6.953454203539877e-07
1842,6.708265054555795e-09,7.821836902621726e-07
1843,2.953455480181333e-09,6.781133947697526e-07
1844,3.293136707771538e-09,7.354672106885118e-07
1845,5.580227946389016e-10,5.987584472677554e-07
1846,7.610851504580296e-09,6.978565352255828e-07
1847,2.7505439703645607e-08,7.20534671927453e-07
1848,4.34441957963827e-08,5.905192779209756e-07
1849,6.703531951757213e-09,5.027649194744299e-07
1850,1.0183494048021657e-08,4.949177991875331e-07
1851,1.0319102239364497e-08,5.04346132856881e-07
1852,2.018269107395554e-08,5.852980393683538e-07
1853,1.4929829816878737e-08,6.389967097675253e-07
1854,6.754363734984281e-09,7.107668693606684e-07
1855,1.0613874223963649e-09,5.874779276382469e-07
1856,1.1907535180100126e-08,5.332504997568321e-07
1857,1.2691923956253959e-08,5.081651011096255e-07
1858,9.787352261980686e-09,6.90987064899673e-07
1859,4.073738679721828e-09,5.525008077711391e-07
1860,1.0985241161165504e-08,5.996110985506675e-07
