year,en_ADP airs_NOUN,en_ADP terre_NOUN
1800,0.0,1.7682781617622823e-05
1801,2.3811825844433088e-09,1.552292947337719e-05
1802,0.0,1.4024544071844502e-05
1803,7.801356671777171e-09,1.6330190845792458e-05
1804,2.4718509905596875e-08,1.6284553467471596e-05
1805,3.1271653710973624e-08,1.8168830735021402e-05
1806,4.3225035994964855e-08,1.3123121277658356e-05
1807,1.4234775136401367e-08,9.910250355460448e-06
1808,2.2660739951163578e-09,1.334037750666539e-05
1809,2.259030518203531e-09,2.017991948832787e-05
1810,9.360507036149102e-09,9.603880130271136e-06
1811,1.2535384286138651e-08,1.36485261919006e-05
1812,2.9339290108509886e-08,1.0655497206357722e-05
1813,4.3136125782439194e-08,8.932053759735936e-06
1814,0.0,1.110462360998099e-05
1815,3.506390555685357e-08,7.1422480658611676e-06
1816,1.228330006597389e-07,1.2554460184333038e-05
1817,6.227493631882908e-09,1.0798473546458354e-05
1818,5.960588467246453e-09,1.0636074691205977e-05
1819,0.0,9.510544806801136e-06
1820,2.0173018810965004e-08,1.0720178948986359e-05
1821,1.676452932031225e-08,1.1089243400874693e-05
1822,1.0025615893027862e-09,1.0232143964117313e-05
1823,1.2847492847356534e-08,1.277238496300015e-05
1824,1.7684335773537896e-08,1.0868288043752727e-05
1825,4.4027217427355936e-09,1.2540711537667448e-05
1826,7.0463874735082754e-09,1.3768641082378963e-05
1827,5.530363722527909e-09,1.1271803522561186e-05
1828,1.0089530988466322e-08,9.090667731470603e-06
1829,1.7146351893870815e-08,1.0635882361498261e-05
1830,1.982998831806526e-08,1.3340363238967257e-05
1831,0.0,1.2321730395115083e-05
1832,2.976593194148336e-08,1.1882018711162345e-05
1833,2.085053074640797e-08,1.1694831471231737e-05
1834,1.8669061851994684e-09,1.084765833070378e-05
1835,6.050470346963266e-09,1.3195319809256034e-05
1836,1.1425274948351216e-08,1.4355521841480368e-05
1837,2.5048407792382932e-08,1.3803760225528094e-05
1838,2.1461350030449466e-08,1.256814539374318e-05
1839,5.2436064379435265e-08,1.2881093965688706e-05
1840,7.0066574764382494e-09,1.1252054719079752e-05
1841,1.733548060656176e-08,1.2529058608379273e-05
1842,6.708265054555795e-09,1.0024831738064677e-05
1843,1.3585895075607368e-08,1.0484176669933731e-05
1844,1.0977122322231025e-08,1.3081985741791868e-05
1845,5.580227835366713e-09,1.1455091652123883e-05
1846,9.952652035849496e-09,1.2033342386530421e-05
1847,9.168480197274675e-09,1.0803165963579886e-05
1848,2.735375304041554e-08,1.0908516543395308e-05
1849,6.703531951757213e-09,1.0298300878730515e-05
1850,2.0366988096043315e-09,1.1470009127378944e-05
1851,3.8696632564949596e-09,1.2250064287400164e-05
1852,5.859490670445666e-09,1.1415590307706225e-05
1853,1.1943863675867306e-09,1.2453269334855577e-05
1854,7.27393034694046e-09,1.251167978466583e-05
1855,1.2736649068756378e-08,1.375717317841918e-05
1856,1.0872097000458325e-08,1.2448033714917983e-05
1857,7.322263684272912e-09,1.3611111626232741e-05
1858,2.4468379322684086e-08,1.272942972718738e-05
1859,1.3748867822016564e-08,1.1853561318275752e-05
1860,1.373155189554609e-08,1.140176533453996e-05
1861,1.2733101684148096e-08,1.2196424961530283e-05
1862,1.0843167252971853e-08,1.2464672124679055e-05
1863,9.489779628779615e-09,1.3638811196869938e-05
1864,1.3904711160250827e-08,1.4059580678349448e-05
1865,7.530950973944073e-09,1.4046164892533852e-05
1866,1.0704348518686402e-08,1.3623230017856258e-05
1867,2.426405742994575e-08,1.4304147157417901e-05
1868,1.1855697756857353e-08,1.3188475406877842e-05
1869,1.5627261262807224e-08,1.1819093231224542e-05
1870,8.027668307875047e-09,1.2962963751306233e-05
1871,6.37270636261178e-09,1.3844704483290116e-05
1872,1.269941263259966e-08,1.246961329570695e-05
1873,1.496501056408306e-08,1.5318783653128776e-05
1874,3.5847653734322193e-09,1.3390891069775535e-05
1875,6.293679799540541e-09,1.4784998597860977e-05
1876,2.0556450763820067e-08,1.4755298934687744e-05
1877,7.421779191219002e-09,1.5053223819450068e-05
1878,2.8383716710322915e-08,1.421782667421212e-05
1879,5.498392852132383e-09,1.4182187669575796e-05
1880,1.2193908105473383e-08,1.2564859673602768e-05
1881,2.022027217885025e-08,1.5085020550031913e-05
1882,9.983077475794744e-09,1.4699083749292186e-05
1883,7.583206784733676e-09,1.4033987554284977e-05
1884,1.9805090900604227e-08,1.523341592246652e-05
1885,1.6114089618213256e-08,1.5290981650650792e-05
1886,1.5488312854472497e-08,1.417180624230241e-05
1887,1.8933882017790893e-08,1.3425427880520147e-05
1888,6.974675947901687e-09,1.3824441793985898e-05
1889,8.771191772893872e-09,1.3562767833263933e-05
1890,1.1797895993481688e-08,1.2645377637454658e-05
1891,1.1473596073230397e-08,1.357836362103626e-05
