year,en_ADP elle_PRON,en_ADP tels_ADJ
1800,1.3463312697581387e-05,7.231578402766559e-08
1801,1.154397313030131e-05,7.143547975374531e-08
1802,1.176432525085147e-05,2.9315705774024536e-07
1803,1.1144238222016156e-05,1.2872238985828233e-07
1804,1.3988204941028926e-05,2.2741028260497842e-07
1805,1.1576197891827178e-05,1.7910129201936797e-07
1806,1.2474745489043926e-05,2.535868759423465e-07
1807,1.1658281458437614e-05,2.93236372961303e-07
1808,1.089754971062007e-05,2.0168058911806952e-07
1809,1.0859159445431033e-05,1.2424667783506038e-07
1810,1.2245883151962289e-05,1.9189039335287816e-07
1811,8.82741755248162e-06,1.579458341893769e-07
1812,1.0146060191118522e-05,1.8937179069311583e-07
1813,1.187681272796226e-05,1.121539270343419e-07
1814,1.0749049025093882e-05,7.552024783308298e-08
1815,1.197027785337923e-05,3.506390555685357e-08
1816,1.908546720486015e-05,9.038654980031424e-08
1817,1.3519888881319275e-05,1.338911126413933e-07
1818,1.4328063301149996e-05,1.2517236047671076e-07
1819,1.3200693700810007e-05,2.1944225903069992e-07
1820,1.674953765018472e-05,3.1327510896517197e-07
1821,1.4755744977890117e-05,3.0373382964299367e-07
1822,1.3200728659512606e-05,5.453935045807157e-07
1823,1.269332331332862e-05,7.619551496418353e-07
1824,1.3735676759552007e-05,9.7432273804543e-07
1825,1.2566247619361093e-05,3.011461604529586e-07
1826,1.129095501539723e-05,2.880210939748551e-07
1827,1.05224390551939e-05,4.5717675334344676e-07
1828,1.2866903865926815e-05,3.0452041244188877e-07
1829,1.2426818258859385e-05,3.360684956987825e-07
1830,1.3740094040315398e-05,1.8473198948321112e-07
1831,1.2854949275720173e-05,1.356434902177739e-07
1832,1.3926397066654772e-05,5.276687886635045e-08
1833,1.4654448179385327e-05,1.679626198125561e-07
1834,1.3531335980587755e-05,1.7175537170288635e-07
1835,1.4260202441107594e-05,3.463894415745017e-07
1836,1.610695045428656e-05,6.169648703036046e-07
1837,1.4663755244725962e-05,4.251271299438031e-07
1838,1.4949092815186305e-05,6.760325632626518e-07
1839,1.5161013934061884e-05,2.4749822191694193e-07
1840,1.6310862250179525e-05,2.573354320745125e-07
1841,1.7098563276363166e-05,2.7544152647607234e-07
1842,1.867916373043954e-05,2.9918863031497267e-07
1843,1.8206282149435538e-05,1.8783976951652903e-07
1844,1.8395461481190978e-05,2.2777529729012258e-07
1845,1.892143762916021e-05,1.6684882186979166e-07
1846,1.7687619504158647e-05,2.347655070344956e-07
1847,1.6900745428927166e-05,1.9361672887185932e-07
1848,1.5550608338799066e-05,2.469883106925863e-07
1849,1.5859718459410033e-05,1.7931948392835295e-07
1850,1.5037626383218594e-05,3.285874079494988e-07
1851,1.6302245711585783e-05,1.3543821264505596e-07
1852,1.702507697132205e-05,2.0638429454322704e-07
1853,1.6358912191094532e-05,3.338309859657329e-07
1854,1.7989988251088107e-05,2.977115647340156e-07
1855,1.878708796709816e-05,2.2023788304181835e-07
