year,en_ADP arts_NOUN,en_ADP tare_NOUN
1800,5.345079756580162e-08,0.0
1801,6.42919282256571e-08,2.3811825844433088e-09
1802,9.398928568771225e-08,0.0
1803,7.80135707145746e-08,0.0
1804,6.921182560404304e-08,2.4718509461507665e-09
1805,2.558589917711629e-08,0.0
1806,4.8988375134229045e-08,0.0
1807,4.27043254092041e-08,2.8469551160981155e-09
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,5.616304221689461e-08,7.020380277111826e-09
1811,3.7606150637969904e-08,5.0141535368197765e-09
1812,5.06769564090348e-08,2.6672082320544632e-09
1813,4.3136123117903935e-08,0.0
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,2.6972236000233352e-08,0.0
1816,8.57513455798653e-08,2.3176038865813098e-09
1817,2.1796228488746294e-08,1.556873407970727e-09
1818,4.4108355412575406e-08,1.1921177378582115e-09
1819,9.212434237682032e-08,1.035105001712111e-09
1820,3.44127952800477e-08,2.3732962262101864e-09
1821,7.001656854299654e-08,0.0
1822,3.308453244699194e-08,0.0
1823,6.32491954366543e-08,3.95307486744656e-09
1824,3.1158117863583357e-08,1.6842225392110777e-09
1825,4.3146671568905504e-08,5.283266046873791e-09
1826,8.807984186454121e-08,8.807984341885344e-10
1827,3.686909327837995e-08,1.8434546111834038e-09
1828,3.3937512911030865e-08,2.7516904310687096e-09
1829,3.686465693819585e-08,1.714635211591542e-09
1830,3.131050774207722e-08,1.0436835840010872e-09
1831,3.741889442743229e-08,4.677361609140007e-09
1832,5.276688019861808e-08,2.705993873419743e-09
1833,4.51761508202253e-08,4.6334514003376626e-09
1834,2.4269779741459274e-08,0.0
1835,3.932805725526123e-08,1.5126175867408165e-09
1836,6.922372786100084e-08,2.6882999715205358e-09
1837,3.89641890974346e-08,2.087367279024477e-09
1838,4.102905393210676e-08,6.312161904276081e-10
1839,2.8665047335785232e-08,2.0974426639952526e-09
1840,5.8601136720959346e-08,2.5478754661634184e-09
1841,3.2102741354123054e-08,1.2841097074556274e-09
1842,4.9641161403712886e-08,2.683306021822318e-09
1843,4.075768533784441e-08,2.9534555912036353e-09
1844,5.1592476069117765e-08,4.939705200435185e-09
1845,1.3392547348889394e-08,2.790114028705659e-09
1846,3.981060747726417e-08,5.854501328173001e-09
1847,1.5101026207275936e-08,3.235934187273415e-09
1848,2.735375304041554e-08,3.2180886289090438e-09
1849,3.26797175986826e-08,1.6758829879393033e-09
1850,3.6660578572877967e-08,1.3577992064028876e-09
1851,2.3217978650791338e-08,2.579775504329973e-09
1852,4.9480144648228475e-08,3.2552727180501506e-09
1853,2.926246556178569e-08,4.777545248302317e-09
1854,4.0006617019194834e-08,1.5586993362681767e-09
1855,1.0083180512765466e-08,1.0613874223963649e-08
1856,2.0708756043319454e-08,5.177189232874468e-10
1857,1.3668224996266076e-08,8.298565445929995e-09
1858,4.8447393652395476e-08,2.446837954472869e-09
1859,3.5645212559387573e-08,2.036869339860914e-09
1860,3.249800525906288e-08,2.7463103458025273e-09
1861,3.301174633651982e-08,4.7159637306393165e-09
1862,5.0149648683772696e-08,1.355395878865906e-09
1863,3.9457503930862003e-08,4.994620828036034e-09
1864,1.726102105692462e-08,1.4384183844029508e-09
1865,3.4830647810402127e-08,3.765475542483188e-09
1866,2.7733993435141713e-08,2.432806400776144e-09
1867,1.5043715606566366e-08,1.455843445796745e-09
1868,1.778354707937524e-08,3.4579119567723637e-09
