year,certain_ADJ an_NOUN,certain_ADJ vent_NOUN
1800,0.0,1.8864986905953174e-08
1801,0.0,1.904946067554647e-08
1802,4.475680270843441e-09,2.0140561218795483e-08
1803,0.0,4.290746247193056e-08
1804,0.0,4.69651695311768e-08
1805,0.0,5.970043304159844e-08
1806,0.0,8.645007376628655e-09
1807,8.540865792383556e-09,6.26330107778017e-08
1808,2.2660739951163578e-09,5.6651849433819734e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,2.757784400841956e-08
1812,0.0,3.200649700829672e-08
1813,0.0,8.627225156487839e-09
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,1.6183340889597275e-08
1816,0.0,1.622322720606917e-08
1817,3.113746815941454e-09,2.1796227045456362e-08
1818,4.768470951432846e-09,1.3113295338484932e-08
1819,2.070210003424222e-09,1.3456364911235141e-08
1820,0.0,4.50926265216367e-08
1821,0.0,3.155676253641104e-08
1822,0.0,2.90742860897808e-08
1823,2.964806067318193e-09,2.9648060007048116e-08
1824,2.5263338088166165e-09,3.03160057057994e-08
1825,8.805443041381977e-10,1.0566531649658373e-08
1826,1.7615968683770689e-09,1.4973572604048968e-08
1827,1.8434546111834038e-09,1.8434546333878643e-08
1828,1.8344602503717056e-09,7.337841001486822e-09
1829,4.286588084490006e-09,2.571952872898464e-09
1830,1.0436835395921662e-08,2.5048406016026092e-08
1831,0.0,1.7150327158432788e-08
1832,0.0,2.3000948701223933e-08
1833,2.3167257001688313e-09,2.20088942626262e-08
1834,0.0,5.600718555598405e-09
1835,0.0,1.8907719834260206e-08
1836,2.0162250202737653e-09,2.419469957715137e-08
1837,6.957890930081589e-10,1.0436836284100082e-08
1838,5.680945713848473e-09,1.830527018853445e-08
1839,0.0,1.1885507689157748e-08
1840,6.369688665408546e-10,1.0828470564661075e-08
1841,6.420548537278137e-10,7.0626033910059505e-09
1842,2.0124795163667386e-09,1.0733224087289273e-08
1843,2.3627644285539873e-09,1.7720733325177207e-08
1844,2.744280691580059e-09,1.920996517412732e-08
1845,2.7901139176833567e-09,1.7298706134205588e-08
1846,5.854501328173001e-10,2.2832555401919308e-08
1847,1.0786447290911383e-09,9.168480197274675e-09
1848,3.218088684420195e-09,5.63165514222419e-09
1849,0.0,8.379414495607307e-09
1850,1.3577992064028876e-09,1.2220192857625989e-08
1851,3.8696632564949596e-09,1.4188765717904062e-08
1852,5.208436348880241e-09,1.7578472011337e-08
1853,5.971931837933653e-10,2.030456869306363e-08
1854,5.195664454227256e-10,2.6497888327980945e-08
1855,1.0613874223963649e-09,1.2736649068756378e-08
1856,1.5531567143511893e-09,8.28350277259915e-09
1857,4.881509085841174e-10,2.245494101771328e-08
1858,2.9362056674919756e-09,1.6149130033227266e-08
1859,1.018434669930457e-09,8.147477359443656e-09
1860,4.577183909670879e-10,2.4716793944890014e-08
1861,1.8863854922557266e-09,1.6977470096435354e-08
1862,4.517986262886353e-10,1.8523744316212287e-08
1863,9.989241656072068e-10,2.0977406700595225e-08
1864,4.794727948009836e-10,2.7329949858767577e-08
1865,3.765475597994339e-09,1.9298061815220535e-08
1866,1.4596839292835284e-09,1.1190910087499617e-08
1867,4.85281148598915e-10,1.649955905236311e-08
1868,4.93987406535723e-10,2.420538258718352e-08
1869,9.767038289254515e-10,2.5882650689368347e-08
1870,0.0,6.880858549607183e-09
1871,4.248470908407853e-09,2.549082545044712e-08
1872,6.047339295989218e-10,1.3304146229131675e-08
1873,8.380406146812902e-09,2.035241553066669e-08
1874,1.7923826867161097e-09,1.3144139998644278e-08
1875,2.2886108008712824e-09,1.6592428764283795e-08
