year,bon_ADJ air_NOUN,bon_ADJ verre_NOUN
1800,7.105811619112501e-07,3.772997558826319e-08
1801,7.524536727032682e-07,8.810375362600098e-08
1802,6.713520406265161e-07,1.0294064622939914e-07
1803,7.196751994342776e-07,5.265916058760922e-08
1804,1.3199684190112748e-06,9.145848167690929e-08
1805,6.680762680844055e-07,3.980028751016107e-08
1806,1.550337970002147e-06,1.181484350354367e-07
1807,5.181458391234628e-07,5.97860605466849e-08
1808,4.849398576034503e-07,1.5862518409903714e-08
1809,4.6084223637166133e-07,3.388545621874073e-08
1810,1.0881589105338207e-06,1.427477371862551e-07
1811,1.2911444855490117e-06,1.4541045345595194e-07
1812,7.841592264412611e-07,8.535066342574282e-08
1813,9.144858381660015e-07,5.7514832008109806e-08
1814,3.776012533762696e-07,9.44003133440674e-08
1815,3.3985017466875433e-07,7.282503844407984e-08
1816,4.102158772667508e-07,1.3905623319487859e-08
1817,8.593941061008081e-07,4.0478710161551135e-08
1818,9.274676244785951e-07,4.410835785506606e-08
1819,5.527460871235235e-07,2.898294049202832e-08
1820,8.28280406039994e-07,5.814575843032799e-08
1821,7.632792176082148e-07,2.1695274909916407e-08
1822,6.977828377330297e-07,5.1130641054442094e-08
1823,7.372484560619341e-07,6.522573414713406e-08
1824,9.810596566239838e-07,6.14741253457396e-08
1825,1.3498744237949722e-06,7.396572243578703e-08
1826,5.460950092128769e-07,4.227832306469281e-08
1827,5.03263095197326e-07,4.2399456390285195e-08
1828,5.971168093310553e-07,3.210305266065916e-08
1829,6.198406481416896e-07,4.886710414098161e-08
1830,4.98880751820252e-07,7.618890407457002e-08
1831,3.3365179774591525e-07,2.9623292263636358e-08
1832,6.19672618995537e-07,5.411987658021644e-08
1833,6.278326623032626e-07,5.560141858040879e-08
1834,4.667265329771908e-07,2.8937046536725575e-08
1835,6.723585102008656e-07,5.3697924329298985e-08
1836,5.322834226717532e-07,8.938597773067158e-08
1837,4.007745246781269e-07,3.061472142462662e-08
1838,6.059675570213585e-07,4.1660268124132926e-08
1839,4.1459446720182314e-07,5.3135210009713774e-08
1840,3.59887414425053e-07,4.8409635411417185e-08
1841,4.0898894715368783e-07,1.926164472365599e-08
1842,4.0786251842561683e-07,2.6162233268678392e-08
1843,5.180360744816426e-07,5.0208743829216473e-08
1844,4.2975435121661576e-07,1.756339607084101e-08
1845,4.213072202219337e-07,6.249855033502172e-08
1846,4.589929005760496e-07,2.4588905134237393e-08
1847,3.386944342764764e-07,3.343798482546845e-08
1848,5.52706711898221e-07,3.218088551193432e-08
1849,3.988601520177326e-07,1.5920887719289567e-08
1850,3.604956759772904e-07,4.277067588986938e-08
1851,4.108292444016115e-07,2.7087642351375507e-08
1852,4.6420188937190687e-07,2.9948509450150596e-08
1853,4.7357420385196747e-07,6.210809289086683e-08
1854,4.769619863509433e-07,4.1565314745639625e-08
1855,5.577591082328581e-07,3.92713346286655e-08
1856,5.161657554708654e-07,4.918329921110853e-08
1857,6.756008749109199e-07,5.3208449202202246e-08
1858,6.890296075368063e-07,4.257498176230001e-08
1859,6.385585606949462e-07,4.83756465996521e-08
1860,5.373613741477268e-07,5.904567146330919e-08
1861,6.045865461601352e-07,2.2165028923382124e-08
1862,9.026936283462739e-07,4.427626620895353e-08
1863,6.822652170446197e-07,4.345320192555846e-08
1864,6.142046231616405e-07,3.787835112234461e-08
1865,6.61311617022875e-07,3.9066808454890634e-08
1866,6.164731303215376e-07,4.5736761933312664e-08
1867,5.604996999863943e-07,4.464586567110018e-08
1868,4.959633770340588e-07,4.890475224783586e-08
1869,6.04579668106453e-07,7.08110263758499e-08
1870,4.799398993782233e-07,3.325748210158963e-08
1871,5.098165161143697e-07,7.753459385639871e-08
